key,text,tag,file,type
VAE_Bloodsuckers.label,Bloodsuckers,label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_Bloodsuckers.description,Get 3 colonists with Hemogenic gene,description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_NeedMoreCatgirls.label,Need More Catgirls,label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_NeedMoreCatgirls.description,Get 3 Highmates in the same colony,description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_UngusAndBungus.label,Ungus and Bungus,label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_UngusAndBungus.description,Have a colony with 10 Neanderthals,description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_AMachineForPigs.label,A Machine for Pigs,label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_AMachineForPigs.description,Kill 100 Pigskins,description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_MeltingPot.label,Melting Pot,label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_MeltingPot.description,Get a colonist from one of each of the vanilla xenotypes,description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_NewGeneration.label,New Generation,label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_NewGeneration.description,Have 10 natural births in the colony,description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_UpsyDaisyVampireyHealyPower.label,Upsy Daisy Vampirey Healy Power,label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_UpsyDaisyVampireyHealyPower.description,Use the Coagulate ability at least 20 times,description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_StokingTheFire.label,Stoking the Fire,label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_StokingTheFire.description,Use the Fire Spew ability on a pawn that is already on fire,description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_SpineOverkill.label,Spine Overkill,label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_SpineOverkill.description,Use the Piercing Spine ability on a target below 5% health,description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_YouAndWhoseArmy.label,You and Whose Army?,label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_YouAndWhoseArmy.description,Use Animal Warcall ability 10 times to summon creatures of the wild,description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_JustASippy.label,Just a Sippy,label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_JustASippy.description,Use the Bloodfeed ability on a friendly pawn,description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_DLCTab.label,DLC,label,AchievementsExpanded.AchievementTabDef/AchievementsExpanded.AchievementTabDef.xml,def
