key,text,tag,file,type
NocturnalAnimals.BodyClock,Body clock,NocturnalAnimals.BodyClock,Misc_Gameplay.xml,keyed
NocturnalAnimals.BodyClock_Description,"Determines when the animal sleeps and when it is awake.\n\nDiurnal animals sleep during the night and are awake during the day, while nocturnal animals sleep during the day and are awake during the night. Crepuscular animals are mainly active during dusk.",NocturnalAnimals.BodyClock_Description,Misc_Gameplay.xml,keyed
NocturnalAnimals.BodyClock_Diurnal,Diurnal,NocturnalAnimals.BodyClock_Diurnal,Misc_Gameplay.xml,keyed
NocturnalAnimals.BodyClock_Nocturnal,Nocturnal,NocturnalAnimals.BodyClock_Nocturnal,Misc_Gameplay.xml,keyed
NocturnalAnimals.BodyClock_Crepuscular,Crepuscular,NocturnalAnimals.BodyClock_Crepuscular,Misc_Gameplay.xml,keyed
VAEE.ReleaseIntoWild,Release to the wild,VAEE.ReleaseIntoWild,Misc_Gameplay.xml,keyed
VAEE.ReleaseIntoWildDesc,Release this animal to the wild and increase relations with tribal and outlander factions.,VAEE.ReleaseIntoWildDesc,Misc_Gameplay.xml,keyed
VAEE.ReleaseToRepopulate,Release to repopulate,VAEE.ReleaseToRepopulate,Misc_Gameplay.xml,keyed
VAEE.ReleaseToRepopulateDesc,Release this animal to the wild to repupulate and increase relations with tribal and outlander factions.,VAEE.ReleaseToRepopulateDesc,Misc_Gameplay.xml,keyed
VAEE.LetterLabelExtintAnimalsPasses,Endangered Animals.,VAEE.LetterLabelExtintAnimalsPasses,Misc_Gameplay.xml,keyed
VAEE.LetterExtintAnimalsPasses,"A pair of {0}, critically endangered, have wandered into the area.\n\nThey can easily fall prey to larger predators and poachers, but you can tame them and bring them to safety. \n\nReleasing endangered animals into the wild will boost relations with tribal and outlander factions.",VAEE.LetterExtintAnimalsPasses,Misc_Gameplay.xml,keyed
VAEE.LetterExtintAnimalsPassesRepopulate,"A pair of {0}, critically endangered, have wandered into the area.\n\nThey can easily fall prey to larger predators and poachers, but you can tame them and bring them to safety. \n\nReleasing endangered animals into the wild to repopulate the species will boost relations with tribal and outlander factions.",VAEE.LetterExtintAnimalsPassesRepopulate,Misc_Gameplay.xml,keyed
VAEE.ReleasingToTheWildMessage,Releasing an endangered animal into the wild improved relations with tribal and outlander factions by +2.,VAEE.ReleasingToTheWildMessage,Misc_Gameplay.xml,keyed
VAEE.ReleasingToTheWildMessageRepopulate,Releasing an endangered animal into the wild to repopulate the species improved relations with tribal and outlander factions by +2.,VAEE.ReleasingToTheWildMessageRepopulate,Misc_Gameplay.xml,keyed
VAEE.ReleasingToTheWildConfirmation,"Releasing to the wild\n\nReleasing an animal to the wild means you will never see it again, as the animal will walk off the map.",VAEE.ReleasingToTheWildConfirmation,Misc_Gameplay.xml,keyed
VAEE.ReleasingToTheWildConfirmationRepopulate,"Releasing to repopulate\n\nReleasing an animal to the wild to repopulate the species means you will never see it again, as the animal will walk off the map.",VAEE.ReleasingToTheWildConfirmationRepopulate,Misc_Gameplay.xml,keyed
VAEE.Cancel,Cancel,VAEE.Cancel,Misc_Gameplay.xml,keyed
VAEE.AddBanishGizmoToAllAnimals,Add release into wild button to all animals,VAEE.AddBanishGizmoToAllAnimals,Misc_Gameplay.xml,keyed
VAEE.AddBanishGizmoToAllAnimalsRepopulate,Add release to repopulate button to all animals,VAEE.AddBanishGizmoToAllAnimalsRepopulate,Misc_Gameplay.xml,keyed
