key,text,tag,file,type
VAEWaste_PestigatorNotTameable,The Pestigator refuses to be tamed!,VAEWaste_PestigatorNotTameable,Misc_Gameplay.xml,keyed
VAEWaste_ToxbearNotTameable,The Toxbear is too maddened to be tamed!,VAEWaste_ToxbearNotTameable,Misc_Gameplay.xml,keyed
VAEWaste_PestigatorRips,The Pestigator rips out {0}'s {1} with its enormous jaws!,VAEWaste_PestigatorRips,Misc_Gameplay.xml,keyed
VAEWaste_WasteAnimalsWanderInLabel,{0} wander in,VAEWaste_WasteAnimalsWanderInLabel,Misc_Gameplay.xml,keyed
VAEWaste_WasteAnimalsWanderInText,A group of {0} have wandered into the area.\n\nThey have been attracted by the local pollution. Their arrival might endanger the local ecosystem. You can clean up the pollution in your local area to prevent waste animals from wandering in again.,VAEWaste_WasteAnimalsWanderInText,Misc_Gameplay.xml,keyed
VAEW_DisableToxfluSpread,Disable Toxflu spread,VAEW_DisableToxfluSpread,Misc_Gameplay.xml,keyed
VAEW_DisableToxfluSpreadDesc,"Since Toxflu is too virulent for many people, we added this option to disable its spread on social interactions. Now go hide in shame.",VAEW_DisableToxfluSpreadDesc,Misc_Gameplay.xml,keyed
VAEWaste_BipedalLizard.label,bipedal lizard,label,BodyDef/BodyDef.xml,def
VAEWaste_BipedalLizard.corePart.parts.4.customLabel,left lung,customLabel,BodyDef/BodyDef.xml,def
VAEWaste_BipedalLizard.corePart.parts.5.customLabel,right lung,customLabel,BodyDef/BodyDef.xml,def
VAEWaste_BipedalLizard.corePart.parts.6.customLabel,left kidney,customLabel,BodyDef/BodyDef.xml,def
VAEWaste_BipedalLizard.corePart.parts.7.customLabel,right kidney,customLabel,BodyDef/BodyDef.xml,def
VAEWaste_BipedalLizard.corePart.parts.9.parts.0.parts.1.customLabel,left eye,customLabel,BodyDef/BodyDef.xml,def
VAEWaste_BipedalLizard.corePart.parts.9.parts.0.parts.2.customLabel,right eye,customLabel,BodyDef/BodyDef.xml,def
VAEWaste_BipedalLizard.corePart.parts.9.parts.0.parts.3.customLabel,left ear,customLabel,BodyDef/BodyDef.xml,def
VAEWaste_BipedalLizard.corePart.parts.9.parts.0.parts.4.customLabel,right ear,customLabel,BodyDef/BodyDef.xml,def
VAEWaste_BipedalLizard.corePart.parts.10.customLabel,left arm,customLabel,BodyDef/BodyDef.xml,def
VAEWaste_BipedalLizard.corePart.parts.10.parts.0.customLabel,left arm first claw,customLabel,BodyDef/BodyDef.xml,def
VAEWaste_BipedalLizard.corePart.parts.10.parts.1.customLabel,left arm second claw,customLabel,BodyDef/BodyDef.xml,def
VAEWaste_BipedalLizard.corePart.parts.10.parts.2.customLabel,left arm third claw,customLabel,BodyDef/BodyDef.xml,def
VAEWaste_BipedalLizard.corePart.parts.10.parts.3.customLabel,left arm fourth claw,customLabel,BodyDef/BodyDef.xml,def
VAEWaste_BipedalLizard.corePart.parts.10.parts.4.customLabel,left arm fifth claw,customLabel,BodyDef/BodyDef.xml,def
VAEWaste_BipedalLizard.corePart.parts.11.customLabel,right arm,customLabel,BodyDef/BodyDef.xml,def
