key,text,tag,file,type
AEXP_WalrusTusk.label,walrus tusk,label,ThingDef/ThingDef.xml,def
AEXP_WalrusTusk.description,"A walrus's tusk. It is quite valuable, but somewhat unwieldy as a melee weapon.",description,ThingDef/ThingDef.xml,def
AEXP_WalrusTusk.tools.0.label,point,label,ThingDef/ThingDef.xml,def
AEXP_WalrusTusk.tools.1.label,base,label,ThingDef/ThingDef.xml,def
AEXP_EggPenguinUnfertilized.label,penguin egg (unfert.),label,ThingDef/ThingDef.xml,def
AEXP_EggPenguinUnfertilized.description,"An unfertilized penguin egg. It can be eaten raw, but it's much, much better cooked.",description,ThingDef/ThingDef.xml,def
AEXP_EggPenguinFertilized.label,penguin egg (fert.),label,ThingDef/ThingDef.xml,def
AEXP_EggPenguinFertilized.description,"A fertilized penguin egg. If all goes well, it should hatch into a baby penguin. It can be eaten raw, but it's much better cooked.",description,ThingDef/ThingDef.xml,def
AEXP_EggAlligatorUnfertilized.label,alligator egg (unfert.),label,ThingDef/ThingDef.xml,def
AEXP_EggAlligatorUnfertilized.description,"An unfertilized alligator egg. It can be eaten raw, but it's much, much better cooked.",description,ThingDef/ThingDef.xml,def
AEXP_EggAlligatorFertilized.label,alligator egg (fert.),label,ThingDef/ThingDef.xml,def
AEXP_EggAlligatorFertilized.description,"A fertilized alligator egg. If all goes well, it should hatch into an alligator. It can be eaten raw, but it's much better cooked.",description,ThingDef/ThingDef.xml,def
AEXP_RawFish.label,raw fish,label,ThingDef/ThingDef.xml,def
AEXP_RawFish.description,Raw fish. A resourceful penguin has fished this.,description,ThingDef/ThingDef.xml,def
AEXP_RawFish.tools.0.label,raw fish,label,ThingDef/ThingDef.xml,def
AEXP_Leather_Hippopotamus.label,hippopotamus leather,label,ThingDef/ThingDef.xml,def
AEXP_Leather_Hippopotamus.description,"A thick leather of a hippopotamus. Not only it's extremely durable, but it also provides considerable heat insulation.",description,ThingDef/ThingDef.xml,def
AEXP_Leather_Pinniped.label,pinniped leather,label,ThingDef/ThingDef.xml,def
AEXP_Leather_Pinniped.description,Tanned and dried leather from a Pinniped. It is of average strength but insulates well against heat.,description,ThingDef/ThingDef.xml,def
AEXP_Leather_Tiger.label,tiger leather,label,ThingDef/ThingDef.xml,def
AEXP_Leather_Tiger.description,"Tigers were often the target of poachers in old Earth due to their luxurious pelts, a fact that almost drove them to extinction. With the near lawlessness of the Rim, tiger leather is seen as another exotic commodity to trade between settlements.",description,ThingDef/ThingDef.xml,def
AEXP_MuskOxWool.label,musk ox wool,label,ThingDef/ThingDef.xml,def
AEXP_MuskOxWool.description,"The inner wool of the muskox, originally known in Inuktitut as Qiviuq. Stronger and warmer than sheep's wool, and softer than cashmere wool.",description,ThingDef/ThingDef.xml,def
AEXP_Hippopotamus.label,hippopotamus,label,ThingDef/ThingDef.xml,def
AEXP_Hippopotamus.description,"A massive semi-aquatic hoofed mammal with thick skin and a very powerful jaw.\n\nExtremely difficult to tame, these monstrous beings often attack on a failed attempt.",description,ThingDef/ThingDef.xml,def
AEXP_Hippopotamus.tools.1.label,left foot,label,ThingDef/ThingDef.xml,def
AEXP_Hippopotamus.tools.2.label,right foot,label,ThingDef/ThingDef.xml,def
AEXP_Hippopotamus.tools.3.label,head,label,ThingDef/ThingDef.xml,def
AEXP_Hippopotamus.label,hippopotamus,label,PawnKindDef/PawnKindDef.xml,def
AEXP_Hippopotamus.labelPlural,hippopotami,labelPlural,PawnKindDef/PawnKindDef.xml,def
AEXP_Hippopotamus.lifeStages.0.label,hippopotamus calf,label,PawnKindDef/PawnKindDef.xml,def
AEXP_Otter.label,otter,label,ThingDef/ThingDef.xml,def
AEXP_Otter.description,"Long, slim, semi-aquatic mammal dieting mostly on fish and small plants. They are extremaly good swimmers and can hold breath under water for a prolonged amount of time.",description,ThingDef/ThingDef.xml,def
AEXP_Otter.tools.0.label,left claw,label,ThingDef/ThingDef.xml,def
AEXP_Otter.tools.1.label,right claw,label,ThingDef/ThingDef.xml,def
AEXP_Otter.tools.3.label,head,label,ThingDef/ThingDef.xml,def
AEXP_Otter.label,otter,label,PawnKindDef/PawnKindDef.xml,def
