key,text,tag,file,type
VAEI_Sanity,Sanity,VAEI_Sanity,Keys.xml,keyed
VAEI_SanityLetterDesc,{PAWN_nameDef}’s sanity has been tested by recent events. The sanity level of your colonists can now be seen on the Needs tab.,VAEI_SanityLetterDesc,Keys.xml,keyed
VAEI_SanityLossMessage,{PAWN_nameDef} has lost sanity due to {0}. {PAWN_nameDef}’s sanity is now {1},VAEI_SanityLossMessage,Keys.xml,keyed
VAEI_SanityGainMessage,{PAWN_nameDef} has gained sanity due to {0}. {PAWN_nameDef}’s sanity is now {1},VAEI_SanityGainMessage,Keys.xml,keyed
VAEI_PassiveEffects,Passive effects:,VAEI_PassiveEffects,Keys.xml,keyed
VAEI_MostRecentEvents,Most recent effects:,VAEI_MostRecentEvents,Keys.xml,keyed
VAEI_PassiveSanityGain,Passive sanity gain: {0} - {1},VAEI_PassiveSanityGain,Keys.xml,keyed
VEAI_AnomalyStudy,Studying {0},VEAI_AnomalyStudy,Keys.xml,keyed
VEAI_EatingTwistedMeat,Eating twisted meat,VEAI_EatingTwistedMeat,Keys.xml,keyed
VEAI_EatingTwistedMeatAsIngredient,Eating twisted meat as food ingredient,VEAI_EatingTwistedMeatAsIngredient,Keys.xml,keyed
VAEI_SuppressingEntity,Suppressing {0},VAEI_SuppressingEntity,Keys.xml,keyed
VAEI_OccultTeaching,Occult teaching by {PAWN_nameDef},VAEI_OccultTeaching,Keys.xml,keyed
VAEI_SanityRecord,{0} ago: {1}: {2},VAEI_SanityRecord,Keys.xml,keyed
VAEI_DisturbingInteraction,Disturbing {0} from {PAWN_nameDef},VAEI_DisturbingInteraction,Keys.xml,keyed
VAEI_Interaction,{0} from {PAWN_nameDef},VAEI_Interaction,Keys.xml,keyed
VAEI_StatsReport_SanityGainPerDay,Sanity gain per day: {0},VAEI_StatsReport_SanityGainPerDay,Keys.xml,keyed
VAEI_LowSanity,Low sanity,VAEI_LowSanity,Keys.xml,keyed
VAEI_HighSanity,High sanity,VAEI_HighSanity,Keys.xml,keyed
VAEI_AnomalyBodypart,Anomalous body part ({0}),VAEI_AnomalyBodypart,Keys.xml,keyed
VAEI_BeingInLabyrinth,Being in labyrinth,VAEI_BeingInLabyrinth,Keys.xml,keyed
VAEI_BeingInUnnaturalDarkness,Being in the darkness,VAEI_BeingInUnnaturalDarkness,Keys.xml,keyed
VAEI_UnnaturalCorpse,Unnatural corpse,VAEI_UnnaturalCorpse,Keys.xml,keyed
VAEI_InvokerEffect,{0} ritual invocation,VAEI_InvokerEffect,Keys.xml,keyed
VAEI_TargetEffect,Targeted by {0} ritual,VAEI_TargetEffect,Keys.xml,keyed
VAEI_ChanterEffect,Chanting during {0} ritual,VAEI_ChanterEffect,Keys.xml,keyed
VAEI_BeingDuplicated,Being duplicated,VAEI_BeingDuplicated,Keys.xml,keyed
VAEI_UsingThing,Using {0},VAEI_UsingThing,Keys.xml,keyed
VAEI_KillingThing,Killing {0},VAEI_KillingThing,Keys.xml,keyed
VAEI_ReadingTome,Reading tome,VAEI_ReadingTome,Keys.xml,keyed
VAEI_WeKilledNociosphere,the Nociosphere being killed,VAEI_WeKilledNociosphere,Keys.xml,keyed
VAEI_PitgateCollapsed,the pit gate collapsing,VAEI_PitgateCollapsed,Keys.xml,keyed
VAEI_Attending,Attending {0},VAEI_Attending,Keys.xml,keyed
VAEI_Meditating,Meditating,VAEI_Meditating,Keys.xml,keyed
VAEI_VoidClosing,the Void closing,VAEI_VoidClosing,Keys.xml,keyed
VAEI_SanityLoss,It occurred due to sanity loss to 0%.,VAEI_SanityLoss,Keys.xml,keyed
VAEI_Inhumanized,Inhumanized: {PAWN_nameDef},VAEI_Inhumanized,Keys.xml,keyed
VAEI_InhumanizedDesc,"{PAWN_nameDef}’s connection to humanity is broken. {PAWN_possessive} transformation has left {PAWN_objective} detached from human sensibilities, no longer swayed by pain or social interactions, and indifferent to the aesthetics of beauty and the outdoors. {PAWN_possessive} mind, now attuned to the void, disregards most emotions, finding solace in void meditation and a mysterious, unyielding joy that permeates {PAWN_possessive} existence.\n\n{PAWN_pronoun} has gained the inhumanized trait.\n\nThough drastically altered, {PAWN_nameDef} is still part of your faction, just disconnected from the typical human experiences.",VAEI_InhumanizedDesc,Keys.xml,keyed
VAEI_Recovered,Recovered: {PAWN_nameDef},VAEI_Recovered,Keys.xml,keyed
VAEI_RecoveredDesc,"{PAWN_nameDef} has emerged from the depths of madness, experiencing a catharsis that has restored a measure of sanity to {PAWN_possessive} mind. The suffocating grip of the void that once dominated {PAWN_possessive} thoughts has loosened, granting {PAWN_possessive} a fragile peace. Though the journey back to full sanity will be lengthy, {PAWN_pronoun} has regained crucial aspects of {PAWN_possessive} mental clarity.\n\n{PAWN_pronoun} has begun the slow process of recovery, and did not become inhumanized on this occasion.",VAEI_RecoveredDesc,Keys.xml,keyed
VEAI_RecoveringFromMadness,Recovering from madness,VEAI_RecoveringFromMadness,Keys.xml,keyed
