key,text,tag,file,type
VAspirE.CompletedOn,Completed on:,VAspirE.CompletedOn,UI.xml,keyed
VAspirE.AspirationComplete,{0} has achieved their {1} aspiration.,VAspirE.AspirationComplete,UI.xml,keyed
VAspirE.AspirationStat,{0} aspirations complete: {1},VAspirE.AspirationStat,UI.xml,keyed
VAspirE.Gains,{0} gains {1}: {2},VAspirE.Gains,UI.xml,keyed
VAspirE.Implant,implant,VAspirE.Implant,UI.xml,keyed
VAspirE.Thought,thought,VAspirE.Thought,UI.xml,keyed
VAspirE.Xenotype,xenotype,VAspirE.Xenotype,UI.xml,keyed
VAspirE.AbilityLevel,psycast level,VAspirE.AbilityLevel,UI.xml,keyed
VAspirE.Abilities,abilities,VAspirE.Abilities,UI.xml,keyed
VAspirE.Trait,trait,VAspirE.Trait,UI.xml,keyed
VAspirE.Gene,gene,VAspirE.Gene,UI.xml,keyed
VAspirE.Recipe,{0} completes the recipe {1},VAspirE.Recipe,UI.xml,keyed
VAspirE.HediffRemoval,{0} gets rid of the health condition {1},VAspirE.HediffRemoval,UI.xml,keyed
VAspirE.RecipeProduct,"{0} completes the recipe {1}, using at least 1 {2}",VAspirE.RecipeProduct,UI.xml,keyed
VAspirE.NuzzledBy,{0} nuzzled by: {1},VAspirE.NuzzledBy,UI.xml,keyed
VAspirE.Wealth,{0} is in a colony with greater than {1} wealth,VAspirE.Wealth,UI.xml,keyed
VAspirE.Title,royal title,VAspirE.Title,UI.xml,keyed
VAspirE.Becomes,{0} becomes {1} to another.,VAspirE.Becomes,UI.xml,keyed
VAspirE.BecomesList,{0} becomes {1} to one of these: {2}.,VAspirE.BecomesList,UI.xml,keyed
VAspirE.Condition,condition,VAspirE.Condition,UI.xml,keyed
VAspirE.Prosthetic,prosthetic,VAspirE.Prosthetic,UI.xml,keyed
VAspirE.SatisfiedWhen,Satisfied when:,VAspirE.SatisfiedWhen,UI.xml,keyed
VAspireE.AspirationComplete,{0} has achieved their {1} aspiration.,VAspireE.AspirationComplete,UI.xml,keyed
VAspirE.SelectAspirationSingular,Select an aspiration.,VAspirE.SelectAspirationSingular,UI.xml,keyed
VAspirE.SelectAspirationsPlural,Select {0} aspirations.,VAspirE.SelectAspirationsPlural,UI.xml,keyed
VAspirE.BirthdaySelectAspirationSingular,Choose an aspiration for {0} to gain:,VAspirE.BirthdaySelectAspirationSingular,UI.xml,keyed
VAspirE.BirthdaySelectAspirationsPlural,Choose aspirations for {0} to gain:,VAspirE.BirthdaySelectAspirationsPlural,UI.xml,keyed
VAspirE.AspirationDesc,"Aspirations are goals that {0} will want to achieve in their life. Achieving them will increase their mental break threshold, and if all aspirations are fulfilled, {0} will undergo another growth moment.",VAspirE.AspirationDesc,UI.xml,keyed
VAspirE.AspirationSelectionArchiveSingular,Aspiration {0} was gained.,VAspirE.AspirationSelectionArchiveSingular,UI.xml,keyed
VAspirE.AspirationSelectionArchivePlural,Aspirations were gained: {0}.,VAspirE.AspirationSelectionArchivePlural,UI.xml,keyed
VAspirE.FullfilledGrowthMoment,{0} has achieved fulfillment from their aspirations and has experienced a growth moment.,VAspirE.FullfilledGrowthMoment,UI.xml,keyed
VAspirE.FullfilledGrowthMoment.Desc,{0_nameDef} has demonstrated excellent determination in meeting their lifelong goals and is incredibly content with what they have achieved in their life. {0_nameDef} hopes that they have made a difference in the world.,VAspirE.FullfilledGrowthMoment.Desc,UI.xml,keyed
VAspirE.Scar,scar (permanent),VAspirE.Scar,UI.xml,keyed
VAspirE.ModName,Vanilla Aspirations Expanded,VAspirE.ModName,UI.xml,keyed
VAspirE.Search,Search,VAspirE.Search,UI.xml,keyed
VAspirE.Enabled,{0} enabled,VAspirE.Enabled,UI.xml,keyed
