key,text,tag,file,type
VAspirE.CompletedOn,Completed on:,VAspirE.CompletedOn,UI.xml,keyed
VAspirE.AspirationComplete,{0} has achieved their {1} aspiration.,VAspirE.AspirationComplete,UI.xml,keyed
VAspirE.AspirationStat,{0} aspirations complete: {1},VAspirE.AspirationStat,UI.xml,keyed
VAspirE.Gains,{0} gains {1}: {2},VAspirE.Gains,UI.xml,keyed
VAspirE.Implant,implant,VAspirE.Implant,UI.xml,keyed
VAspirE.Thought,thought,VAspirE.Thought,UI.xml,keyed
VAspirE.Xenotype,xenotype,VAspirE.Xenotype,UI.xml,keyed
VAspirE.AbilityLevel,psycast level,VAspirE.AbilityLevel,UI.xml,keyed
VAspirE.Abilities,abilities,VAspirE.Abilities,UI.xml,keyed
VAspirE.Trait,trait,VAspirE.Trait,UI.xml,keyed
VAspirE.Gene,gene,VAspirE.Gene,UI.xml,keyed
VAspirE.Recipe,{0} completes the recipe {1},VAspirE.Recipe,UI.xml,keyed
VAspirE.HediffRemoval,{0} gets rid of the health condition {1},VAspirE.HediffRemoval,UI.xml,keyed
VAspirE.RecipeProduct,"{0} completes the recipe {1}, using at least 1 {2}",VAspirE.RecipeProduct,UI.xml,keyed
VAspirE.NuzzledBy,{0} nuzzled by: {1},VAspirE.NuzzledBy,UI.xml,keyed
VAspirE.Wealth,{0} is in a colony with greater than {1} wealth,VAspirE.Wealth,UI.xml,keyed
VAspirE.Title,royal title,VAspirE.Title,UI.xml,keyed
VAspirE.Becomes,{0} becomes {1} to another.,VAspirE.Becomes,UI.xml,keyed
VAspirE.BecomesList,{0} becomes {1} to one of these: {2}.,VAspirE.BecomesList,UI.xml,keyed
VAspirE.Condition,condition,VAspirE.Condition,UI.xml,keyed
VAspirE.Prosthetic,prosthetic,VAspirE.Prosthetic,UI.xml,keyed
VAspirE.SatisfiedWhen,Satisfied when:,VAspirE.SatisfiedWhen,UI.xml,keyed
VAspireE.AspirationComplete,{0} has achieved their {1} aspiration.,VAspireE.AspirationComplete,UI.xml,keyed
VAspirE.SelectAspirationSingular,Select an aspiration.,VAspirE.SelectAspirationSingular,UI.xml,keyed
VAspirE.SelectAspirationsPlural,Select {0} aspirations.,VAspirE.SelectAspirationsPlural,UI.xml,keyed
VAspirE.BirthdaySelectAspirationSingular,Choose an aspiration for {0} to gain:,VAspirE.BirthdaySelectAspirationSingular,UI.xml,keyed
VAspirE.BirthdaySelectAspirationsPlural,Choose aspirations for {0} to gain:,VAspirE.BirthdaySelectAspirationsPlural,UI.xml,keyed
VAspirE.AspirationDesc,"Aspirations are goals that {0} will want to achieve in their life. Achieving them will increase their mental break threshold, and if all aspirations are fulfilled, {0} will undergo another growth moment.",VAspirE.AspirationDesc,UI.xml,keyed
VAspirE.AspirationSelectionArchiveSingular,Aspiration {0} was gained.,VAspirE.AspirationSelectionArchiveSingular,UI.xml,keyed
VAspirE.AspirationSelectionArchivePlural,Aspirations were gained: {0}.,VAspirE.AspirationSelectionArchivePlural,UI.xml,keyed
VAspirE.FullfilledGrowthMoment,{0} has achieved fulfillment from their aspirations and has experienced a growth moment.,VAspirE.FullfilledGrowthMoment,UI.xml,keyed
VAspirE.FullfilledGrowthMoment.Desc,{0_nameDef} has demonstrated excellent determination in meeting their lifelong goals and is incredibly content with what they have achieved in their life. {0_nameDef} hopes that they have made a difference in the world.,VAspirE.FullfilledGrowthMoment.Desc,UI.xml,keyed
VAspirE.Scar,scar (permanent),VAspirE.Scar,UI.xml,keyed
VAspirE.ModName,Vanilla Aspirations Expanded,VAspirE.ModName,UI.xml,keyed
VAspirE.Search,Search,VAspirE.Search,UI.xml,keyed
VAspirE.Enabled,{0} enabled,VAspirE.Enabled,UI.xml,keyed
VAspirE_BecomeParent.label,become a parent,label,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_BecomeParent.description,{0} wants to become a parent and have a child of their own.,description,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_BecomeGrandParent.label,become a grandparent,label,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_BecomeGrandParent.description,{0} wants to become a grandparent and have a grandchild.,description,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_FormPsychicBond.label,form a psychic bond,label,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_FormPsychicBond.description,{0} wants to psychically bond with a perfect partner.,description,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_BecomeSanguophage.label,become a sanguophage,label,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_BecomeSanguophage.description,{0} wants to live forever as a sanguophage.,description,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_BecomeMechanitor.label,become a mechanitor,label,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_BecomeMechanitor.description,{0} wants to control the march of the machines.,description,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_BecomePsycaster.label,become a psycaster,label,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_BecomePsycaster.description,{0} wants to become acquainted with the psychic powers of psycasters.,description,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_AnimaTreeLink.label,link with anima tree,label,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_AnimaTreeLink.description,{0} wants to undergo an anima tree linking ritual with them as the main recipient of the boons.,description,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_HearAnimaScream.label,hear anima scream,label,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_HearAnimaScream.description,{0} wants to hear the screams of a dying anima tree.,description,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_BecomeNoble.label,become noble,label,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_BecomeNoble.description,{0} wants to join the imperial great hierarchy.,description,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_WieldBladelink.label,wield bladelink weapon,label,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_WieldBladelink.description,{0} would like to bond with a bladelink weapon.,description,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_AttendSpeech.label,attend an inspirational throne speech,label,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_AttendSpeech.description,{0} wants to be there when an inspirational speech is given.,description,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_BecomeIdeologicalFigure.label,become an ideological figure,label,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_BecomeIdeologicalFigure.description,{0} wants to become a meaningful figure in their ideology.,description,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_BecomeLeader.label,become a leader,label,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_BecomeLeader.description,{0} wants to lead their people from a position of power.,description,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_ConnectWithGauranlenTree.label,connect with a gauranlen tree,label,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_ConnectWithGauranlenTree.description,{0} would love to connect with a Gauranlen tree in a tree linking ceremony.,description,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_GetMarried.label,get married,label,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
VAspirE_GetMarried.description,{0} would like to get married.,description,VAspirE.AspirationDef/VAspirE.AspirationDef.xml,def
