key,text,tag,file,type
VBE,Vanilla Backgrounds Expanded,VBE,Settings.xml,keyed
VBE.Randomize,Randomize,VBE.Randomize,Settings.xml,keyed
VBE.Randomize.Desc,Randomize background on game start,VBE.Randomize.Desc,Settings.xml,keyed
VBE.Cycle,Cycle,VBE.Cycle,Settings.xml,keyed
VBE.Cycle.Desc,Cycle background occasionally while in game,VBE.Cycle.Desc,Settings.xml,keyed
VBE.CycleTime,Cycle time:,VBE.CycleTime,Settings.xml,keyed
VBE.ToggleBackgrounds,Toggle Backgrounds Being Shown ->,VBE.ToggleBackgrounds,Settings.xml,keyed
VBE.SelectBackground,Select Background ->,VBE.SelectBackground,Settings.xml,keyed
VBE.AllowAnimated,Allow Animations,VBE.AllowAnimated,Settings.xml,keyed
VBE.AllowAnimated.Desc,Allow animated backgrounds to be used.,VBE.AllowAnimated.Desc,Settings.xml,keyed
VBE.Animated,animated,VBE.Animated,Settings.xml,keyed
VBE.NoDesc,A cool background,VBE.NoDesc,Settings.xml,keyed
VBE.OpenBackgrounds,Open Backgrounds Folder,VBE.OpenBackgrounds,Settings.xml,keyed
VBE.RimThemes,RimThemes Compat,VBE.RimThemes,Settings.xml,keyed
VBE.RimThemes.Desc,Overwrite RimThemes backgrounds with the ones from this mod.,VBE.RimThemes.Desc,Settings.xml,keyed
VBE.AllowAll,Enable all,VBE.AllowAll,Settings.xml,keyed
VBE.DisallowAll,Disable all,VBE.DisallowAll,Settings.xml,keyed
VBE.BetterLoading,Better Loading Compat,VBE.BetterLoading,Settings.xml,keyed
VBE.BetterLoading.Desc,Patch better loading to switch control the background of it's display,VBE.BetterLoading.Desc,Settings.xml,keyed
VBE.BetterLoading.Move,Move progress bar,VBE.BetterLoading.Move,Settings.xml,keyed
VBE.BetterLoading.Move.Desc,Move the better loading progress bar to the bottom to better show the background image,VBE.BetterLoading.Move.Desc,Settings.xml,keyed
VBE.AnimatedLoad,Animate on load,VBE.AnimatedLoad,Settings.xml,keyed
VBE.AnimatedLoad.Desc,"Show animations during initial game load. WARNING: In vanilla, these animations will freeze fequently.",VBE.AnimatedLoad.Desc,Settings.xml,keyed
VBE.OnLoad,Show on load,VBE.OnLoad,Settings.xml,keyed
VBE.OnLoad.Desc,Show on initial game load. Requires a restart (obviously),VBE.OnLoad.Desc,Settings.xml,keyed
