key,text,tag,file,type
VBE.Book,Book,VBE.Book,Keys.xml,keyed
VBE.ReadBook,Read {0},VBE.ReadBook,Keys.xml,keyed
VBE.CantReadSkillBookTooSimple,Can't read: This skillbook is not sufficient.,VBE.CantReadSkillBookTooSimple,Keys.xml,keyed
VBE.ReadNewsPaper,Read newspaper,VBE.ReadNewsPaper,Keys.xml,keyed
VBE.NewspaperRelevantUntil,Relevant until:,VBE.NewspaperRelevantUntil,Keys.xml,keyed
VBE.CantReadNewsPaperExpired,Can't read: This newspaper is out of date.,VBE.CantReadNewsPaperExpired,Keys.xml,keyed
VBE.ReadBlueprint,Read {0},VBE.ReadBlueprint,Keys.xml,keyed
VBE.CantReadBlueprintAlreadyResearched,Can't read: This technology is already known.,VBE.CantReadBlueprintAlreadyResearched,Keys.xml,keyed
VBE.CantReadBlueprintTooAdvanced,Can't read: This technology is too advanced.,VBE.CantReadBlueprintTooAdvanced,Keys.xml,keyed
VBE.CantReadBlueprintUsed,Can't read: This blueprint is already used.,VBE.CantReadBlueprintUsed,Keys.xml,keyed
VBE.ReadMap,Read map,VBE.ReadMap,Keys.xml,keyed
VBE.CantReadMapUsed,Can't read: This map is already used,VBE.CantReadMapUsed,Keys.xml,keyed
VBE.LocationsOpened,New location found,VBE.LocationsOpened,Keys.xml,keyed
VBE.LocationsOpenedDesc,Reading the map has unlocked a new location.,VBE.LocationsOpenedDesc,Keys.xml,keyed
VBE_ReadBook.reportString,reading.,reportString,JobDef/JobDef.xml,def
VBE_Reading.label,reading,label,JoyKindDef/JoyKindDef.xml,def
VBE_Writing.label,writing,label,ResearchProjectDef/ResearchProjectDef.xml,def
VBE_Writing.description,Construct a writing desk and have your colonists write books that pass their knowledge to other members of their society.,description,ResearchProjectDef/ResearchProjectDef.xml,def
VBE_Printing.label,printing,label,ResearchProjectDef/ResearchProjectDef.xml,def
VBE_Printing.description,"Build a typwriter, which allows your colonists to write books significantly faster, as well as create newspapers for temporary joy boost.",description,ResearchProjectDef/ResearchProjectDef.xml,def
VanillaExpanded.label,Vanilla Expanded,label,ResearchTabDef/ResearchTabDef.xml,def
VBE_Library.label,library room,label,RoomRoleDef/RoomRoleDef.xml,def
ArtDescription_BookShooting.rulePack.rulesStrings.0,physical_description_root->[ShootingSkill][maybe_cont]. [middle_book] [ShootingSkill][maybe_cont]. [ending] [ShootingSkill][maybe_cont]. This [book] is [book-context][maybe_writingstyles]. Studying this book increases the shooting skill.,li,RulePackDef/RulePackDef.xml,def
VBE_BookDescription_Animals.rulePack.rulesStrings.0,"r_animalsbook_desc->[cover] [first_chapters] [AnimalsSkill][maybe_cont]. [middle_book] [AnimalsSkill][maybe_cont]. [ending] [AnimalsSkill][maybe_cont]. This [book] is [book-context][maybe_writingstyles]. Being an animals book, reading it will increase the knowledge of animals.",li,RulePackDef/RulePackDef.xml,def
