key,text,tag,file,type
VCE_OpenedPresent,The opened present contained {0} inside!,VCE_OpenedPresent,Misc_Gameplay.xml,keyed
VCE_FestiveFavor,Festive Favor: {0},VCE_FestiveFavor,Misc_Gameplay.xml,keyed
VCE_DaysUntilPresents,Days until festive presents: {0},VCE_DaysUntilPresents,Misc_Gameplay.xml,keyed
VCE_ChangeDecorationsDesc,Change the festive decorations of the object.,VCE_ChangeDecorationsDesc,Misc_Gameplay.xml,keyed
VCE_ChangeDecorations,Change decorations,VCE_ChangeDecorations,Misc_Gameplay.xml,keyed
VCE_FestiveFavor_Label,Festive Favor,VCE_FestiveFavor_Label,Misc_Gameplay.xml,keyed
VCE_NotDecembary,Not Decembary,VCE_NotDecembary,Misc_Gameplay.xml,keyed
VCE_GingerbreadInDecembary,Gingerbread object in Decembary: x2,VCE_GingerbreadInDecembary,Misc_Gameplay.xml,keyed
VCE_ActivateSnowSpewer,Activate snow spewer,VCE_ActivateSnowSpewer,Misc_Gameplay.xml,keyed
VCE_ActivateSnowSpewerDesc,"Initiate the snow spewing process, which will gradually lower the local temperature and generate snowfall.",VCE_ActivateSnowSpewerDesc,Misc_Gameplay.xml,keyed
VCE_DeactivateSnowSpewer,Stop snow spewer,VCE_DeactivateSnowSpewer,Misc_Gameplay.xml,keyed
VCE_DeactivateSnowSpewerDesc,Stop the snow spewing process.,VCE_DeactivateSnowSpewerDesc,Misc_Gameplay.xml,keyed
VCE_AerodroneSelfDestructsIn,Aerodrone self-destructs in {0},VCE_AerodroneSelfDestructsIn,Misc_Gameplay.xml,keyed
VCE_LetterLabelAerodroneIncoming,Aerodrone incoming,VCE_LetterLabelAerodroneIncoming,Misc_Gameplay.xml,keyed
VCE_LetterTextAerodroneIncoming,An aerodrone is landing nearby.,VCE_LetterTextAerodroneIncoming,Misc_Gameplay.xml,keyed
VCE_LetterTextRaidSpacedrone,A raid from {0} has arrived to destroy the {1} that was forced to land nearby.,VCE_LetterTextRaidSpacedrone,Misc_Gameplay.xml,keyed
VCE_QuestPartRaidsDelay,Raids arriving in {0},VCE_QuestPartRaidsDelay,Misc_Gameplay.xml,keyed
VCE_QuestPartRaidsDelayDesc,Raids will start arriving in {0}.\n\nThe raiders will target the aerodrone and attempt to destroy it.,VCE_QuestPartRaidsDelayDesc,Misc_Gameplay.xml,keyed
VCE_SnowSpreadRadius,Snow spread radius: {0},VCE_SnowSpreadRadius,Misc_Gameplay.xml,keyed
VCE_DonatedToys,"Since you’ve donated {0} toys to {1}, you have received {2} festive favor!",VCE_DonatedToys,Misc_Gameplay.xml,keyed
