key,text,tag,file,type
VCE_InsertSoybeansDesc,Fermenting Item,VCE_InsertSoybeansDesc,Misc_Gameplay.xml,keyed
VCE_StartSoybeanInsertion,Bring Soybeans,VCE_StartSoybeanInsertion,Misc_Gameplay.xml,keyed
VCE_StartSoybeanInsertionDesc,Bring soybeans to the fermenter to start fermentation process,VCE_StartSoybeanInsertionDesc,Misc_Gameplay.xml,keyed
VCE_CancelBringingSoybeans,Cancel Bringing Soybeans,VCE_CancelBringingSoybeans,Misc_Gameplay.xml,keyed
VCE_CancelBringingSoybeansDesc,Cancel bringing soybeans to the fermenter.,VCE_CancelBringingSoybeansDesc,Misc_Gameplay.xml,keyed
VCE_RemoveSoySauce,Remove Soy Sauce ({0}),VCE_RemoveSoySauce,Misc_Gameplay.xml,keyed
VCE_RemoveSoySauceDesc,Remove soy sauce from the fermenter. The sauce will be ready at the present quality level ({0}),VCE_RemoveSoySauceDesc,Misc_Gameplay.xml,keyed
VCE_SoyFermenterNotWorking,This soy sauce fermenter is not working at the moment,VCE_SoyFermenterNotWorking,Misc_Gameplay.xml,keyed
VCE_CondimentEffectsSoy,Consuming meals that include this condiment increases mood by 5 and increases blood pumping and filtration by 5% for 12 hours.,VCE_CondimentEffectsSoy,Misc_Gameplay.xml,keyed
VCE_CondimentEffectsWasabi,"Consuming meals that include this condiment increases consciousness and breathing by 5%, decreases mood by 1 and decreases minimum lower temperature by 10ºC, all for 12 hours.",VCE_CondimentEffectsWasabi,Misc_Gameplay.xml,keyed
