key,text,tag,file,type
VCE_InsertSoup,insert soup,VCE_InsertSoup,Misc_Gameplay.xml,keyed
VCE_InsertSoupDesc,Soup to Cook,VCE_InsertSoupDesc,Misc_Gameplay.xml,keyed
VCE_NoSoupsFound,No soups of that kind found in this map.,VCE_NoSoupsFound,Misc_Gameplay.xml,keyed
VCE_UncookedSoupSimple,simple soup,VCE_UncookedSoupSimple,Misc_Gameplay.xml,keyed
VCE_UncookedSoupFine,fine soup,VCE_UncookedSoupFine,Misc_Gameplay.xml,keyed
VCE_UncookedSoupLavish,lavish soup,VCE_UncookedSoupLavish,Misc_Gameplay.xml,keyed
VCE_UncookedSoupGourmet,gourmet soup,VCE_UncookedSoupGourmet,Misc_Gameplay.xml,keyed
VCE_UncookedSoupSimple_InsertSoup,insert simple soup,VCE_UncookedSoupSimple_InsertSoup,Misc_Gameplay.xml,keyed
VCE_UncookedSoupFine_InsertSoup,insert fine soup,VCE_UncookedSoupFine_InsertSoup,Misc_Gameplay.xml,keyed
VCE_UncookedSoupLavish_InsertSoup,insert lavish soup,VCE_UncookedSoupLavish_InsertSoup,Misc_Gameplay.xml,keyed
VCE_UncookedSoupGourmet_InsertSoup,insert gourmet soup,VCE_UncookedSoupGourmet_InsertSoup,Misc_Gameplay.xml,keyed
VCE_SelectSoup,Select a type of soup to be cooked,VCE_SelectSoup,Misc_Gameplay.xml,keyed
VCE_StartInsertion,Bring Soup,VCE_StartInsertion,Misc_Gameplay.xml,keyed
VCE_StartInsertionDesc,Bring a soup to the electric pot to start cooking,VCE_StartInsertionDesc,Misc_Gameplay.xml,keyed
VCE_RemoveSoup,Remove Soup,VCE_RemoveSoup,Misc_Gameplay.xml,keyed
VCE_RemoveSoupDesc,Remove the soup from the pot. This can only be done before you start cooking it.,VCE_RemoveSoupDesc,Misc_Gameplay.xml,keyed
VCE_CancelBringingSoup,Cancel Bringing Soup,VCE_CancelBringingSoup,Misc_Gameplay.xml,keyed
VCE_CancelBringingSoupDesc,Cancel bringing soup to the electric pot.,VCE_CancelBringingSoupDesc,Misc_Gameplay.xml,keyed
VCE_WaitTillJobsEnd,"Wait until the soup has been brought to the electric pot, or cancel the job.",VCE_WaitTillJobsEnd,Misc_Gameplay.xml,keyed
VCE_NotPowered,The electric pot is not powered,VCE_NotPowered,Misc_Gameplay.xml,keyed
VCE_Engage,Cook Soup,VCE_Engage,Misc_Gameplay.xml,keyed
VCE_EngageDesc,"Start cooking soup. This process takes 3 days and can't be interrupted, or the soup will be destroyed.",VCE_EngageDesc,Misc_Gameplay.xml,keyed
VCE_SoupFailurePower,The soup has spoiled due to a power failure in the electric pot,VCE_SoupFailurePower,Misc_Gameplay.xml,keyed
VCE_SoupFailurePowerWarning,The soup is spoiling fast due to a lack of fuel in the electric pot,VCE_SoupFailurePowerWarning,Misc_Gameplay.xml,keyed
VCE_SoupFinished,A soup has finished cooking in the electric pot,VCE_SoupFinished,Misc_Gameplay.xml,keyed
VCE_SoupInProgress,An {0} is cooking. It will be ready in {1},VCE_SoupInProgress,Misc_Gameplay.xml,keyed
VCE_SoupReady,A soup has finished cooking and is waiting for pickup,VCE_SoupReady,Misc_Gameplay.xml,keyed
VCE_SoupPotNotWorking,This electric pot is not working at the moment,VCE_SoupPotNotWorking,Misc_Gameplay.xml,keyed
VCE_InsertMilkDesc,Select Milk to press in the cheese press. Different milks might produce different types of cheese.,VCE_InsertMilkDesc,Misc_Gameplay.xml,keyed
VCE_InsertMilk,Select Milk,VCE_InsertMilk,Misc_Gameplay.xml,keyed
VCE_InsertMilkVariable,Insert {0},VCE_InsertMilkVariable,Misc_Gameplay.xml,keyed
VCE_NoMilksFound,No milks of that kind found in this map.,VCE_NoMilksFound,Misc_Gameplay.xml,keyed
VCE_SelectMilk,Select a type of milk to be pressed,VCE_SelectMilk,Misc_Gameplay.xml,keyed
