key,text,tag,file,type
VFEA.AbilityDisableReasonCooldown,{0} is on cooldown for {1},VFEA.AbilityDisableReasonCooldown,Abilities.xml,keyed
VFEA.AbilityDisableReasonGeneral,{0} doesn't meet the requirements,VFEA.AbilityDisableReasonGeneral,Abilities.xml,keyed
VFEA.AbilityStatsPower,Power,VFEA.AbilityStatsPower,Abilities.xml,keyed
VFEA.AbilityStatsDuration,Duration,VFEA.AbilityStatsDuration,Abilities.xml,keyed
VFEA.TargetMustBeHostile,Target must be hostile,VFEA.TargetMustBeHostile,Abilities.xml,keyed
VFEA.MinRadius,Minimum radius,VFEA.MinRadius,Abilities.xml,keyed
VFEA.RClickToAuto,Right-click to enable autocasting.,VFEA.RClickToAuto,Abilities.xml,keyed
VFEA.RClickToNoAuto,Right-click to disable autocasting.,VFEA.RClickToNoAuto,Abilities.xml,keyed
VEF_DisableCorpseDecaying,Disable corpse decaying,VEF_DisableCorpseDecaying,Abilities.xml,keyed
VEF_DisableCorpseDecayingDesc,Disable the constant corpse decaying ability of this animal.,VEF_DisableCorpseDecayingDesc,Abilities.xml,keyed
VEF_EnableCorpseDecaying,Enable corpse decaying,VEF_EnableCorpseDecaying,Abilities.xml,keyed
VEF_EnableCorpseDecayingDesc,Enable the constant corpse decaying ability of this animal.,VEF_EnableCorpseDecayingDesc,Abilities.xml,keyed
VEF_DisableDigging,Disable digging for food,VEF_DisableDigging,Abilities.xml,keyed
VEF_DisableDiggingDesc,Disable the ability to dig the terrain for food of this animal.,VEF_DisableDiggingDesc,Abilities.xml,keyed
VEF_EnableDigging,Enable digging for food,VEF_EnableDigging,Abilities.xml,keyed
VEF_EnableDiggingDesc,Enable the ability to dig the terrain for food of this animal.,VEF_EnableDiggingDesc,Abilities.xml,keyed
VEF_DisableGas,Disable gas production,VEF_DisableGas,Abilities.xml,keyed
VEF_DisableGasDesc,Disable the ability to produce gas of this animal.,VEF_DisableGasDesc,Abilities.xml,keyed
VEF_EnableGas,Enable gas production,VEF_EnableGas,Abilities.xml,keyed
VEF_EnableGasDesc,Enable the ability to produce gas of this animal.,VEF_EnableGasDesc,Abilities.xml,keyed
NocturnalAnimals.BodyClock,Body clock,NocturnalAnimals.BodyClock,AnimalBehaviours.xml,keyed
NocturnalAnimals.BodyClock_Description,"Determines when the animal sleeps and when it is awake.\n\nDiurnal animals sleep during the night and are awake during the day, while nocturnal animals sleep during the day and are awake during the night. Crepuscular animals are mainly active during dusk.",NocturnalAnimals.BodyClock_Description,AnimalBehaviours.xml,keyed
NocturnalAnimals.BodyClock_Diurnal,Diurnal,NocturnalAnimals.BodyClock_Diurnal,AnimalBehaviours.xml,keyed
NocturnalAnimals.BodyClock_Nocturnal,Nocturnal,NocturnalAnimals.BodyClock_Nocturnal,AnimalBehaviours.xml,keyed
NocturnalAnimals.BodyClock_Crepuscular,Crepuscular,NocturnalAnimals.BodyClock_Crepuscular,AnimalBehaviours.xml,keyed
VEF_AsexualHatched,{0} has reproduced asexually.,VEF_AsexualHatched,AnimalBehaviours.xml,keyed
VEF_AsexualCloning,{0} has cloned itself.,VEF_AsexualCloning,AnimalBehaviours.xml,keyed
VEF_AsexualHatchedEgg,{0} has sporulated.,VEF_AsexualHatchedEgg,AnimalBehaviours.xml,keyed
VEF_NotTameable,This creature is untameable,VEF_NotTameable,AnimalBehaviours.xml,keyed
VEF_TimeToMetamorphosis,Time to metamorphosis: {0},VEF_TimeToMetamorphosis,AnimalBehaviours.xml,keyed
VEF_WarningEggExplodes,"Warning, this egg explodes when hatching!",VEF_WarningEggExplodes,AnimalBehaviours.xml,keyed
VEF_TimeToDie,Animal expires in: {0},VEF_TimeToDie,AnimalBehaviours.xml,keyed
VEF_DisableAnimal,Disable {0},VEF_DisableAnimal,AnimalBehaviours.xml,keyed
VEF_StomachContents,{0} creatures swallowed whole.,VEF_StomachContents,AnimalBehaviours.xml,keyed
VEF_DigestionTime,Will be consumed in {0},VEF_DigestionTime,AnimalBehaviours.xml,keyed
VEF_TerrainsNeedsDiggable,The terrain needs to be diggable to do this,VEF_TerrainsNeedsDiggable,AnimalBehaviours.xml,keyed
VEF_WhileCaravaning,"While caravaning, produces {0} {1} every:",VEF_WhileCaravaning,AnimalBehaviours.xml,keyed
VCE_AffectsAllAnimalMods,These animal behaviours options will affect all animal mods that share code from the Vanilla Expanded Framework,VCE_AffectsAllAnimalMods,AnimalBehaviours.xml,keyed
VCE_CorpseDecayingEffectOption,"Allow corpse decaying mechanics (for example, Helixien slug's effect)",VCE_CorpseDecayingEffectOption,AnimalBehaviours.xml,keyed
VCE_DigWhenHungryOption,"Allow digging when hungry mechanics (for example, Frostmites digging corpses)",VCE_DigWhenHungryOption,AnimalBehaviours.xml,keyed
VCE_DigPeriodicallyOption,Allows animals digging for things periodically,VCE_DigPeriodicallyOption,AnimalBehaviours.xml,keyed
VCE_AnimalParticlesOption,Allow animal particles (gas and filth),VCE_AnimalParticlesOption,AnimalBehaviours.xml,keyed
VCE_AsexualReproductionOption,Allow asexual reproduction,VCE_AsexualReproductionOption,AnimalBehaviours.xml,keyed
VFE_AsexualReproductionDisabled,Asexual reproduction disabled via mod options,VFE_AsexualReproductionDisabled,AnimalBehaviours.xml,keyed
VCE_BlinkMechanicsOption,"Allow ""blink"" mechanics (for example, Skiphounds)",VCE_BlinkMechanicsOption,AnimalBehaviours.xml,keyed
VCE_BuildPeriodicallyOption,"Allow animals building things (for example, beavers building dams)",VCE_BuildPeriodicallyOption,AnimalBehaviours.xml,keyed
VCE_ChargeBatteriesOption,Allow animals recharging nearby batteries or refueling,VCE_ChargeBatteriesOption,AnimalBehaviours.xml,keyed
VCE_ExplodingEggsOption,Allow animals' eggs that explode (such as dragons'),VCE_ExplodingEggsOption,AnimalBehaviours.xml,keyed
VCE_HoveringOption,"Allow animals ""hovering"", ignoring terrain movement costs and waterstriding",VCE_HoveringOption,AnimalBehaviours.xml,keyed
VCE_GraphicChangingOption,"Allow animals changing graphics (for example, Chameleon Yak)",VCE_GraphicChangingOption,AnimalBehaviours.xml,keyed
VCE_EffecterOption,"Allows animals causing hediffs, mental states or thoughts",VCE_EffecterOption,AnimalBehaviours.xml,keyed
VCE_RegenerationOption,Allow health regeneration (active and passive),VCE_RegenerationOption,AnimalBehaviours.xml,keyed
VCE_ResurrectionOption,Allow animals to auto-resurrect (for example Phoenix Owlcat),VCE_ResurrectionOption,AnimalBehaviours.xml,keyed
VCE_UntameableOption,Allow some animals to be untameable,VCE_UntameableOption,AnimalBehaviours.xml,keyed
VEF_AnimalsSearch,Search:,VEF_AnimalsSearch,AnimalBehaviours.xml,keyed
VEF_BillRequiresMass,Requires {0} Kg total mass,VEF_BillRequiresMass,AnimalBehaviours.xml,keyed
VEF.Factions.Contraband_Booze_GiftWarning,Gifting {ILLEGALTHING_label} is against {FACTION_name} law. This may or may not affect your relations with them in the future,VEF.Factions.Contraband_Booze_GiftWarning,Contraband.xml,keyed
VEF.Factions.Contraband_Booze_GiftIllegalWarning,Gifting {ILLEGALTHING_label} to {ILLEGALFACTION_name} is against {FACTION_name} law. This may or may not affect your relations with them in the future,VEF.Factions.Contraband_Booze_GiftIllegalWarning,Contraband.xml,keyed
VEF.Factions.Contraband_Booze_SellWarning,Selling {ILLEGALTHING_label} is against {FACTION_name} law. This may or may not affect your relations with them in the future,VEF.Factions.Contraband_Booze_SellWarning,Contraband.xml,keyed
VEF.Factions.Contraband_Booze_SellIllegalWarning,Selling {ILLEGALTHING_label} to {ILLEGALFACTION_name} is against {FACTION_name} law. This may or may not affect your relations with them in the future,VEF.Factions.Contraband_Booze_SellIllegalWarning,Contraband.xml,keyed
VEF.Factions.Contraband_Booze_LetterLabel,{FACTION_name} angered,VEF.Factions.Contraband_Booze_LetterLabel,Contraband.xml,keyed
VEF.Factions.Contraband_Booze_LetterDescGift,"{FACTION_name} caught wind that you have been gifting {ILLEGALTHING_label} behind their back. They consider it to be against the law, and your relations have degraded",VEF.Factions.Contraband_Booze_LetterDescGift,Contraband.xml,keyed
VEF.Factions.Contraband_Booze_LetterDescSold,"{FACTION_name} caught wind that you have been selling {ILLEGALTHING_label} behind their back. They consider it to be against the law, and your relations have degraded",VEF.Factions.Contraband_Booze_LetterDescSold,Contraband.xml,keyed
VEF.Factions.Contraband_Booze_LetterDescIllegalGift,"{FACTION_name} caught wind that you have been gifting {ILLEGALTHING_label} to {ILLEGALFACTION_name} behind their back. They consider it to be against the law, and your relations have degraded",VEF.Factions.Contraband_Booze_LetterDescIllegalGift,Contraband.xml,keyed
VEF.Factions.Contraband_Booze_LetterDescIllegalSold,"{FACTION_name} caught wind that you have been selling {ILLEGALTHING_label} to {ILLEGALFACTION_name} behind their back. They consider it to be against the law, and your relations have degraded",VEF.Factions.Contraband_Booze_LetterDescIllegalSold,Contraband.xml,keyed
VEF.Factions.Contraband_Booze_RelationInfo,Goodwill with {FACTION_name} is now {1}. (Changed by {2}),VEF.Factions.Contraband_Booze_RelationInfo,Contraband.xml,keyed
VEF.Factions.FactionDef_Description_Contraband,Trading details,VEF.Factions.FactionDef_Description_Contraband,Contraband.xml,keyed
