key,text,tag,file,type
VFED.EndgameText,"The Shattered Empire, once a symbol of tyranny and oppression, has crumbled. All over the planet, brave deserters rose in a chorus of rebellion, breaking the chains of servitude that held them bound. Every child who now wakes to the dawn of freedom will remember and revere these names, the names of the heroes who dared to challenge the impossible:
{0}
\nHowever, this is not the end, but merely a transition. With the old empire now but ruins and their flagship a burning wreckage fallen from the skies, a time for healing and rebuilding is upon us. The nobles, once loyal to the empire, now surrender to outlander communities or lose themselves in a life of crime. There's no denying the truth - the world has forever changed.
\nAs you stand at the threshold of a new era, you remember this chapter of defiance and courage. The echoes of the Shattered Empire will serve as a reminder of your resilience, a testament to your unfaltering quest for freedom. You look ahead, knowing that you are stepping into a future built on hope, unity, and liberation.",VFED.EndgameText,Endgame.xml,keyed
VFED.EndgameWarningText,"You are about to initiate a final mission in Vanilla Factions Expanded: Deserters. After the mission is complete, the Empire and the Deserters will be no more. Are you sure you want to initiate the final mission?",VFED.EndgameWarningText,Endgame.xml,keyed
VFED.Detonate,Detonate,VFED.Detonate,Misc.xml,keyed
VFED.IntelOutOfDate,Intel will go out of date in: {0},VFED.IntelOutOfDate,Misc.xml,keyed
VFED.IntelOutOfDateNow,{0} has gone out of date. Consider using up the intel you gather before it goes out of date.,VFED.IntelOutOfDateNow,Misc.xml,keyed
VFED.SwitchTo,Click to switch to {0},VFED.SwitchTo,Misc.xml,keyed
VFED.SurveillancePillarActivated,You have activated an imperial surveillance pillar. Visibility of your faction has increased by {1}. It is now {0}.,VFED.SurveillancePillarActivated,Misc.xml,keyed
VFED.IntelFromTitle,{0} has been stripped from their title of {1}. They have provided you with {2} Intel.,VFED.IntelFromTitle,Misc.xml,keyed
VFED.ResponseComing,Imperial response,VFED.ResponseComing,Misc.xml,keyed
VFED.ResponseComingDesc,An imperial {0} is on its way to this location. It will arrive in {1}s.,VFED.ResponseComingDesc,Misc.xml,keyed
VFED.ResponseMessage,"Due to triggering an imperial response, your visibility has increased by {0}. It is now {1}. In the future, you can avoid increasing the visibility by completing the mission before the response arrives.",VFED.ResponseMessage,Misc.xml,keyed
VFED.Detonate.BombPack,Detonate bomb pack,VFED.Detonate.BombPack,Misc.xml,keyed
VFED.Detonate.BombPack.Desc,Detonate this bomb pack remotely to generate a big explosion. WARNING: Pressing this button will immediately set off the bomb.,VFED.Detonate.BombPack.Desc,Misc.xml,keyed
VFED.Deploy,Deploy,VFED.Deploy,Misc.xml,keyed
