key,text,tag,file,type
VFEE.OR,OR,VFEE.OR,Misc.xml,keyed
VFEE.StartBestower.NoThrone,Unable to start due to {0} not having a dignified throne.,VFEE.StartBestower.NoThrone,Misc.xml,keyed
VFEE.StartBestower.NoTarget,Unable to start due to no valid throne rooms for the bestowing of the title.,VFEE.StartBestower.NoTarget,Misc.xml,keyed
VFEE.StartBestower.HigherTitle,Unable to start due to target already possesing a higher title,VFEE.StartBestower.HigherTitle,Misc.xml,keyed
VFEE.StartBestower.DisabledExistingRitual,Unable to start while an existing ritual is ongoing.,VFEE.StartBestower.DisabledExistingRitual,Misc.xml,keyed
VFEE.GalleryRequirements,Gallery requirements,VFEE.GalleryRequirements,Misc.xml,keyed
VFEE.GalleryRequirements.Unmet,Gallery requirements unmet: {0},VFEE.GalleryRequirements.Unmet,Misc.xml,keyed
VFEE.BallroomRequirements,Ballroom requirements,VFEE.BallroomRequirements,Misc.xml,keyed
VFEE.BallroomRequirements.Unmet,Ballroom requirements unmet for: {0},VFEE.BallroomRequirements.Unmet,Misc.xml,keyed
VFEE.BallroomRequirements.DanceFloorToSmall,Ballroom does not have a big enough dance floor for the guests! They would like an open floor space of {0} infront of an instrument,VFEE.BallroomRequirements.DanceFloorToSmall,Misc.xml,keyed
VFEE.CourtRequirements,Noble court requirements,VFEE.CourtRequirements,Misc.xml,keyed
VFEE.GrandBall.Begin,Host Grandball,VFEE.GrandBall.Begin,Misc.xml,keyed
VFEE.GrandBall.Label,Grandball,VFEE.GrandBall.Label,Misc.xml,keyed
VFEE.GrandBall.Leave.label,Leave Grandball,VFEE.GrandBall.Leave.label,Misc.xml,keyed
VFEE.GrandBall.Leave.Desc,"This pawn will leave the grandball, they will not be able to rejoin the festivities later",VFEE.GrandBall.Leave.Desc,Misc.xml,keyed
VFEE.GrandBall.Cancel.Label,Cancel Grandball,VFEE.GrandBall.Cancel.Label,Misc.xml,keyed
VFEE.GrandBall.Cancel.Desc,Cancel the grand ball sending everyone home and failing the quest,VFEE.GrandBall.Cancel.Desc,Misc.xml,keyed
VFEE.GrandBall.Cancel.Confirm,"There will be no opportunity to restart this ritual, your guests will go home unappy and the quest will be failed.",VFEE.GrandBall.Cancel.Confirm,Misc.xml,keyed
VFEE.GrandBall.Waiting,Your guests are waiting for you to start the grand ball. They wont wait long however,VFEE.GrandBall.Waiting,Misc.xml,keyed
VFEE.GrandBall.Description,"An exclusive ball to only be attended by those with a royal title, and a few who can play instruments",VFEE.GrandBall.Description,Misc.xml,keyed
VFEE.GrandBall.ChooseParticipants,Participants,VFEE.GrandBall.ChooseParticipants,Misc.xml,keyed
VFEE.ArtExhibit.Begin,Host Art Exhibit,VFEE.ArtExhibit.Begin,Misc.xml,keyed
VFEE.ArtExhibit.Label,Art Exhibit,VFEE.ArtExhibit.Label,Misc.xml,keyed
VFEE.ArtExhibit.Leave.label,Leave exhibit,VFEE.ArtExhibit.Leave.label,Misc.xml,keyed
VFEE.ArtExhibit.Leave.Desc,"This pawn will leave the exhibit, they will not be able to rejoin the festivities later",VFEE.ArtExhibit.Leave.Desc,Misc.xml,keyed
VFEE.ArtExhibit.Leave.Disabled,host cannot leave the exhibit,VFEE.ArtExhibit.Leave.Disabled,Misc.xml,keyed
VFEE.ArtExhibit.Cancel.Label,Cancel Exhibit,VFEE.ArtExhibit.Cancel.Label,Misc.xml,keyed
VFEE.ArtExhibit.Cancel.Desc,Cancel the art exhibit sending everyone home and failing the quest,VFEE.ArtExhibit.Cancel.Desc,Misc.xml,keyed
VFEE.ArtExhibit.Cancel.Confirm,"There will be no opportunity to restart this ritual, your guests will go home unappy and the quest will be failed.",VFEE.ArtExhibit.Cancel.Confirm,Misc.xml,keyed
VFEE.ArtExhibit.Waiting,Your guests are waiting for you to start the art exhibit. They wont wait long however,VFEE.ArtExhibit.Waiting,Misc.xml,keyed
VFEE.ArtExhibit.Description,"An art expedition to only be attended by those with a royal title, to view your galley and gossip with eachother.",VFEE.ArtExhibit.Description,Misc.xml,keyed
VFEE.ArtExhibit.ChooseParticipants,Participants,VFEE.ArtExhibit.ChooseParticipants,Misc.xml,keyed
VFEE.Parade.Begin,Host Parade,VFEE.Parade.Begin,Misc.xml,keyed
VFEE.Parade.Murder,Driven by jealousy {0} is attempting to murder the stellarch!,VFEE.Parade.Murder,Misc.xml,keyed
VFEE.Parade.Label,Parade,VFEE.Parade.Label,Misc.xml,keyed
VFEE.Parade.Leave.label,Leave Parade,VFEE.Parade.Leave.label,Misc.xml,keyed
VFEE.Parade.Leave.Desc,"This pawn will leave the Parade, they will not be able to rejoin the festivities later",VFEE.Parade.Leave.Desc,Misc.xml,keyed
VFEE.Parade.Leave.Disabled,the stellarch cannot leave the Parade,VFEE.Parade.Leave.Disabled,Misc.xml,keyed
VFEE.Parade.Cancel.Label,Cancel Parade,VFEE.Parade.Cancel.Label,Misc.xml,keyed
VFEE.Parade.Cancel.Desc,Cancel the parade sending everyone home and failing the quest,VFEE.Parade.Cancel.Desc,Misc.xml,keyed
VFEE.Parade.Cancel.Confirm,"There will be no opportunity to restart this ritual, your guests will go home unhappy and the quest will be failed.",VFEE.Parade.Cancel.Confirm,Misc.xml,keyed
VFEE.Parade.Waiting,Your guests are waiting for you to start the Parade. They wont wait long however,VFEE.Parade.Waiting,Misc.xml,keyed
VFEE.Parade.Description,A traditional ascension parade to send off the stellarch!,VFEE.Parade.Description,Misc.xml,keyed
VFEE.Parade.InvalidGuard,The stellarch does not trust {0} enough.,VFEE.Parade.InvalidGuard,Misc.xml,keyed
VFEE.Parade.ChooseParticipants,Participants,VFEE.Parade.ChooseParticipants,Misc.xml,keyed
VFEE.Parade.LandingAreaUnmet,Unable to find a suitable drop beacon for the guests to land their shuttle at,VFEE.Parade.LandingAreaUnmet,Misc.xml,keyed
VFEE.Parade.Reward.Label,Stellarch Ascension,VFEE.Parade.Reward.Label,Misc.xml,keyed
VFEE.Parade.Reward.Description,"Your Stellarch will achieve ascension with passage off world to progress further in the grand hierachy, serving directly with the emperor",VFEE.Parade.Reward.Description,Misc.xml,keyed
VFEE.DefuseBomb,Defuse bomb,VFEE.DefuseBomb,Misc.xml,keyed
VFEE.AssassinationSuccess,Deserters are leaving as they have eliminated their target.,VFEE.AssassinationSuccess,Misc.xml,keyed
VFEE.Discard,Discard,VFEE.Discard,Misc.xml,keyed
VFEE.RoyaltyDead,Deserters are leaving as they have eliminated every imperial title holder in the area.,VFEE.RoyaltyDead,Misc.xml,keyed
VFEE.GotDrug,{0} has sent you a celebration package of aperitif!,VFEE.GotDrug,Misc.xml,keyed
VFEE.TitheArrived,The tithe of {0} has arrived from {1}.,VFEE.TitheArrived,Misc.xml,keyed
VFEE.HonorGainedTitle,1 Honor gained by {0} due to {1},VFEE.HonorGainedTitle,Misc.xml,keyed
VFEE,VFE - Empire,VFEE,Settings.xml,keyed
VFEE.DeserterChance,Terrorism Chance Multiplier,VFEE.DeserterChance,Settings.xml,keyed
VFEE.NoblesPerTitle,Nobles per title: {0},VFEE.NoblesPerTitle,Settings.xml,keyed
VFEE.NoblesPerTitleDesc,"Responsible for the number of nobles in the hierarchy. By default, one noble for each title (16), not counting the very first one. The fewer nobles, the higher the performance, but the more boring the empire.

Does not affect the already generated hierarchy.",VFEE.NoblesPerTitleDesc,Settings.xml,keyed
VFEE.SeeAlso,See also:,VFEE.SeeAlso,UI.xml,keyed
VFEE.ChangeCharacter,Change character,VFEE.ChangeCharacter,UI.xml,keyed
VFEE.CurrentTitle,Current title: {0},VFEE.CurrentTitle,UI.xml,keyed
VFEE.CurrentHonor,Honor: {0},VFEE.CurrentHonor,UI.xml,keyed
VFEE.PermitPoints,Unused permit points: {0},VFEE.PermitPoints,UI.xml,keyed
VFEE.DevMode,Developer mode,VFEE.DevMode,UI.xml,keyed
VFEE.VassalPoints,Unused vassalage points: {0},VFEE.VassalPoints,UI.xml,keyed
VFEE.ReleaseAllVassals,Release all vassals,VFEE.ReleaseAllVassals,UI.xml,keyed
VFEE.ReleaseAllVassals.Confirm,Releasing vassals will causes resources stored to be lost. Are you sure?,VFEE.ReleaseAllVassals.Confirm,UI.xml,keyed
VFEE.VassalsOf,"Vassals of {0}, {1}",VFEE.VassalsOf,UI.xml,keyed
VFEE.TitheDesc,Tithes will be delivered via drop-pods after designated time has elapsed.,VFEE.TitheDesc,UI.xml,keyed
VFEE.Deliver,Deliver,VFEE.Deliver,UI.xml,keyed
VFEE.Deliver.EveryWeek,Every 7 days,VFEE.Deliver.EveryWeek,UI.xml,keyed
VFEE.Deliver.EveryQuadrum,Every 15 days,VFEE.Deliver.EveryQuadrum,UI.xml,keyed
