key,text,tag,file,type
VAE_ArmorMelting.label,Armor Melting,label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_ArmorMelting.description,Have a colony insectoid use Acid Spit or Acid Spew on a hostile humanoid wearing marine armor,description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_CallPestControl.label,Call Pest Control,label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_CallPestControl.description,Get a large infestation,description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_ChitinBaby.label,Chitin Baby,label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_ChitinBaby.description,"Have a pawn die due to the Titantick spawn health condition, thus giving birth to a new colony Titantick",description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_FullPherocoreDeck.label,Full Pherocore Deck,label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_FullPherocoreDeck.description,Get one of each Pherocore at the same time,description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_ImDoingMyPart.label,I'm Doing My Part!,label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_ImDoingMyPart.description,Kill a total of 50 swarmlings,description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_ImTheHiveNow.label,"Look At Me, I'm The Hive Now",label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_ImTheHiveNow.description,Build your first artificial basic hive,description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_ItsCalledFashionHoney.label,"It's Called Fashion, Honey",label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_ItsCalledFashionHoney.description,Craft a T-shirt of at least Excellent quality using insect chitin,description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_MightyMorphingJellyRangers.label,Mighty Morphing Jelly... Rangers?,label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_MightyMorphingJellyRangers.description,Build your first jelly morpher,description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_NoRunningAwayFromThis.label,No Running Away From This,label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_NoRunningAwayFromThis.description,Have a colonist or colony animal get stunned by a Teramantis,description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_NotAWakameSalad.label,Not A Wakame Salad,label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_NotAWakameSalad.description,Eat 40 meals including tendril moss on their ingredients,description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_NudistBeach.label,Nudist Beach,label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_NudistBeach.description,Attack a Xanides insectoid until its armor breaks,description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_OrganicTurrets.label,Organic Turrets,label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_OrganicTurrets.description,Build a total of 5 insectoid turrets (vilelobbers or thornworms),description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_PyromaniacInsects.label,Pyromaniac Insects,label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VAE_PyromaniacInsects.description,Have colony insectoids use Flame Spew at least 10 times,description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
