key,text,tag,file,type
VFEM2_NeedTend,The apiary needs to be tended to,VFEM2_NeedTend,Misc.xml,keyed
VFEM2_Resting,The apiary is resting because the ambient temperature is below 10°C,VFEM2_Resting,Misc.xml,keyed
VFEM2_Ready,Honey ready,VFEM2_Ready,Misc.xml,keyed
VFEM2_NeedFlower,The apiary needs {0} more flowers around it for bees to forage around.,VFEM2_NeedFlower,Misc.xml,keyed
VFEM2_NeedTIn,The apiary needs tending in {0},VFEM2_NeedTIn,Misc.xml,keyed
VFEM2_PlaceWorker,The apiary needs to be three cells away from any other apiaries,VFEM2_PlaceWorker,Misc.xml,keyed
VFEM2_PlaceWorkerNoRoof,The apiary can't be built under a roof,VFEM2_PlaceWorkerNoRoof,Misc.xml,keyed
VFEM2_BelowAnimalSkill,"Animal skill too low, needs 5",VFEM2_BelowAnimalSkill,Misc.xml,keyed
VFEM2_TendingFailed,Tending failed,VFEM2_TendingFailed,Misc.xml,keyed
VFEM2_MeadFermentingBarrelNotWorking,This mead fermenting barrel is not working at the moment,VFEM2_MeadFermentingBarrelNotWorking,Misc.xml,keyed
VFEM2_WineBarrelNotWorking,This wine fermenting barrel is not working at the moment,VFEM2_WineBarrelNotWorking,Misc.xml,keyed
VFEM2_BoilPotNotWorking,This boil pot is not working at the moment,VFEM2_BoilPotNotWorking,Misc.xml,keyed
VFEM2_StyleHeraldics,Edit Heraldry,VFEM2_StyleHeraldics,Misc.xml,keyed
VFEM2_SetPattern,Pattern,VFEM2_SetPattern,Misc.xml,keyed
VFEM2_SetSymbol,Symbol,VFEM2_SetSymbol,Misc.xml,keyed
VFEM2_EditFactionHeraldry,Edit Faction,VFEM2_EditFactionHeraldry,Misc.xml,keyed
VFEM2_EditThingHeraldry,Edit Target,VFEM2_EditThingHeraldry,Misc.xml,keyed
VFEM2_ResetToFaction,Reset,VFEM2_ResetToFaction,Misc.xml,keyed
VFEM2_StatsReport_Flammability,Timbered wall: +50%,VFEM2_StatsReport_Flammability,Misc.xml,keyed
VFEM2_ItemImproved_Anvil,{0} has been improved to {1} quality level due to the smithing anvil.,VFEM2_ItemImproved_Anvil,Misc.xml,keyed
VFEM2_ItemImproved_Polisher,{0} has been improved to {1} quality level due to the stone polisher.,VFEM2_ItemImproved_Polisher,Misc.xml,keyed
VFEM2_MerchantCaravanSpawnCount,Merchant caravan spawn count (scalable with world polulation size),VFEM2_MerchantCaravanSpawnCount,Misc.xml,keyed
VFEM2_MerchantCaravanStayPeriod,Merchant's Guild will pack and move in: {0},VFEM2_MerchantCaravanStayPeriod,Misc.xml,keyed
VFEM2_BarterWith,Barter with {0},VFEM2_BarterWith,Misc.xml,keyed
VFEM2_BarterFairness,Barter fairness,VFEM2_BarterFairness,Misc.xml,keyed
VFEM2_BarterExplanation,"In order to strike a deal with the Merchant's Guild, you need to provide them with enough goods for the deal to become fair. Value of every item is skewed in random direction slightly. Higher negotiation ability will increase the value of your items.",VFEM2_BarterExplanation,Misc.xml,keyed
VFEM2_CommandBarter,Barter,VFEM2_CommandBarter,Misc.xml,keyed
VFEM2_CommandBarterDesc,Barter with this merchant guild.,VFEM2_CommandBarterDesc,Misc.xml,keyed
VFEM2_LetterLabelFactionBaseDefeated,Merchant's guild camp destroyed,VFEM2_LetterLabelFactionBaseDefeated,Misc.xml,keyed
VFEM2_LetterFactionBaseDefeated,The merchant's guild camp has been destroyed.,VFEM2_LetterFactionBaseDefeated,Misc.xml,keyed
VFEM2_LetterFactionBaseDefeated_FactionDestroyed,"Since this was their last camp, {0} has been defeated.",VFEM2_LetterFactionBaseDefeated_FactionDestroyed,Misc.xml,keyed
VFEM_MaynardMedievalResearchModifier,"Due to the amount of completed research projects, the research  cost is increased to: {0}",VFEM_MaynardMedievalResearchModifier,Misc.xml,keyed
VFEM_PillageRaidDesc,"A group of vikings from {0} have arrived nearby.\nThey will attempt to burn your colony down, stealing whatever they can before they leave.\nPrepare a defense or attack them preemptively.",VFEM_PillageRaidDesc,Misc.xml,keyed
VFEM2_CobblestoneWall_.label,cobblestone wall ({0}),label,VFEMedieval.CobblestoneWallTemplateDef/VFEMedieval.CobblestoneWallTemplateDef.xml,def
VFEM2_CobblestoneWall_.description,An impassable wall made out of big rock chunks.,description,VFEMedieval.CobblestoneWallTemplateDef/VFEMedieval.CobblestoneWallTemplateDef.xml,def
VFEM2_Feudal.label,feudal,label,CultureDef/CultureDef.xml,def
VFEM2_Feudal.description,A harsh feudal culture of medieval people.,description,CultureDef/CultureDef.xml,def
