key,text,tag,file,type
VFEP_WarcasketGun_SalvagedLaserEradicator.label,warcasket salvaged laser eradicator,label,ThingDef/ThingDef.xml,def
VFEP_WarcasketGun_SalvagedLaserEradicator.description,"A rather complicated piece of laser technology that was primarily developed as a siege weapon to generate explosions within hardened bunkers. In order to miniaturize an emplacement weapon without needing a massive power unit, the shoulder-mounted laser fires in irregular pulses with a frequency between kHz and MHz. The results are hard to dispute as it can cause a devastating blast, however it has a limited effective range and a long warm-up period to charge the capacitor banks.",description,ThingDef/ThingDef.xml,def
VFEP_WarcasketGun_SalvagedLaserEradicator.tools.0.label,barrel,label,ThingDef/ThingDef.xml,def
VFEP_Box_SalvagedLaserEradicator.label,warcasket salvaged laser eradicator,label,ThingDef/ThingDef.xml,def
VFEP_Box_SalvagedLaserEradicator.description,"A rather complicated piece of laser technology that was primarily developed as a siege weapon to generate explosions within hardened bunkers. In order to miniaturize an emplacement weapon without needing a massive power unit, the shoulder-mounted laser fires in irregular pulses with a frequency between kHz and MHz. The results are hard to dispute as it can cause a devastating blast, however it has a limited effective range and a long warm-up period to charge the capacitor banks.",description,ThingDef/ThingDef.xml,def
VWEP_Bullet_WarcasketSalvagedLaserEradicator.label,unstable laser shot,label,LaserBeamDef/LaserBeamDef.xml,def
VWEP_Bullet_WarcasketSalvagedLaserEradicator.description,An unstable laser beam.,description,LaserBeamDef/LaserBeamDef.xml,def
VFEP_WarcasketGun_LaserBlaster.label,warcasket laser blaster,label,ThingDef/ThingDef.xml,def
VFEP_WarcasketGun_LaserBlaster.description,"An enlarged laser weapon, combining both modern and antique methods into a compact package. Taking advantage of a greater weight tolerance, this system includes a revolver cylinder using advanced battery cells instead of cartridges. This allows the weapon to fire more powerful shots at a slower warmup reduction, meaning safer sustained fire for the operator.",description,ThingDef/ThingDef.xml,def
VFEP_WarcasketGun_LaserBlaster.tools.0.label,barrel,label,ThingDef/ThingDef.xml,def
VWEL_Bullet_LaserRifle.label,laser shot,label,LaserBeamDef/LaserBeamDef.xml,def
VWEL_Bullet_LaserRifle.description,A focused laser beam.,description,LaserBeamDef/LaserBeamDef.xml,def
