key,text,tag,file,type
VCEF_FishingGrowingZone,Fishing Zone,VCEF_FishingGrowingZone,Misc_Gameplay.xml,keyed
VCEF_FishingGrowingZoneDesc,Create a zone where your colonists will try to fish,VCEF_FishingGrowingZoneDesc,Misc_Gameplay.xml,keyed
VCEF_ChooseFish,Choose catch,VCEF_ChooseFish,Misc_Gameplay.xml,keyed
VCEF_ChooseFishDesc,"Choose prefered fish size to catch from those inhabiting this biome. Smaller fish take less time but are less nutritive, while larger fish take longer and are more nutritive. Medium fish are balanced between the two extremes. There is always a chance to catch some different fish or special items",VCEF_ChooseFishDesc,Misc_Gameplay.xml,keyed
VCEF_ChooseFishSmallLabel,Catch Small Fish,VCEF_ChooseFishSmallLabel,Misc_Gameplay.xml,keyed
VCEF_ChooseFishMediumLabel,Catch Medium Fish,VCEF_ChooseFishMediumLabel,Misc_Gameplay.xml,keyed
VCEF_ChooseFishLargeLabel,Catch Large Fish,VCEF_ChooseFishLargeLabel,Misc_Gameplay.xml,keyed
VCEF_CommandAllowFishing,Allow Fishing,VCEF_CommandAllowFishing,Misc_Gameplay.xml,keyed
VCEF_CommandAllowFishingDesc,Allow fishing to take place in this fishing zone,VCEF_CommandAllowFishingDesc,Misc_Gameplay.xml,keyed
VCEF_ZoneSetTo,This zone of size {0} is set to catch fish of size,VCEF_ZoneSetTo,Misc_Gameplay.xml,keyed
VCEF_FishesInThisZone,Fish in this zone:,VCEF_FishesInThisZone,Misc_Gameplay.xml,keyed
VCEF_IsZoneOceanZone,Oceanic fishing zone:,VCEF_IsZoneOceanZone,Misc_Gameplay.xml,keyed
VCEF_Yes,Yes,VCEF_Yes,Misc_Gameplay.xml,keyed
VCEF_No,No,VCEF_No,Misc_Gameplay.xml,keyed
VCEF_ZoneTooSmall,This zone is too small (size {0}). Fishing zones need to be at least {1} tiles to be valid (this calculation is made every few seconds: unpause to update).,VCEF_ZoneTooSmall,Misc_Gameplay.xml,keyed
VCEF_NoFish,"No fish to catch in this biome (this could happen with modded biomes, ask the owner to add support! Or perhaps you are in a lifeless biome)",VCEF_NoFish,Misc_Gameplay.xml,keyed
VCEF_CaughtSpecial,"While fishing, {0} has caught something special: {1}",VCEF_CaughtSpecial,Misc_Gameplay.xml,keyed
VCEF_minimumZoneSize,Minimum Fishing Zone size,VCEF_minimumZoneSize,Misc_Gameplay.xml,keyed
VCEF_minimumZoneSizeTooltip,"Minimum Fishing Zone size, default is 25 tiles",VCEF_minimumZoneSizeTooltip,Misc_Gameplay.xml,keyed
VCEF_smallFishDurationFactor,Base Fishing Duration in ticks,VCEF_smallFishDurationFactor,Misc_Gameplay.xml,keyed
VCEF_smallFishDurationFactorTooltip,"Base Fishing Duration in ticks. Default is 4500 for small fish. Medium fish take double this time, while large fish take three times as much. Decreasing this increases food yield per day, and viceversa.",VCEF_smallFishDurationFactorTooltip,Misc_Gameplay.xml,keyed
VCEF_chanceForSpecials,Chance to get an special item instead of fish,VCEF_chanceForSpecials,Misc_Gameplay.xml,keyed
VCEF_chanceForSpecialsTooltip,Chance to get an special item instead of fish. Default is 1% per fishing operation.,VCEF_chanceForSpecialsTooltip,Misc_Gameplay.xml,keyed
VCEF_chanceForSpecialsTooltip_Odyssey,"Chance to get an special item instead of fish. Default is 1% per fishing operation. Bear in mind in Odyssey there is by default a 5 day timer between ""rare"" catches, that you can tweak via these options too.",VCEF_chanceForSpecialsTooltip_Odyssey,Misc_Gameplay.xml,keyed
VCEF_minDaysBetweenRareCatches,Minimum days between rare catches,VCEF_minDaysBetweenRareCatches,Misc_Gameplay.xml,keyed
VCEF_minDaysBetweenRareCatchesTooltip,"By default in Odyssey ""rare"" catches can only happen when 5 days have passed since the last ""rare"" catch. You can change that minimum interval here.",VCEF_minDaysBetweenRareCatchesTooltip,Misc_Gameplay.xml,keyed
VCEF_minMapTempForLowFish,Minimum map temperature for reduced fish yield,VCEF_minMapTempForLowFish,Misc_Gameplay.xml,keyed
VCEF_minMapTempForLowFishTooltip,Minimum map temperature for reduced fish yield. Below this temperature fish yield will be greatly reduced. Default is 0ºC.,VCEF_minMapTempForLowFishTooltip,Misc_Gameplay.xml,keyed
VCEF_maxMapTempForLowFish,Maximum map temperature for reduced fish yield,VCEF_maxMapTempForLowFish,Misc_Gameplay.xml,keyed
VCEF_maxMapTempForLowFishTooltip,Maximum map temperature for reduced fish yield. Above this temperature fish yield will be greatly reduced. Default is 50ºC.,VCEF_maxMapTempForLowFishTooltip,Misc_Gameplay.xml,keyed
