key,text,tag,file,type
VFEArt_SelectHologramText,Select base,VFEArt_SelectHologramText,Misc_Gameplay.xml,keyed
VFEArt_SelectHologramDesc,"Click to select the hologram base to shut it down, deconstruct, move, etc",VFEArt_SelectHologramDesc,Misc_Gameplay.xml,keyed
VFE_Art_Tab.label,Vanilla Furniture Expanded - Art,label,ResearchTabDef/ResearchTabDef.xml,def
VFE_Res_Obelisk.label,obelisks,label,ResearchProjectDef/ResearchProjectDef.xml,def
VFE_Res_Obelisk.description,"Learn how to sculpt tall, narrow shaped obelisks to commemorate important events.",description,ResearchProjectDef/ResearchProjectDef.xml,def
VFE_Res_Pottery.label,pottery,label,ResearchProjectDef/ResearchProjectDef.xml,def
VFE_Res_Pottery.description,Learn how to create beautiful vases and other vessels from simple materials.,description,ResearchProjectDef/ResearchProjectDef.xml,def
VFE_Res_WallCarvings.label,carvings,label,ResearchProjectDef/ResearchProjectDef.xml,def
VFE_Res_WallCarvings.description,Master the techniques of wall carving to create beautiful pillars and reliefs.,description,ResearchProjectDef/ResearchProjectDef.xml,def
VFE_Res_ArtfulDisplay.label,artful display,label,ResearchProjectDef/ResearchProjectDef.xml,def
VFE_Res_ArtfulDisplay.description,Create beautiful plinths to display artifacts and important colony goods.,description,ResearchProjectDef/ResearchProjectDef.xml,def
VFE_Res_Statues.label,statues,label,ResearchProjectDef/ResearchProjectDef.xml,def
VFE_Res_Statues.description,"Sculpt accurate character-shaped sculptures, inscribed with artistic illustrations.",description,ResearchProjectDef/ResearchProjectDef.xml,def
VFE_Res_Monuments.label,monuments,label,ResearchProjectDef/ResearchProjectDef.xml,def
VFE_Res_Monuments.description,"Create massive monuments, centerpieces of your colony, to commemorate those who passed and give inspiration to those still struggling.",description,ResearchProjectDef/ResearchProjectDef.xml,def
VFE_Res_Rugs.label,rugs,label,ResearchProjectDef/ResearchProjectDef.xml,def
VFE_Res_Rugs.description,Learn how to create beautiful rugs to decorate your colony.,description,ResearchProjectDef/ResearchProjectDef.xml,def
VFE_Res_Wallpapers.label,wallpapers,label,ResearchProjectDef/ResearchProjectDef.xml,def
VFE_Res_Wallpapers.description,Construct beautiful walls covered in wallpaper of your desired colour.,description,ResearchProjectDef/ResearchProjectDef.xml,def
VFE_Res_Holograms.label,holograms,label,ResearchProjectDef/ResearchProjectDef.xml,def
VFE_Res_Holograms.description,Adapt advanced display techniques to showcase three-dimensional models around your colony.,description,ResearchProjectDef/ResearchProjectDef.xml,def
ArtDescription_Rug.rulePack.rulesStrings.0,physical_description_root->This [rug] [depicts] [image]. [desc_sentence_group],li,RulePackDef/RulePackDef.xml,def
ArtDescription_Rug.rulePack.rulesStrings.1,physical_description_root->This [rug] bears a [depiction] of [image]. [desc_sentence_group],li,RulePackDef/RulePackDef.xml,def
ArtDescription_Rug.rulePack.rulesStrings.2,physical_description_root->On this [rug] is a [depiction] of [image]. [desc_sentence_group],li,RulePackDef/RulePackDef.xml,def
ArtDescription_Rug.rulePack.rulesStrings.3,rug->rug,li,RulePackDef/RulePackDef.xml,def
ArtDescription_Rug.rulePack.rulesStrings.4,rug->work,li,RulePackDef/RulePackDef.xml,def
ArtDescription_Rug.rulePack.rulesStrings.5,rug->piece,li,RulePackDef/RulePackDef.xml,def
ArtDescription_Rug.rulePack.rulesStrings.6,rug->textile,li,RulePackDef/RulePackDef.xml,def
ArtDescription_Pottery.rulePack.rulesStrings.0,physical_description_root->This [pottery] [depicts] [image]. [desc_sentence_group],li,RulePackDef/RulePackDef.xml,def
ArtDescription_Pottery.rulePack.rulesStrings.1,physical_description_root->This [pottery] bears a [depiction] of [image]. [desc_sentence_group],li,RulePackDef/RulePackDef.xml,def
ArtDescription_Pottery.rulePack.rulesStrings.2,physical_description_root->On this [pottery] is a [depiction] of [image]. [desc_sentence_group],li,RulePackDef/RulePackDef.xml,def
ArtDescription_Pottery.rulePack.rulesStrings.3,pottery->pottery,li,RulePackDef/RulePackDef.xml,def
ArtDescription_Pottery.rulePack.rulesStrings.4,pottery->work,li,RulePackDef/RulePackDef.xml,def
ArtDescription_Pottery.rulePack.rulesStrings.5,pottery->piece,li,RulePackDef/RulePackDef.xml,def
ArtDescription_Pottery.rulePack.rulesStrings.6,pottery->set,li,RulePackDef/RulePackDef.xml,def
ArtDescription_Hologram.rulePack.rulesStrings.0,physical_description_root->This [hologram] [depicts] [image]. [desc_sentence_group],li,RulePackDef/RulePackDef.xml,def
ArtDescription_Hologram.rulePack.rulesStrings.1,physical_description_root->This [hologram] bears a [depiction] of [image]. [desc_sentence_group],li,RulePackDef/RulePackDef.xml,def
