key,text,tag,file,type
VFE_ChoosePropCategory,Select prop category:,VFE_ChoosePropCategory,Misc.xml,keyed
VFE_GoBack,Go back,VFE_GoBack,Misc.xml,keyed
VFE_PrefabSearch,Search,VFE_PrefabSearch,Misc.xml,keyed
VFE_NoSilver,Not enough silver in stockpiles. You need to have at least {0} silver to build this prop,VFE_NoSilver,Misc.xml,keyed
VFE_PropCostMultiplier,Prop cost multiplier,VFE_PropCostMultiplier,Misc.xml,keyed
VFE_PropCostMultiplierDesc,"Cost of prefabs that are bought with silver is calculated depending on their size, hit points, and cover. With this slider you can transform how much they'll cost. 0 disables all silver costs.",VFE_PropCostMultiplierDesc,Misc.xml,keyed
VFE_SilverReturnMultiplier,Silver return multiplier,VFE_SilverReturnMultiplier,Misc.xml,keyed
VFE_SilverReturnMultiplierDesc,"When destroyed, props will return their purchase cost in silver. By default this will be 100% of this cost, but it can be reduced with this setting.",VFE_SilverReturnMultiplierDesc,Misc.xml,keyed
VFE_Reset,Reset,VFE_Reset,Misc.xml,keyed
VPE_NeedsMats,Built,VPE_NeedsMats,Misc.xml,keyed
VPE_NeedsMatsDesc,"This particular prop needs construction materials to be built instead of silver, and colonists must build it themselves",VPE_NeedsMatsDesc,Misc.xml,keyed
VFEPD_BuildProps,build props,VFEPD_BuildProps,Misc.xml,keyed
VFEPD_BuildPropsDesc,Open a menu to build props with a silver cost.,VFEPD_BuildPropsDesc,Misc.xml,keyed
VFEPD_ResearchNeeded,Can't be built until {0} has been researched by the colony,VFEPD_ResearchNeeded,Misc.xml,keyed
VFEPD_MakeCopy,Make copy,VFEPD_MakeCopy,Misc.xml,keyed
VFEPD_MakeCopyDesc,Make a copy of this prop. This will require you to have the silver cost of the prop available in stockpiles.,VFEPD_MakeCopyDesc,Misc.xml,keyed
AP_PropCategory_Floors.label,floors,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
AP_PropCategory_Floors.description,Floors that are used for purely decorative purposes.,description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
AP_PropCategory_Walls.label,walls,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
AP_PropCategory_Walls.description,Walls that are used mostly for decorative purposes.,description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Structures.label,structures,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Structures.description,"General structures such as fake columns, doors, pipes, etc.",description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Borders.label,borders,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Borders.description,Ground borders to properly demarcate your pathways.,description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Decals.label,decals,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Decals.description,Decal props that are set on the ground with different informational data.,description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_LargeDecals.label,big decals,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_LargeDecals.description,Large decal props that are set on the ground with different informational data.,description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Medieval.label,medieval,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Medieval.description,Medieval props fit for a grand castle or a simple peasant village.,description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Farm.label,farm,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Farm.description,"Farm props such as hay and wood piles, wooden carts, etc.",description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Furniture.label,furniture,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Furniture.description,"Furniture that has no gameplay mechanic behind it, such as decorative armoires, mirrors, etc.",description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Office.label,office,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Office.description,"Encompasses items such as desks, chairs, computers, laboratory equipment, whiteboards, office supplies, and other elements commonly found in professional workspaces.",description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Industrial.label,industrial,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Industrial.description,"Industrial props such as barrels, pallets, boxes and containers.",description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Kitchen.label,kitchen,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Kitchen.description,"Kitchen props such as cooking appliances, kitchen furniture, etc.",description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Power.label,power,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Power.description,"Props related to power structures, generators, gas tanks, etc.",description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Spacer.label,spacer,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Spacer.description,High-tech props related to the spacer tech level.,description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Vehicles.label,vehicles,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Vehicles.description,"Vehicles props. Trucks, cars, lorries, etc.",description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Spaceships.label,spaceships,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Spaceships.description,Spaceship props. All kinds of vehicles designed for space travel.,description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Park.label,parks,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Park.description,General outdoors props in a nature setting.,description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Workshop.label,workshop,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Workshop.description,Production and workshop props that fit in a crafting environment.,description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Filth.label,filth,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Filth.description,Base game filth as props. Cradle not included.,description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Anomaly.label,anomaly,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Anomaly.description,Furniture and miscellaneous Props related to the Anomaly DLC.,description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Ancient.label,ancient,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Ancient.description,"Ancient props that are usually scattered around the map. Note these will not work for the Scrapper meme in VE: Memes and Structures, as they are purely decorative.",description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Vaults.label,vaults,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Vaults.description,Props found in ancient vaults.,description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Empire.label,imperial,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Empire.description,Props from the Empire.,description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Labs.label,labs,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Labs.description,Props found in ancient abandoned labs. Usually quite derelict.,description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Bedroom.label,bedroom,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Bedroom.description,"Items such as beds, bedding, furniture (dressers, nightstands), lamps, curtains, and other decor elements commonly found in bedrooms.",description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_DiningRoom.label,dining room,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_DiningRoom.description,"Items such as tables, chairs, tableware (plates, glasses, utensils), tablecloths, centerpieces, and other decor elements commonly found in dining settings.",description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Hospital.label,hospital,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Hospital.description,"Items such as medical equipment (beds, surgical tools, monitors), signage, and other items commonly found in healthcare environments.",description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Military.label,military,label,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
VFE_PropCategory_Military.description,"Items like replica weapons, uniforms, helmets, insignia, and other military-related paraphernalia designed for visual and thematic accuracy.",description,VFEProps.PropCategoryDef/VFEProps.PropCategoryDef.xml,def
