key,text,tag,file,type
VFEPD_BenzPatentMotorwagen.label,Benz Patent-Motorwagen,label,ThingDef/ThingDef.xml,def
VFEPD_BenzPatentMotorwagen.description,"The Benz Patent-Motorwagen, built in 1885 by Karl Benz, is widely regarded as the first practical automobile. It was a three-wheeled vehicle powered by a single-cylinder, four-stroke engine. Benz patented the design in 1886, marking the birth of the modern car. Non-functional: all its internal mechanisms have been removed.",description,ThingDef/ThingDef.xml,def
VFEPD_FordModelA.label,Ford Model A,label,ThingDef/ThingDef.xml,def
VFEPD_FordModelA.description,"The Ford Model A, produced from 1927 to 1931, was the successor to the Model T and marked a significant advancement in automotive design and technology. It featured a more modern look with improved styling, a more powerful 3.3-liter four-cylinder engine, and enhanced driving comfort. Non-functional: all its internal mechanisms have been removed.",description,ThingDef/ThingDef.xml,def
VFEPD_FordModelAAmbulance.label,Ford Model A Ambulance,label,ThingDef/ThingDef.xml,def
VFEPD_FordModelAAmbulance.description,"The Ford Model A, produced from 1927 to 1931, was the successor to the Model T and marked a significant advancement in automotive design and technology. It featured a more modern look with improved styling, a more powerful 3.3-liter four-cylinder engine, and enhanced driving comfort. This model has been converted into an ambulance. Non-functional: all its internal mechanisms have been removed.",description,ThingDef/ThingDef.xml,def
VFEPD_FordModelAFireTruck.label,Ford Model A Firetruck,label,ThingDef/ThingDef.xml,def
VFEPD_FordModelAFireTruck.description,"The Ford Model A, produced from 1927 to 1931, was the successor to the Model T and marked a significant advancement in automotive design and technology. It featured a more modern look with improved styling, a more powerful 3.3-liter four-cylinder engine, and enhanced driving comfort. This model has been refitted as a fire truck. Non-functional: all its internal mechanisms have been removed.",description,ThingDef/ThingDef.xml,def
VFEPD_FordModelT.label,Ford Model T,label,ThingDef/ThingDef.xml,def
VFEPD_FordModelT.description,"Produced from 1908 to 1927, the Ford Model T is one of the most iconic cars in automotive history. It was the first automobile mass-produced on moving assembly lines, making it affordable and accessible to a wide audience. Powered by a 2.9-liter, four-cylinder engine, the Model T revolutionized transportation and became a symbol of early 20th-century innovation. Non-functional: all its internal mechanisms have been removed.",description,ThingDef/ThingDef.xml,def
VFEPD_FordModelTVan.label,Ford Model T,label,ThingDef/ThingDef.xml,def
VFEPD_FordModelTVan.description,"Produced from 1908 to 1927, the Ford Model T is one of the most iconic cars in automotive history. It was the first automobile mass-produced on moving assembly lines, making it affordable and accessible to a wide audience. Powered by a 2.9-liter, four-cylinder engine, the Model T revolutionized transportation and became a symbol of early 20th-century innovation. Non-functional: all its internal mechanisms have been removed.",description,ThingDef/ThingDef.xml,def
VFEPD_OldsmobileLightTonneau.label,Oldsmobile Light Tonneau,label,ThingDef/ThingDef.xml,def
VFEPD_OldsmobileLightTonneau.description,"The Oldsmobile Light Tonneau, introduced in 1905, was an early automobile featuring a larger, more powerful design compared to the earlier Curved Dash model. It had a four-seat, open-top body style known as a ""tonneau,"" with a rear seating area that could be accessed via a side door. Powered by a two-cylinder engine, it offered more horsepower and improved performance. Non-functional: all its internal mechanisms have been removed.",description,ThingDef/ThingDef.xml,def
VFEPD_OldsmobileModelRCurvedDash.label,Oldsmobile Curved Dash,label,ThingDef/ThingDef.xml,def
VFEPD_OldsmobileModelRCurvedDash.description,"Produced from 1901 to 1907, the Oldsmobile Model R, ""Curved Dash"" was the first mass-produced car in the world. It featured a distinctive curved front dash (hence the name) and was powered by a single-cylinder engine, producing about 5 horsepower. Affordable and reliable, it became one of the most popular early automobiles, helping to establish Oldsmobile as a key player in the emerging car industry. Non-functional: all its internal mechanisms have been removed.",description,ThingDef/ThingDef.xml,def
VFEPD_RenaultTypeK.label,Renault Type K,label,ThingDef/ThingDef.xml,def
VFEPD_RenaultTypeK.description,"The Renault Type K, produced in 1902, was a significant early automobile that gained fame for its victory in the 1902 Paris-Vienna race. Designed by the Renault brothers, it featured a four-cylinder engine, which was advanced for its time, delivering more power and speed than many contemporary vehicles. Non-functional: all its internal mechanisms have been removed.",description,ThingDef/ThingDef.xml,def
VFEPD_RollsRoyceSilverGhost.label,Rolls Royce Silver Ghost,label,ThingDef/ThingDef.xml,def
VFEPD_RollsRoyceSilverGhost.description,"The Rolls-Royce Silver Ghost, introduced in 1906, is often regarded as one of the most iconic and luxurious cars of the early 20th century. Powered by a 7.0-liter six-cylinder engine, the Silver Ghost was renowned for its smooth performance, reliability, and quiet operation, earning it the nickname ""the best car in the world."" Non-functional: all its internal mechanisms have been removed.",description,ThingDef/ThingDef.xml,def
