key,text,tag,file,type
VFEPD_AutomaticDrillingRig.label,automatic drilling rig,label,ThingDef/ThingDef.xml,def
VFEPD_AutomaticDrillingRig.description,"The remains of what was an automatic drill designed for automatic ore extraction, once supported by a multitude of infrastructures. Missing most supporting infrastructures, and, most critically, its core components, it wouldn't function as of now.",description,ThingDef/ThingDef.xml,def
VFEPD_AncientAutomaticDrillingRig.label,ancient automatic drilling rig,label,ThingDef/ThingDef.xml,def
VFEPD_AncientAutomaticDrillingRig.description,"The remains of what was an automatic drill designed for automatic ore extraction, once supported by a multitude of infrastructures. Missing most supporting infrastructures, and, most critically, its core components, it wouldn't function as of now.",description,ThingDef/ThingDef.xml,def
VFEPD_AncientGiantRockExcavator.label,ancient giant rock excavator chassis,label,ThingDef/ThingDef.xml,def
VFEPD_AncientGiantRockExcavator.description,"The gigantic husk of what was a mountain-devouring mechanical beast, larger than most conventional buildings. Non-functional now.",description,ThingDef/ThingDef.xml,def
VFEPD_AncientExcavatorPowerFacilities.label,ancient excavator power system,label,ThingDef/ThingDef.xml,def
VFEPD_AncientExcavatorPowerFacilities.description,Torn power system of the ancient giant rock excavator. Non-functional now.,description,ThingDef/ThingDef.xml,def
VFEPD_AncientExcavatorBucketWheel.label,ancient excavator bucket wheel,label,ThingDef/ThingDef.xml,def
VFEPD_AncientExcavatorBucketWheel.description,A rusted bucket wheel of ancient giant rock excavator. Non-functional now.,description,ThingDef/ThingDef.xml,def
VFEPD_AncientTunnelBoringMachine.label,ancient tunnel boring machine,label,ThingDef/ThingDef.xml,def
VFEPD_AncientTunnelBoringMachine.description,"The rusted, gigantic husk of an ancient tunnel boring machine. Non-functional now.",description,ThingDef/ThingDef.xml,def
VFEPD_TunnelBoringMachine.label,tunnel boring machine,label,ThingDef/ThingDef.xml,def
VFEPD_TunnelBoringMachine.description,The gigantic husk of a boring machine. Non-functional now.,description,ThingDef/ThingDef.xml,def
VFEPD_AncientElectricalEquipment.label,ancient electrical appliances,label,ThingDef/ThingDef.xml,def
VFEPD_AncientElectricalEquipment.description,Weathered electrical appliances once used in an ancient tunnel boring machines. Non-functional now.,description,ThingDef/ThingDef.xml,def
VFEPD_ElectricalEquipment.label,electrical appliances,label,ThingDef/ThingDef.xml,def
VFEPD_ElectricalEquipment.description,Weathered electrical appliances used in a tunnel boring machine. Non-functional now.,description,ThingDef/ThingDef.xml,def
VFEPD_AncientMineralConveyor.label,ancient mineral conveyor,label,ThingDef/ThingDef.xml,def
VFEPD_AncientMineralConveyor.description,A torn ancient mineral conveyor once used for transporting minerals. Non-functional now.,description,ThingDef/ThingDef.xml,def
