key,text,tag,file,type
VFEPD_CondimentPrepTable.label,decorative condiment table,label,ThingDef/ThingDef.xml,def
VFEPD_CondimentPrepTable.description,"A working table to cut, slice and prepare condiments used in gourmet recipes.",description,ThingDef/ThingDef.xml,def
VFEPD_Sugarcane.label,sugarcane,label,ThingDef/ThingDef.xml,def
VFEPD_Sugarcane.description,"A fake, thick, tall, tropical grass with jointed stems. While not exactly the most nutritious thing to eat on its own, this genetically modified sugarcane is easily milled into sugar and then used for a variety of culinary creations - Particularly desserts.",description,ThingDef/ThingDef.xml,def
VFEPD_Allspice.label,allspice,label,ThingDef/ThingDef.xml,def
VFEPD_Allspice.description,"A fake, anomalous, leafy vine bearing tiny unpalatable green fruits. When ground finely during cooking the fruits release a complex, peppery flavor, perfect for spicing dishes.",description,ThingDef/ThingDef.xml,def
VFEPD_Wheat.label,wheat,label,ThingDef/ThingDef.xml,def
VFEPD_Wheat.description,"A fake, amber cereal plant that takes almost an entire growing season to come to fruition. While fragile and time-consuming, this wheat has been genetically engineered to gently break into flour with a mere touch.",description,ThingDef/ThingDef.xml,def
VFEPD_ElectricPot.label,electric pot,label,ThingDef/ThingDef.xml,def
VFEPD_ElectricPot.description,"An electric pot, also called a thermo pot, is a small appliance used for boiling water and maintaining it at a constant temperature. This one is inactive and non-functional.",description,ThingDef/ThingDef.xml,def
VFEPD_Grill.label,grill,label,ThingDef/ThingDef.xml,def
VFEPD_Grill.description,A grill is a device that cooks food by applying heat from below. This one is inactive and non-functional.,description,ThingDef/ThingDef.xml,def
VFEPD_DeepFrier.label,deep fryer,label,ThingDef/ThingDef.xml,def
VFEPD_DeepFrier.description,A deep fryer is a kitchen appliance used for deep frying. This one is inactive and non-functional.,description,ThingDef/ThingDef.xml,def
VFEPD_CanningMachine.label,canning machine,label,ThingDef/ThingDef.xml,def
VFEPD_CanningMachine.description,A canning machine is an appliance to store preserved food inside metallic cans. This one is inactive and non-functional.,description,ThingDef/ThingDef.xml,def
VFEPD_CheesePress.label,cheese press,label,ThingDef/ThingDef.xml,def
VFEPD_CheesePress.description,A cheese press is a device for pressing whey from curds when making cheese. This one is empty and non-functional.,description,ThingDef/ThingDef.xml,def
