key,text,tag,file,type
VFEPD_SpaceJunk.label,space junk,label,ThingDef/ThingDef.xml,def
VFEPD_SpaceJunk.description,Ancient chunks of space junk that fell from orbit. Perhaps a relic of an ancient space battle.,description,ThingDef/ThingDef.xml,def
VFEPD_Tentacle.label,tentacle,label,ThingDef/ThingDef.xml,def
VFEPD_Tentacle.description,"This is a fleck prop for ""Tentacle"". Intrinsically laggy, use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_TentacleTwo.label,tentacle,label,ThingDef/ThingDef.xml,def
VFEPD_TentacleTwo.description,"This is a fleck prop for ""Tentacle"". Intrinsically laggy, use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_TentacleThree.label,tentacle,label,ThingDef/ThingDef.xml,def
VFEPD_TentacleThree.description,"This is a fleck prop for ""Tentacle"". Intrinsically laggy, use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_EldritchRune.label,eldritch rune,label,ThingDef/ThingDef.xml,def
VFEPD_EldritchRune.description,"This is a mote prop for ""Eldritch Rune"". Intrinsically laggy, though less than effecter props. Use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_Torii.label,torii,label,ThingDef/ThingDef.xml,def
VFEPD_Torii.description,"This is a fleck prop for ""Torii"". Intrinsically laggy, use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_AuthStar.label,authoritarian star,label,ThingDef/ThingDef.xml,def
VFEPD_AuthStar.description,"This is a fleck prop for ""Authoritarian star"". Intrinsically laggy, use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_SwderptikaMote.label,swderptika,label,ThingDef/ThingDef.xml,def
VFEPD_SwderptikaMote.description,"This is a mote prop for ""Swderptika"". Intrinsically laggy, though less than effecter props. Use in moderation. Punch a nazi.",description,ThingDef/ThingDef.xml,def
VFEPD_ScarabMote.label,scarab mote,label,ThingDef/ThingDef.xml,def
VFEPD_ScarabMote.description,"This is a fleck prop for ""Scarab Mote"". Intrinsically laggy, use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_InsectCloudMote.label,insect cloud mote,label,ThingDef/ThingDef.xml,def
VFEPD_InsectCloudMote.description,"This is a fleck prop for ""Insect Cloud Mote"". Intrinsically laggy, use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_PentagramsMote.label,pentagram,label,ThingDef/ThingDef.xml,def
VFEPD_PentagramsMote.description,"This is a mote prop for ""Pentagram"". Intrinsically laggy, though less than effecter props. Use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_CrystalBall.label,crystal ball,label,ThingDef/ThingDef.xml,def
VFEPD_CrystalBall.description,"This is a mote prop for ""Crystal Ball"". Intrinsically laggy, though less than effecter props. Use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_Graph.label,graph,label,ThingDef/ThingDef.xml,def
VFEPD_Graph.description,"This is a fleck prop for ""Graph"". Intrinsically laggy, use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_Stonks.label,stonks,label,ThingDef/ThingDef.xml,def
VFEPD_Stonks.description,"This is a fleck prop for ""Stonks"". Intrinsically laggy, use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_GreekColumn.label,greek column,label,ThingDef/ThingDef.xml,def
VFEPD_GreekColumn.description,"This is a mote prop for ""Greek Column"". Intrinsically laggy, though less than effecter props. Use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_Grapes.label,grapes,label,ThingDef/ThingDef.xml,def
VFEPD_Grapes.description,"This is a fleck prop for ""Grapes"". Intrinsically laggy, use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_FallingMeteor.label,falling meteor,label,ThingDef/ThingDef.xml,def
VFEPD_FallingMeteor.description,"This is a fleck prop for ""Falling Meteor"". Intrinsically laggy, use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_Statue.label,statue,label,ThingDef/ThingDef.xml,def
VFEPD_Statue.description,"This is a mote prop for ""Statue"". Intrinsically laggy, though less than effecter props. Use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_HugeStar.label,huge star,label,ThingDef/ThingDef.xml,def
VFEPD_HugeStar.description,"This is a mote prop for ""Huge Star"". Intrinsically laggy, though less than effecter props. Use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_PantheistSymbol.label,pantheist symbol,label,ThingDef/ThingDef.xml,def
VFEPD_PantheistSymbol.description,"This is a mote prop for ""Pantheist Symbol"". Intrinsically laggy, though less than effecter props. Use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_Galaxy.label,galaxy,label,ThingDef/ThingDef.xml,def
VFEPD_Galaxy.description,"This is a fleck prop for ""Galaxy"". Intrinsically laggy, use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_OmnistSymbol.label,omnist symbol,label,ThingDef/ThingDef.xml,def
VFEPD_OmnistSymbol.description,"This is a mote prop for ""Omnist Symbol"". Intrinsically laggy, though less than effecter props. Use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_Cross.label,cross,label,ThingDef/ThingDef.xml,def
VFEPD_Cross.description,"This is a fleck prop for ""Cross"". Intrinsically laggy, use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_Ohm.label,ohm,label,ThingDef/ThingDef.xml,def
VFEPD_Ohm.description,"This is a fleck prop for ""Ohm"". Intrinsically laggy, use in moderation.",description,ThingDef/ThingDef.xml,def
