key,text,tag,file,type
VFEPD_Timbercap_VE.label,timbercap,label,ThingDef/ThingDef.xml,def
VFEPD_Timbercap_VE.description,"A short, brown mushroom with a hard stem. This one is fake.",description,ThingDef/ThingDef.xml,def
VFEPD_Healtruffle.label,healtruffle,label,ThingDef/ThingDef.xml,def
VFEPD_Healtruffle.description,Healtruffle is a mushroom that grows slowly by using nutrients from rotstink. This one is fake.,description,ThingDef/ThingDef.xml,def
VFEPD_Stinker.label,stinker,label,ThingDef/ThingDef.xml,def
VFEPD_Stinker.description,"A small, fast-growing mushroom that forms large patches. It produces rotstink through a chemical process. This one is fake.",description,ThingDef/ThingDef.xml,def
VFEPD_Blisscap.label,blisscap,label,ThingDef/ThingDef.xml,def
VFEPD_Blisscap.description,"A long, light-blue mushroom that offers more than just sustenance. This one is fake.",description,ThingDef/ThingDef.xml,def
VFEPD_Lullabloom.label,lullabloom,label,ThingDef/ThingDef.xml,def
VFEPD_Lullabloom.description,"A special kind of mushroom that emits calming spores, ideal for planting next to a bed. This one is fake.",description,ThingDef/ThingDef.xml,def
VFEPD_Bileceps.label,bileceps,label,ThingDef/ThingDef.xml,def
VFEPD_Bileceps.description,"Bileceps is a peculiar, coral-like mushroom that thrives on the bile of decaying bodies. This one is fake.",description,ThingDef/ThingDef.xml,def
VFEPD_Glowcap.label,glowcap,label,ThingDef/ThingDef.xml,def
VFEPD_Glowcap.description,A small blue mushroom typically found in caves. This one is fake.,description,ThingDef/ThingDef.xml,def
VFEPD_Redcap.label,redcap,label,ThingDef/ThingDef.xml,def
VFEPD_Redcap.description,A cultivated mushroom with a beautiful red cap and a somewhat short lifespan. This one is fake.,description,ThingDef/ThingDef.xml,def
VFEPD_Zapcap.label,zapcap,label,ThingDef/ThingDef.xml,def
VFEPD_Zapcap.description,"A large, bulbous, beige mushroom that is known to produce small amounts of electricity as it grows. This one is fake.",description,ThingDef/ThingDef.xml,def
VFEPD_Thermoregulus.label,thermoregulus,label,ThingDef/ThingDef.xml,def
VFEPD_Thermoregulus.description,"A large, bulbous, beige mushroom that is known to produce small amounts of electricity as it grows. This one is fake.",description,ThingDef/ThingDef.xml,def
VFEPD_Foampuffer.label,foampuffer,label,ThingDef/ThingDef.xml,def
VFEPD_Foampuffer.description,"An ugly, thick mushroom with a cap that smells of muffalo fecal matter. This one is fake.",description,ThingDef/ThingDef.xml,def
VFEPD_MycothreadMushroom.label,mycothread mushroom,label,ThingDef/ThingDef.xml,def
VFEPD_MycothreadMushroom.description,This mushroom has been cultivated for ages by tunneler mining colonies. This one is fake.,description,ThingDef/ThingDef.xml,def
