key,text,tag,file,type
VFEPD_AloeVera_Succulent.label,aloe vera,label,ThingDef/ThingDef.xml,def
VFEPD_AloeVera_Succulent.description,"A cultivated succulent with thick, greenish, fleshy leaves that fan out from the short stem. This one is fake.",description,ThingDef/ThingDef.xml,def
VFEPD_BunnyEarsCactus.label,bunny ears cactus,label,ThingDef/ThingDef.xml,def
VFEPD_BunnyEarsCactus.description,"A cultivated succulent with pads resembling ears of a bunny, and spines resembling fuzzy fur. This one is fake.",description,ThingDef/ThingDef.xml,def
VFEPD_Echeveria.label,echeveria,label,ThingDef/ThingDef.xml,def
VFEPD_Echeveria.description,"A cultivated succulent forming a rosette, native to arid shrublands. This one is fake.",description,ThingDef/ThingDef.xml,def
VFEPD_FairyWashboard.label,fairy washboard,label,ThingDef/ThingDef.xml,def
VFEPD_FairyWashboard.description,A cultivated succulent with rosette forming long triangular leaves. This one is fake.,description,ThingDef/ThingDef.xml,def
VFEPD_JadePlant.label,jade,label,ThingDef/ThingDef.xml,def
VFEPD_JadePlant.description,"A cultivated succulent with thick, woody stems and oval-shaped leaves. This one is fake.",description,ThingDef/ThingDef.xml,def
VFEPD_PeyotePlant.label,peyote,label,ThingDef/ThingDef.xml,def
VFEPD_PeyotePlant.description,"A cultivated succulent resembling thick buttons. Whilst not as beautiful as flowers, this plant has a very long lifespan. This one is fake.",description,ThingDef/ThingDef.xml,def
VFEPD_PincushionPlant.label,pincushion,label,ThingDef/ThingDef.xml,def
VFEPD_PincushionPlant.description,"A cultivated succulent of cactus variety, with pointy spikes covering its exterior. This one is fake.",description,ThingDef/ThingDef.xml,def
VFEPD_Schlumbergera.label,schlumbergera,label,ThingDef/ThingDef.xml,def
VFEPD_Schlumbergera.description,A cultivated succulent with bell-shaped flowers. This one is fake.,description,ThingDef/ThingDef.xml,def
VFEPD_SnakePlant.label,snake plant,label,ThingDef/ThingDef.xml,def
VFEPD_SnakePlant.description,"A cultivated succulent with stiff, green banded leaves with a yellow border. This one is fake.",description,ThingDef/ThingDef.xml,def
VFEPD_SweetheartPlant.label,sweetheart,label,ThingDef/ThingDef.xml,def
VFEPD_SweetheartPlant.description,A cultivated succulent with heart-shaped leaves on a tall stem.  This one is fake.,description,ThingDef/ThingDef.xml,def
