key,text,tag,file,type
VFE_ChoosePropCategory,Select prop category:,VFE_ChoosePropCategory,Misc.xml,keyed
VFE_GoBack,Go back,VFE_GoBack,Misc.xml,keyed
VFE_PrefabSearch,Search,VFE_PrefabSearch,Misc.xml,keyed
VFE_NoSilver,Not enough silver in stockpiles. You need to have at least {0} silver to build this prop,VFE_NoSilver,Misc.xml,keyed
VFE_PropCostMultiplier,Prop cost multiplier,VFE_PropCostMultiplier,Misc.xml,keyed
VFE_PropCostMultiplierDesc,"Cost of prefabs that are bought with silver is calculated depending on their size, hit points, and cover. With this slider you can transform how much they'll cost. 0 disables all silver costs.",VFE_PropCostMultiplierDesc,Misc.xml,keyed
VFE_SilverReturnMultiplier,Silver return multiplier,VFE_SilverReturnMultiplier,Misc.xml,keyed
VFE_SilverReturnMultiplierDesc,"When destroyed, props will return their purchase cost in silver. By default this will be 100% of this cost, but it can be reduced with this setting.",VFE_SilverReturnMultiplierDesc,Misc.xml,keyed
VFE_Reset,Reset,VFE_Reset,Misc.xml,keyed
VPE_NeedsMats,Built,VPE_NeedsMats,Misc.xml,keyed
VPE_NeedsMatsDesc,"This particular prop needs construction materials to be built instead of silver, and colonists must build it themselves",VPE_NeedsMatsDesc,Misc.xml,keyed
VFEPD_BuildProps,build props,VFEPD_BuildProps,Misc.xml,keyed
VFEPD_BuildPropsDesc,Open a menu to build props with a silver cost.,VFEPD_BuildPropsDesc,Misc.xml,keyed
VFEPD_ResearchNeeded,Can't be built until {0} has been researched by the colony,VFEPD_ResearchNeeded,Misc.xml,keyed
VFEPD_MakeCopy,Make copy,VFEPD_MakeCopy,Misc.xml,keyed
VFEPD_MakeCopyDesc,Make a copy of this prop. This will require you to have the silver cost of the prop available in stockpiles.,VFEPD_MakeCopyDesc,Misc.xml,keyed
