key,text,tag,file,type
VFES_Deploy,Deploy,VFES_Deploy,Keys.xml,keyed
VFES_DeployDesc,Deploy the structure from the submerged state.,VFES_DeployDesc,Keys.xml,keyed
VFES_Submerge,Submerge,VFES_Submerge,Keys.xml,keyed
VFES_SubmergeDesc,"Submerge the structure into the ground, making it much harder for it to take damage.",VFES_SubmergeDesc,Keys.xml,keyed
VFES_OnCooldown,On cooldown: {0},VFES_OnCooldown,Keys.xml,keyed
VFES_DesignatorRearmTraps,Rearm Traps,VFES_DesignatorRearmTraps,Keys.xml,keyed
VFES_DesignatorRearmTraps_Description,Designate traps to be rearmed by colonists.,VFES_DesignatorRearmTraps_Description,Keys.xml,keyed
VFES_MessageMustDesignateRearmables,Must designate rearmable traps.,VFES_MessageMustDesignateRearmables,Keys.xml,keyed
VFES_Armed,Armed,VFES_Armed,Keys.xml,keyed
VFES_NeedsRearming,Needs rearming,VFES_NeedsRearming,Keys.xml,keyed
VFES_SecondaryFuel,Secondary fuel,VFES_SecondaryFuel,Keys.xml,keyed
VFES_CommandToggleAllowAutoRefuelSecondary,Toggle auto-refuel ammunition,VFES_CommandToggleAllowAutoRefuelSecondary,Keys.xml,keyed
VFES_ManSecondary,(secondary),VFES_ManSecondary,Keys.xml,keyed
VFES_SetWorldTarget,Set world target,VFES_SetWorldTarget,Keys.xml,keyed
VFES_SetWorldTargetDesc,Set the target on the world map for the artillery to fire at. Shots fired over the world map are less accurate. Can only fire at revealed locations.,VFES_SetWorldTargetDesc,Keys.xml,keyed
VFES_NeedsManned,Needs to be manned.,VFES_NeedsManned,Keys.xml,keyed
VFES_ArtilleryNeedsVisibleMap,"Artillery needs to target a visible, explored map.",VFES_ArtilleryNeedsVisibleMap,Keys.xml,keyed
VFES_ArtilleryOutOfRange,Target is out of range.,VFES_ArtilleryOutOfRange,Keys.xml,keyed
VFES_ArtilleryInvalidFiringMode,Artillery cannot fire in this direction.,VFES_ArtilleryInvalidFiringMode,Keys.xml,keyed
VFES_ArtilleryInvalidGroundToSpace,Artillery cannot fire from planet to space.,VFES_ArtilleryInvalidGroundToSpace,Keys.xml,keyed
VFES_ArtilleryInvalidSpaceToSpace,Artillery cannot fire from space to space.,VFES_ArtilleryInvalidSpaceToSpace,Keys.xml,keyed
VFES_ArtilleryInvalidSpaceToGround,Artillery cannot fire from space to ground.,VFES_ArtilleryInvalidSpaceToGround,Keys.xml,keyed
VFES_ArtilleryInvalidGroundToGround,Artillery cannot fire from ground to ground,VFES_ArtilleryInvalidGroundToGround,Keys.xml,keyed
VFES_TrenchTerrain.label,in a trench,label,HediffDef/HediffDef.xml,def
VFES_TrenchTerrain.description,this person is standing in a trench or other defensive structure.,description,HediffDef/HediffDef.xml,def
VFES_PlatformTerrain.label,on a platform,label,HediffDef/HediffDef.xml,def
VFES_PlatformTerrain.description,this person is standing on a platform or other structure.,description,HediffDef/HediffDef.xml,def
VFES_Dazzled.label,dazzled,label,HediffDef/HediffDef.xml,def
VFES_Dazzled.labelNoun,a dazzled eye,labelNoun,HediffDef/HediffDef.xml,def
VFES_Dazzled.description,Significant impairment of vision as a result of over-exposure to light.,description,HediffDef/HediffDef.xml,def
VFES_RearmTrap.reportString,rearming TargetA.,reportString,JobDef/JobDef.xml,def
VFES_ManSecondary.reportString,manning TargetA.,reportString,JobDef/JobDef.xml,def
VFES_TrapsRearmed.label,traps rearmed,label,RecordDef/RecordDef.xml,def
VFES_TrapsRearmed.description,Number of traps rearmed.,description,RecordDef/RecordDef.xml,def
VFES_SiegeEquipment.label,siege equipment,label,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_SiegeEquipment.description,Construct medieval siege equipment.,description,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_SiegeEquipment.generalRules.rulesStrings.0,subject->masters of siege,li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_SiegeEquipment.generalRules.rulesStrings.1,subject_story->revived ancient methods for breaching the stoutest defenses,li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_SiegeEquipment.generalRules.rulesStrings.2,"subject_story->crafted engines of war that thunder across fields, striking fear into foes",li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_SiegeEquipment.generalRules.rulesStrings.3,subject_story->engineered trebuchets and battering rams from sturdy timber and iron,li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_SiegeEquipment.generalRules.rulesStrings.4,"subject_story->led sieges that would become legendary, their tactics studied for ages",li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_SiegeEquipment.generalRules.rulesStrings.5,subject_gerund->laying siege to the future by rediscovering the past,li,ResearchProjectDef/ResearchProjectDef.xml,def
VWE_TrenchWarfare.label,trench warfare,label,ResearchProjectDef/ResearchProjectDef.xml,def
VWE_TrenchWarfare.description,Adapt a trench warfare doctrine with a selection of weapons for close-quarters combat.,description,ResearchProjectDef/ResearchProjectDef.xml,def
VWE_TrenchWarfare.generalRules.rulesStrings.0,subject->digging in,li,ResearchProjectDef/ResearchProjectDef.xml,def
VWE_TrenchWarfare.generalRules.rulesStrings.1,"subject_story->adopted the grim tactics of entrenched battles, shaping landscapes into mazes of mud and death",li,ResearchProjectDef/ResearchProjectDef.xml,def
VWE_TrenchWarfare.generalRules.rulesStrings.2,subject_story->innovated with rapid entrenching tools and techniques for swift fortification,li,ResearchProjectDef/ResearchProjectDef.xml,def
VWE_TrenchWarfare.generalRules.rulesStrings.3,subject_story->balanced the horror of no-man's-land with the safety of well-prepared defenses,li,ResearchProjectDef/ResearchProjectDef.xml,def
VWE_TrenchWarfare.generalRules.rulesStrings.4,subject_story->transformed warfare with the introduction of close-quarters combat within the earth's embrace,li,ResearchProjectDef/ResearchProjectDef.xml,def
VWE_TrenchWarfare.generalRules.rulesStrings.5,subject_gerund->embracing the earth for protection and strategy,li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_ConcealedDefenses.label,concealed defenses,label,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_ConcealedDefenses.description,"Construct submersible barriers and turrets, perfect for indoor defenses.",description,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_ConcealedDefenses.generalRules.rulesStrings.0,subject->hidden strength,li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_ConcealedDefenses.generalRules.rulesStrings.1,"subject_story->mastered the art of concealment, making fortifications vanish before the enemy's eyes",li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_ConcealedDefenses.generalRules.rulesStrings.2,"subject_story->innovated with submersible turrets and traps, revealing strength at the moment of surprise",li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_ConcealedDefenses.generalRules.rulesStrings.3,"subject_story->designed defenses that blend seamlessly with the environment, striking unseen",li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_ConcealedDefenses.generalRules.rulesStrings.4,"subject_story->created a network of hidden armaments, ensuring security through invisibility",li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_ConcealedDefenses.generalRules.rulesStrings.5,subject_gerund->camouflaging power in plain sight,li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_Railgun.label,railgun,label,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_Railgun.description,Adapt spacecraft weaponry as part of your defensive systems.,description,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_Railgun.generalRules.rulesStrings.0,subject->precision unleashed,li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_Railgun.generalRules.rulesStrings.1,subject_story->adapted the devastating power of spacecraft armaments for ground warfare,li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_Railgun.generalRules.rulesStrings.2,subject_story->engineered railguns to deliver unmatched velocity and destruction,li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_Railgun.generalRules.rulesStrings.3,subject_story->redefined the art of siege with technology torn from the stars,li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_Railgun.generalRules.rulesStrings.4,subject_story->ushered in a new age where the clash of titans is decided by the silent whisper of magnetic acceleration,li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_Railgun.generalRules.rulesStrings.5,subject_gerund->bridging worlds with the thunder of railguns,li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_EMPCannon.label,electromagnetic pulse,label,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_EMPCannon.description,Develop EMP traps and tesla blasters capable of stunning mechanoids.,description,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_EMPCannon.generalRules.rulesStrings.0,subject->the silent storm,li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_EMPCannon.generalRules.rulesStrings.1,"subject_story->crafted weapons that speak in the language of lightning, silencing the mechanical behemoths of war",li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_EMPCannon.generalRules.rulesStrings.2,subject_story->melded the might of electromagnetic pulses with strategic defense,li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_EMPCannon.generalRules.rulesStrings.3,"subject_story->paved the way for victory in silence, stunning adversaries with invisible force",li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_EMPCannon.generalRules.rulesStrings.4,subject_story->mastered the dance of electrons to protect and paralyze,li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_EMPCannon.generalRules.rulesStrings.5,subject_gerund->commanding the battlefield with the whisper of currents,li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_RepulsorTechnology.label,repulsor technology,label,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_RepulsorTechnology.description,Build ultratech shield generators that project energy fields to repel projectiles.,description,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_RepulsorTechnology.generalRules.rulesStrings.0,subject->force fields forged,li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_RepulsorTechnology.generalRules.rulesStrings.1,"subject_story->unveiled the secrets of repulsor tech, casting domes of protection across the land",li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_RepulsorTechnology.generalRules.rulesStrings.2,"subject_story->engineered bastions of safety, where energy shields deflect the fury of war",li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_RepulsorTechnology.generalRules.rulesStrings.3,subject_story->merged the ancient dreams of invincibility with the tangible touch of science,li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_RepulsorTechnology.generalRules.rulesStrings.4,"subject_story->ensured peace within the storm, under the watchful gaze of shimmering barriers",li,ResearchProjectDef/ResearchProjectDef.xml,def
VFES_RepulsorTechnology.generalRules.rulesStrings.5,subject_gerund->weaving the fabric of defense with threads of pure energy,li,ResearchProjectDef/ResearchProjectDef.xml,def
VanillaExpanded.label,Vanilla Expanded,label,ResearchTabDef/ResearchTabDef.xml,def
VFES_TrapMeleeHits.label,trap melee hits,label,StatDef/StatDef.xml,def
VFES_TrapMeleeHits.description,How many times does this trap hit its targets.\n\nThe total trap damage is spread evenly across all the hits.,description,StatDef/StatDef.xml,def
VFES_Turret_AntiAir.label,anti-air turret,label,ThingDef/ThingDef.xml,def
VFES_Turret_AntiAir.description,"A specialized defensive turret that intercepts explosive projectiles and incoming drop pods within its protective radius, but cannot engage ground targets. Interception chance scales with the target's velocity. Requires steel to refurbish its barrels after heavy use.",description,ThingDef/ThingDef.xml,def
VFES_Gun_PointDefense.label,point defense gun,label,ThingDef/ThingDef.xml,def
VFES_Gun_PointDefense.description,A rapid-fire gun for point-defense applications.,description,ThingDef/ThingDef.xml,def
VFES_Turret_AutomatedMortar.label,automated mortar,label,ThingDef/ThingDef.xml,def
VFES_Turret_AutomatedMortar.description,"An automated mortar that launches high-explosive shells. While it can inflict devastating damage, the mortar's inherent inaccuracy makes it more useful for attacking large fortifications than groups of enemies in the field. Due to a delicate firing mechanism, it's only calibrated to fire high-explosive shells.",description,ThingDef/ThingDef.xml,def
Gun_AutomatedMortar.label,automated mortar,label,ThingDef/ThingDef.xml,def
VFES_Turret_Artillery.label,artillery,label,ThingDef/ThingDef.xml,def
VFES_Turret_Artillery.description,"A powerful, manned artillery cannon designed for long-range bombardment. Though it fires slower than a mortar, its improved targeting systems allow for far greater accuracy, making it ideal for precise strikes against enemy structures or high-value targets. Can be crewed by two people to double its firing speed. Capable of providing fire support across the world map, but only on revealed locations.",description,ThingDef/ThingDef.xml,def
VFES_Artillery_ArtilleryGun.label,artillery gun,label,ThingDef/ThingDef.xml,def
VFES_Artillery_ArtilleryGun.description,Artillery launcher. Lobs bombs over walls. Accurate and long-ranged.,description,ThingDef/ThingDef.xml,def
VFES_Turret_Concealed.label,concealed turret,label,ThingDef/ThingDef.xml,def
VFES_Turret_Concealed.description,"A compact automatic turret equipped with retractable armor plating and a submersion mechanism. It is capable of submerging into the ground, becoming impossible to target. Requires steel to refurbish its barrel after heavy use. May explode when damaged. Its dumb AI brain can't be directly controlled, so beware of friendly fire.",description,ThingDef/ThingDef.xml,def
VFES_Bullet_ConcealedTurret.label,concealed turret bullet,label,ThingDef/ThingDef.xml,def
VFES_Gun_ConcealedTurret.label,concealed turret gun,label,ThingDef/ThingDef.xml,def
VFES_Gun_ConcealedTurret.description,A simple automatic gun made to be mounted on a turret.,description,ThingDef/ThingDef.xml,def
VFES_ConcealedBarrier.label,concealed barrier,label,ThingDef/ThingDef.xml,def
VFES_ConcealedBarrier.description,"A retractable, waist-high barrier for use as cover from incoming shots. It provides strong cover while deployed and is almost invisible when submerged. Barricades will block certain kinds of animals the same way that fences do. Requires power.",description,ThingDef/ThingDef.xml,def
VFES_SmallRepulsor.label,small repulsor,label,ThingDef/ThingDef.xml,def
VFES_SmallRepulsor.description,"An ultratech device that projects a potent energy field around itself to protect everything inside, but consumes a huge amount of power when active. Works through walls.\n\nRepulsors only activate when there's an active threat present such as a raid or an artillery bombardment. Otherwise, they stay in an inactive state and consume much less power.\n\nCan set surrounding area on fire if enough damage is absorbed in a short period of time.",description,ThingDef/ThingDef.xml,def
VFES_LargeRepulsor.label,large repulsor,label,ThingDef/ThingDef.xml,def
VFES_LargeRepulsor.description,"A large, ultratech device that projects an extremely vast energy field around itself to protect everything inside, but consumes a huge amount of power when active. Works through walls.\n\nRepulsors only activate when there's an active threat present such as a raid or an artillery bombardment. Otherwise, they stay in an inactive state and consume much less power.\n\nCan set surrounding area on fire if enough damage is absorbed in a short period of time.",description,ThingDef/ThingDef.xml,def
VFES_BearTrap.label,bear trap,label,ThingDef/ThingDef.xml,def
VFES_BearTrap.description,"Two heavy metal jaws held open under tension, connected to a pressure-sensitive trigger. When stepped on, the jaws snap shut with high force, inflicting severe damage. Since it is hidden in the surrounding terrain, it cannot be placed adjacent to other traps. When triggered, it can be re-armed.",description,ThingDef/ThingDef.xml,def
VFES_CavalrySpikes.label,cavalry spikes,label,ThingDef/ThingDef.xml,def
VFES_CavalrySpikes.description,"A row of sharpened spikes laid low across the ground. Designed to maim or cripple those who attempt to charge through, especially fast-moving animals or mounted units. Can be placed next to other cavalry spikes. Upon being triggered, cavalry spikes will need to be rebuilt.",description,ThingDef/ThingDef.xml,def
VEFS_TrapLandmine.label,landmine,label,ThingDef/ThingDef.xml,def
VEFS_TrapLandmine.description,"A sophisticated explosive charge connected to a pressure plate trigger which detonates immediately on touch. Since it is hidden in the surrounding terrain, it cannot be placed adjacent to other traps. Animals can sense these when calm.",description,ThingDef/ThingDef.xml,def
VEFS_TrapShockmine.label,shockmine,label,ThingDef/ThingDef.xml,def
