key,text,tag,file,type,protected_text
GR_InsanityCloud.label,invoke insanity,label,AbilityDef/AbilityDef.xml,def,invoke insanity
GR_InsanityCloud.description,Invokes the insanity of That Which Man Is Not Meant to Know,description,AbilityDef/AbilityDef.xml,def,Invokes the insanity of That Which Man Is Not Meant to Know
GR_DetonatePsionic.label,detonate psionic,label,AbilityDef/AbilityDef.xml,def,detonate psionic
GR_DetonatePsionic.description,Remotely detonate the psionic chemfuel reservoirs of this creature. The animal will be affected and damaged by the resulting explosion.,description,AbilityDef/AbilityDef.xml,def,Remotely detonate the psionic chemfuel reservoirs of this creature. The animal will be affected and damaged by the resulting explosion.
GR_Amorphous.label,amorphous,label,BodyDef/BodyDef.xml,def,amorphous
GR_Amorphous.corePart.parts.2.customLabel,left lung,customLabel,BodyDef/BodyDef.xml,def,left lung
GR_Amorphous.corePart.parts.3.customLabel,right lung,customLabel,BodyDef/BodyDef.xml,def,right lung
GR_Amorphous.corePart.parts.4.customLabel,left kidney,customLabel,BodyDef/BodyDef.xml,def,left kidney
GR_Amorphous.corePart.parts.5.customLabel,right kidney,customLabel,BodyDef/BodyDef.xml,def,right kidney
GR_Amorphous.corePart.parts.7.parts.1.customLabel,left eye,customLabel,BodyDef/BodyDef.xml,def,left eye
GR_Amorphous.corePart.parts.7.parts.2.customLabel,right eye,customLabel,BodyDef/BodyDef.xml,def,right eye
GR_Hydra.label,hydra,label,BodyDef/BodyDef.xml,def,hydra
GR_Hydra.corePart.parts.2.customLabel,left lung,customLabel,BodyDef/BodyDef.xml,def,left lung
GR_Hydra.corePart.parts.3.customLabel,right lung,customLabel,BodyDef/BodyDef.xml,def,right lung
GR_Hydra.corePart.parts.4.customLabel,left kidney,customLabel,BodyDef/BodyDef.xml,def,left kidney
GR_Hydra.corePart.parts.5.customLabel,right kidney,customLabel,BodyDef/BodyDef.xml,def,right kidney
GR_Hydra.corePart.parts.7.parts.1.customLabel,left eye,customLabel,BodyDef/BodyDef.xml,def,left eye
GR_Hydra.corePart.parts.7.parts.2.customLabel,right eye,customLabel,BodyDef/BodyDef.xml,def,right eye
GR_Hydra.corePart.parts.8.parts.1.customLabel,left eye,customLabel,BodyDef/BodyDef.xml,def,left eye
GR_Hydra.corePart.parts.8.parts.2.customLabel,right eye,customLabel,BodyDef/BodyDef.xml,def,right eye
GR_Hydra.corePart.parts.9.parts.1.customLabel,left eye,customLabel,BodyDef/BodyDef.xml,def,left eye
GR_Hydra.corePart.parts.9.parts.2.customLabel,right eye,customLabel,BodyDef/BodyDef.xml,def,right eye
GR_Hydra.corePart.parts.10.parts.1.customLabel,left eye,customLabel,BodyDef/BodyDef.xml,def,left eye
GR_Hydra.corePart.parts.10.parts.2.customLabel,right eye,customLabel,BodyDef/BodyDef.xml,def,right eye
GR_Hydra.corePart.parts.11.parts.1.customLabel,left eye,customLabel,BodyDef/BodyDef.xml,def,left eye
GR_Hydra.corePart.parts.11.parts.2.customLabel,right eye,customLabel,BodyDef/BodyDef.xml,def,right eye
GR_Hydra.corePart.parts.12.parts.1.customLabel,left eye,customLabel,BodyDef/BodyDef.xml,def,left eye
GR_Hydra.corePart.parts.12.parts.2.customLabel,right eye,customLabel,BodyDef/BodyDef.xml,def,right eye
GR_PsionicExplosion.label,psionic explosion,label,DamageDef/DamageDef.xml,def,psionic explosion
GR_PsionicExplosion.deathMessage,{0} has died from psychic shock.,deathMessage,DamageDef/DamageDef.xml,def,(PH_1) has died from psychic shock.
GR_MaddeningHairballBite.label,suffocating maddening attack,label,DamageDef/DamageDef.xml,def,suffocating maddening attack
GR_ROM_Spawn.label,spawn,label,LifeStageDef/LifeStageDef.xml,def,spawn
GR_ROM_FullyFormed.label,fully formed,label,LifeStageDef/LifeStageDef.xml,def,fully formed
GR_ROM_Ancient.label,ancient,label,LifeStageDef/LifeStageDef.xml,def,ancient
GR_ROM_Eldritch.label,eldritch,label,LifeStageDef/LifeStageDef.xml,def,eldritch
GR_CraftCosmicHorrorsExcavator.label,Craft Eldritch Genome excavator,label,RecipeDef/RecipeDef.xml,def,Craft Eldritch Genome excavator
GR_CraftCosmicHorrorsExcavator.description,Craft a genome excavator to extract genomes from tamed or dead animals. This excavator can extract Cosmic Horrors genomes.,description,RecipeDef/RecipeDef.xml,def,Craft a genome excavator to extract genomes from tamed or dead animals. This excavator can extract Cosmic Horrors genomes.
GR_EldritchExcavator.label,eldritch genome excavator,label,ThingDef/ThingDef.xml,def,eldritch genome excavator
GR_EldritchExcavator.description,"A simplified genome extraction device designed to be usable by even the most simple-minded goon, as such it resembles a caulking gun that works in reverse. The best genetic material can be found in the brain and the automated, single-use design instantly compresses this material into a usable genome.\n\nThe desired subject needs to be docile and trusting of the user who intends on scooping out their brain in a process that is not-quite instantaneous. It is recommended to anesthetize the creature as any sudden movement on their part will interrupt the whole process. Alternatively, it will also work on a dead body...\n\n<color=#E5E54C>Gameplay effect:</color> This excavator can be used to acquire the following genomes:",description,ThingDef/ThingDef.xml,def,"A simplified genome extraction device designed to be usable by even the most simple-minded goon, as such it resembles a caulking gun that works in reverse. The best genetic material can be found in the brain and the automated, single-use design instantly compresses this material into a usable genome.(PH_6)(PH_5)The desired subject needs to be docile and trusting of the user who intends on scooping out their brain in a process that is not-quite instantaneous. It is recommended to anesthetize the creature as any sudden movement on their part will interrupt the whole process. Alternatively, it will also work on a dead body...(PH_4)(PH_3)(PH_2)Gameplay effect:(PH_1) This excavator can be used to acquire the following genomes:"
GR_EldritchExcavator.comps.0.useLabel,Use genome excavator,useLabel,ThingDef/ThingDef.xml,def,Use genome excavator
GR_EldritchGenetic.label,eldritch genome,label,ThingDef/ThingDef.xml,def,eldritch genome
GR_EldritchGenetic.description,A payload of eldritch genetic material. Can be used at the genomorpher to create a growth cell of a hybrid animal. This tier 2 genome can only be used as primary genome.\n\n<color=#E5E54C>Extraction:</color> Can be extracted via an eldritch genome excavator from:,description,ThingDef/ThingDef.xml,def,A payload of eldritch genetic material. Can be used at the genomorpher to create a growth cell of a hybrid animal. This tier 2 genome can only be used as primary genome.(PH_4)(PH_3)(PH_2)Extraction:(PH_1) Can be extracted via an eldritch genome excavator from:
GR_EldritchChickenEggUnfertilized.label,chicken of Mi-go egg (unfert.),label,ThingDef/ThingDef.xml,def,chicken of Mi-go egg (unfert.)
GR_EldritchChickenEggUnfertilized.description,"Unfertilized chicken of Mi-go egg. It can be eaten raw, but it's much, much better cooked. The purple shell is incredibly disconcerting.",description,ThingDef/ThingDef.xml,def,"Unfertilized chicken of Mi-go egg. It can be eaten raw, but it's much, much better cooked. The purple shell is incredibly disconcerting."
GR_EldritchChickenEggFertilized.label,chicken of Mi-go egg (fert.),label,ThingDef/ThingDef.xml,def,chicken of Mi-go egg (fert.)
GR_EldritchChickenEggFertilized.description,"Fertilized chicken of Mi-go egg. It can be eaten raw, but it's much, much better cooked. The purple shell is incredibly disconcerting. If all goes well, it should hatch into a chicken of Mi-go.",description,ThingDef/ThingDef.xml,def,"Fertilized chicken of Mi-go egg. It can be eaten raw, but it's much, much better cooked. The purple shell is incredibly disconcerting. If all goes well, it should hatch into a chicken of Mi-go."
GR_EldritchReptileEggUnfertilized.label,snake of Yig egg (unfert.),label,ThingDef/ThingDef.xml,def,snake of Yig egg (unfert.)
GR_EldritchReptileEggUnfertilized.description,"Unfertilized snake of Yig egg. It can be eaten raw, but it's much, much better cooked. The purple shell is incredibly disconcerting.",description,ThingDef/ThingDef.xml,def,"Unfertilized snake of Yig egg. It can be eaten raw, but it's much, much better cooked. The purple shell is incredibly disconcerting."
GR_EldritchReptileEggFertilized.label,snake of Yig egg (fert.),label,ThingDef/ThingDef.xml,def,snake of Yig egg (fert.)
