key,text,tag,file,type,protected_text,translated
GR_InsanityCloud.label,invoke insanity,label,AbilityDef/AbilityDef.xml,def,invoke insanity,引发疯狂
GR_InsanityCloud.description,Invokes the insanity of That Which Man Is Not Meant to Know,description,AbilityDef/AbilityDef.xml,def,Invokes the insanity of That Which Man Is Not Meant to Know,唤起人类不该知道的疯狂
GR_DetonatePsionic.label,detonate psionic,label,AbilityDef/AbilityDef.xml,def,detonate psionic,引爆灵能
GR_DetonatePsionic.description,Remotely detonate the psionic chemfuel reservoirs of this creature. The animal will be affected and damaged by the resulting explosion.,description,AbilityDef/AbilityDef.xml,def,Remotely detonate the psionic chemfuel reservoirs of this creature. The animal will be affected and damaged by the resulting explosion.,远程引爆该生物的灵能化学燃料储存库。动物将受到由此产生的爆炸的影响和损坏。
GR_Amorphous.label,amorphous,label,BodyDef/BodyDef.xml,def,amorphous,无定形
GR_Amorphous.corePart.parts.2.customLabel,left lung,customLabel,BodyDef/BodyDef.xml,def,left lung,左肺
GR_Amorphous.corePart.parts.3.customLabel,right lung,customLabel,BodyDef/BodyDef.xml,def,right lung,右肺
GR_Amorphous.corePart.parts.4.customLabel,left kidney,customLabel,BodyDef/BodyDef.xml,def,left kidney,左肾
GR_Amorphous.corePart.parts.5.customLabel,right kidney,customLabel,BodyDef/BodyDef.xml,def,right kidney,右肾
GR_Amorphous.corePart.parts.7.parts.1.customLabel,left eye,customLabel,BodyDef/BodyDef.xml,def,left eye,左眼
GR_Amorphous.corePart.parts.7.parts.2.customLabel,right eye,customLabel,BodyDef/BodyDef.xml,def,right eye,右眼
GR_Hydra.label,hydra,label,BodyDef/BodyDef.xml,def,hydra,九头蛇
GR_Hydra.corePart.parts.2.customLabel,left lung,customLabel,BodyDef/BodyDef.xml,def,left lung,左肺
GR_Hydra.corePart.parts.3.customLabel,right lung,customLabel,BodyDef/BodyDef.xml,def,right lung,右肺
GR_Hydra.corePart.parts.4.customLabel,left kidney,customLabel,BodyDef/BodyDef.xml,def,left kidney,左肾
GR_Hydra.corePart.parts.5.customLabel,right kidney,customLabel,BodyDef/BodyDef.xml,def,right kidney,右肾
GR_Hydra.corePart.parts.7.parts.1.customLabel,left eye,customLabel,BodyDef/BodyDef.xml,def,left eye,左眼
GR_Hydra.corePart.parts.7.parts.2.customLabel,right eye,customLabel,BodyDef/BodyDef.xml,def,right eye,右眼
GR_Hydra.corePart.parts.8.parts.1.customLabel,left eye,customLabel,BodyDef/BodyDef.xml,def,left eye,左眼
GR_Hydra.corePart.parts.8.parts.2.customLabel,right eye,customLabel,BodyDef/BodyDef.xml,def,right eye,右眼
GR_Hydra.corePart.parts.9.parts.1.customLabel,left eye,customLabel,BodyDef/BodyDef.xml,def,left eye,左眼
GR_Hydra.corePart.parts.9.parts.2.customLabel,right eye,customLabel,BodyDef/BodyDef.xml,def,right eye,右眼
GR_Hydra.corePart.parts.10.parts.1.customLabel,left eye,customLabel,BodyDef/BodyDef.xml,def,left eye,左眼
GR_Hydra.corePart.parts.10.parts.2.customLabel,right eye,customLabel,BodyDef/BodyDef.xml,def,right eye,右眼
GR_Hydra.corePart.parts.11.parts.1.customLabel,left eye,customLabel,BodyDef/BodyDef.xml,def,left eye,左眼
GR_Hydra.corePart.parts.11.parts.2.customLabel,right eye,customLabel,BodyDef/BodyDef.xml,def,right eye,右眼
GR_Hydra.corePart.parts.12.parts.1.customLabel,left eye,customLabel,BodyDef/BodyDef.xml,def,left eye,左眼
GR_Hydra.corePart.parts.12.parts.2.customLabel,right eye,customLabel,BodyDef/BodyDef.xml,def,right eye,右眼
GR_PsionicExplosion.label,psionic explosion,label,DamageDef/DamageDef.xml,def,psionic explosion,灵能爆炸
GR_PsionicExplosion.deathMessage,{0} has died from psychic shock.,deathMessage,DamageDef/DamageDef.xml,def,(PH_1) has died from psychic shock.,{0} 因精神休克而死亡。
GR_MaddeningHairballBite.label,suffocating maddening attack,label,DamageDef/DamageDef.xml,def,suffocating maddening attack,令人有意限制对大脑的供氧，往往是为了使性觉醒。的疯狂攻击
