key,text,tag,file,type,protected_text
GR_Stamina.label,greater stamina,label,AbilityDef/AbilityDef.xml,def,greater stamina
GR_Stamina.description,Makes the creature more resistant to damage for a while.,description,AbilityDef/AbilityDef.xml,def,Makes the creature more resistant to damage for a while.
VGE_Theropod.label,theropod,label,BodyDef/BodyDef.xml,def,theropod
VGE_Theropod.corePart.parts.4.customLabel,left lung,customLabel,BodyDef/BodyDef.xml,def,left lung
VGE_Theropod.corePart.parts.5.customLabel,right lung,customLabel,BodyDef/BodyDef.xml,def,right lung
VGE_Theropod.corePart.parts.6.customLabel,left kidney,customLabel,BodyDef/BodyDef.xml,def,left kidney
VGE_Theropod.corePart.parts.7.customLabel,right kidney,customLabel,BodyDef/BodyDef.xml,def,right kidney
VGE_Theropod.corePart.parts.9.parts.0.parts.1.customLabel,left eye,customLabel,BodyDef/BodyDef.xml,def,left eye
VGE_Theropod.corePart.parts.9.parts.0.parts.2.customLabel,right eye,customLabel,BodyDef/BodyDef.xml,def,right eye
VGE_Theropod.corePart.parts.10.customLabel,left leg,customLabel,BodyDef/BodyDef.xml,def,left leg
VGE_Theropod.corePart.parts.10.parts.0.customLabel,left foot,customLabel,BodyDef/BodyDef.xml,def,left foot
VGE_Theropod.corePart.parts.11.customLabel,right leg,customLabel,BodyDef/BodyDef.xml,def,right leg
VGE_Theropod.corePart.parts.11.parts.0.customLabel,right foot,customLabel,BodyDef/BodyDef.xml,def,right foot
VGE_TheropodWithClaws.label,theropod,label,BodyDef/BodyDef.xml,def,theropod
VGE_TheropodWithClaws.corePart.parts.4.customLabel,left lung,customLabel,BodyDef/BodyDef.xml,def,left lung
VGE_TheropodWithClaws.corePart.parts.5.customLabel,right lung,customLabel,BodyDef/BodyDef.xml,def,right lung
VGE_TheropodWithClaws.corePart.parts.6.customLabel,left kidney,customLabel,BodyDef/BodyDef.xml,def,left kidney
VGE_TheropodWithClaws.corePart.parts.7.customLabel,right kidney,customLabel,BodyDef/BodyDef.xml,def,right kidney
VGE_TheropodWithClaws.corePart.parts.9.parts.0.parts.1.customLabel,left eye,customLabel,BodyDef/BodyDef.xml,def,left eye
VGE_TheropodWithClaws.corePart.parts.9.parts.0.parts.2.customLabel,right eye,customLabel,BodyDef/BodyDef.xml,def,right eye
VGE_TheropodWithClaws.corePart.parts.10.customLabel,left leg,customLabel,BodyDef/BodyDef.xml,def,left leg
VGE_TheropodWithClaws.corePart.parts.10.parts.0.customLabel,left foot,customLabel,BodyDef/BodyDef.xml,def,left foot
VGE_TheropodWithClaws.corePart.parts.10.parts.1.customLabel,left claw,customLabel,BodyDef/BodyDef.xml,def,left claw
VGE_TheropodWithClaws.corePart.parts.11.customLabel,right leg,customLabel,BodyDef/BodyDef.xml,def,right leg
VGE_TheropodWithClaws.corePart.parts.11.parts.0.customLabel,right foot,customLabel,BodyDef/BodyDef.xml,def,right foot
VGE_TheropodWithClaws.corePart.parts.11.parts.1.customLabel,right claw,customLabel,BodyDef/BodyDef.xml,def,right claw
VGE_BipedalOther.label,bipedal other dinosaurs,label,BodyDef/BodyDef.xml,def,bipedal other dinosaurs
VGE_BipedalOther.corePart.parts.4.customLabel,left lung,customLabel,BodyDef/BodyDef.xml,def,left lung
VGE_BipedalOther.corePart.parts.5.customLabel,right lung,customLabel,BodyDef/BodyDef.xml,def,right lung
VGE_BipedalOther.corePart.parts.6.customLabel,left kidney,customLabel,BodyDef/BodyDef.xml,def,left kidney
VGE_BipedalOther.corePart.parts.7.customLabel,right kidney,customLabel,BodyDef/BodyDef.xml,def,right kidney
VGE_BipedalOther.corePart.parts.9.parts.0.parts.1.customLabel,left eye,customLabel,BodyDef/BodyDef.xml,def,left eye
VGE_BipedalOther.corePart.parts.9.parts.0.parts.2.customLabel,right eye,customLabel,BodyDef/BodyDef.xml,def,right eye
VGE_BipedalOther.corePart.parts.10.customLabel,left leg,customLabel,BodyDef/BodyDef.xml,def,left leg
VGE_BipedalOther.corePart.parts.10.parts.0.customLabel,left foot,customLabel,BodyDef/BodyDef.xml,def,left foot
VGE_BipedalOther.corePart.parts.11.customLabel,right leg,customLabel,BodyDef/BodyDef.xml,def,right leg
VGE_BipedalOther.corePart.parts.11.parts.0.customLabel,right foot,customLabel,BodyDef/BodyDef.xml,def,right foot
VGE_BipedalOther.corePart.parts.12.customLabel,left shoulder,customLabel,BodyDef/BodyDef.xml,def,left shoulder
VGE_BipedalOther.corePart.parts.12.parts.0.customLabel,left arm,customLabel,BodyDef/BodyDef.xml,def,left arm
VGE_BipedalOther.corePart.parts.12.parts.0.parts.0.customLabel,left front claw,customLabel,BodyDef/BodyDef.xml,def,left front claw
VGE_BipedalOther.corePart.parts.13.customLabel,right shoulder,customLabel,BodyDef/BodyDef.xml,def,right shoulder
VGE_BipedalOther.corePart.parts.13.parts.0.customLabel,right arm,customLabel,BodyDef/BodyDef.xml,def,right arm
VGE_BipedalOther.corePart.parts.13.parts.0.parts.0.customLabel,right front claw,customLabel,BodyDef/BodyDef.xml,def,right front claw
VGE_Sauropod.label,sauropod,label,BodyDef/BodyDef.xml,def,sauropod
VGE_Sauropod.corePart.parts.4.customLabel,left lung,customLabel,BodyDef/BodyDef.xml,def,left lung
VGE_Sauropod.corePart.parts.5.customLabel,right lung,customLabel,BodyDef/BodyDef.xml,def,right lung
VGE_Sauropod.corePart.parts.6.customLabel,left kidney,customLabel,BodyDef/BodyDef.xml,def,left kidney
VGE_Sauropod.corePart.parts.7.customLabel,right kidney,customLabel,BodyDef/BodyDef.xml,def,right kidney
VGE_Sauropod.corePart.parts.9.parts.0.parts.1.customLabel,left eye,customLabel,BodyDef/BodyDef.xml,def,left eye
VGE_Sauropod.corePart.parts.9.parts.0.parts.2.customLabel,right eye,customLabel,BodyDef/BodyDef.xml,def,right eye
VGE_Sauropod.corePart.parts.10.customLabel,front left leg,customLabel,BodyDef/BodyDef.xml,def,front left leg
VGE_Sauropod.corePart.parts.10.parts.0.customLabel,front left foot,customLabel,BodyDef/BodyDef.xml,def,front left foot
VGE_Sauropod.corePart.parts.11.customLabel,front right leg,customLabel,BodyDef/BodyDef.xml,def,front right leg
VGE_Sauropod.corePart.parts.11.parts.0.customLabel,front right foot,customLabel,BodyDef/BodyDef.xml,def,front right foot
VGE_Sauropod.corePart.parts.12.customLabel,rear left leg,customLabel,BodyDef/BodyDef.xml,def,rear left leg
VGE_Sauropod.corePart.parts.12.parts.0.customLabel,rear left foot,customLabel,BodyDef/BodyDef.xml,def,rear left foot
VGE_Sauropod.corePart.parts.13.customLabel,rear right leg,customLabel,BodyDef/BodyDef.xml,def,rear right leg
VGE_Sauropod.corePart.parts.13.parts.0.customLabel,rear right foot,customLabel,BodyDef/BodyDef.xml,def,rear right foot
VGE_Ceratopsid.label,ceratopsid,label,BodyDef/BodyDef.xml,def,ceratopsid
VGE_Ceratopsid.corePart.parts.4.customLabel,left lung,customLabel,BodyDef/BodyDef.xml,def,left lung
VGE_Ceratopsid.corePart.parts.5.customLabel,right lung,customLabel,BodyDef/BodyDef.xml,def,right lung
VGE_Ceratopsid.corePart.parts.6.customLabel,left kidney,customLabel,BodyDef/BodyDef.xml,def,left kidney
VGE_Ceratopsid.corePart.parts.7.customLabel,right kidney,customLabel,BodyDef/BodyDef.xml,def,right kidney
VGE_Ceratopsid.corePart.parts.9.parts.0.parts.2.customLabel,left eye,customLabel,BodyDef/BodyDef.xml,def,left eye
VGE_Ceratopsid.corePart.parts.9.parts.0.parts.3.customLabel,right eye,customLabel,BodyDef/BodyDef.xml,def,right eye
