key,text,tag,file,type,protected_text,translated
GR_Stamina.label,greater stamina,label,AbilityDef/AbilityDef.xml,def,greater stamina,更强的耐力
GR_Stamina.description,Makes the creature more resistant to damage for a while.,description,AbilityDef/AbilityDef.xml,def,Makes the creature more resistant to damage for a while.,使该生物在一段时间内对伤害具有更强的抵抗力。
VGE_Theropod.label,theropod,label,BodyDef/BodyDef.xml,def,theropod,兽脚类恐龙
VGE_Theropod.corePart.parts.4.customLabel,left lung,customLabel,BodyDef/BodyDef.xml,def,left lung,左肺
VGE_Theropod.corePart.parts.5.customLabel,right lung,customLabel,BodyDef/BodyDef.xml,def,right lung,右肺
VGE_Theropod.corePart.parts.6.customLabel,left kidney,customLabel,BodyDef/BodyDef.xml,def,left kidney,左肾
VGE_Theropod.corePart.parts.7.customLabel,right kidney,customLabel,BodyDef/BodyDef.xml,def,right kidney,右肾
VGE_Theropod.corePart.parts.9.parts.0.parts.1.customLabel,left eye,customLabel,BodyDef/BodyDef.xml,def,left eye,左眼
VGE_Theropod.corePart.parts.9.parts.0.parts.2.customLabel,right eye,customLabel,BodyDef/BodyDef.xml,def,right eye,右眼
VGE_Theropod.corePart.parts.10.customLabel,left leg,customLabel,BodyDef/BodyDef.xml,def,left leg,左腿
VGE_Theropod.corePart.parts.10.parts.0.customLabel,left foot,customLabel,BodyDef/BodyDef.xml,def,left foot,左脚
VGE_Theropod.corePart.parts.11.customLabel,right leg,customLabel,BodyDef/BodyDef.xml,def,right leg,右腿
VGE_Theropod.corePart.parts.11.parts.0.customLabel,right foot,customLabel,BodyDef/BodyDef.xml,def,right foot,右脚
VGE_TheropodWithClaws.label,theropod,label,BodyDef/BodyDef.xml,def,theropod,兽脚类恐龙
VGE_TheropodWithClaws.corePart.parts.4.customLabel,left lung,customLabel,BodyDef/BodyDef.xml,def,left lung,左肺
VGE_TheropodWithClaws.corePart.parts.5.customLabel,right lung,customLabel,BodyDef/BodyDef.xml,def,right lung,右肺
VGE_TheropodWithClaws.corePart.parts.6.customLabel,left kidney,customLabel,BodyDef/BodyDef.xml,def,left kidney,左肾
VGE_TheropodWithClaws.corePart.parts.7.customLabel,right kidney,customLabel,BodyDef/BodyDef.xml,def,right kidney,右肾
VGE_TheropodWithClaws.corePart.parts.9.parts.0.parts.1.customLabel,left eye,customLabel,BodyDef/BodyDef.xml,def,left eye,左眼
VGE_TheropodWithClaws.corePart.parts.9.parts.0.parts.2.customLabel,right eye,customLabel,BodyDef/BodyDef.xml,def,right eye,右眼
VGE_TheropodWithClaws.corePart.parts.10.customLabel,left leg,customLabel,BodyDef/BodyDef.xml,def,left leg,左腿
VGE_TheropodWithClaws.corePart.parts.10.parts.0.customLabel,left foot,customLabel,BodyDef/BodyDef.xml,def,left foot,左脚
VGE_TheropodWithClaws.corePart.parts.10.parts.1.customLabel,left claw,customLabel,BodyDef/BodyDef.xml,def,left claw,左爪
VGE_TheropodWithClaws.corePart.parts.11.customLabel,right leg,customLabel,BodyDef/BodyDef.xml,def,right leg,右腿
VGE_TheropodWithClaws.corePart.parts.11.parts.0.customLabel,right foot,customLabel,BodyDef/BodyDef.xml,def,right foot,右脚
VGE_TheropodWithClaws.corePart.parts.11.parts.1.customLabel,right claw,customLabel,BodyDef/BodyDef.xml,def,right claw,右爪
VGE_BipedalOther.label,bipedal other dinosaurs,label,BodyDef/BodyDef.xml,def,bipedal other dinosaurs,双足其他恐龙
VGE_BipedalOther.corePart.parts.4.customLabel,left lung,customLabel,BodyDef/BodyDef.xml,def,left lung,左肺
VGE_BipedalOther.corePart.parts.5.customLabel,right lung,customLabel,BodyDef/BodyDef.xml,def,right lung,右肺
VGE_BipedalOther.corePart.parts.6.customLabel,left kidney,customLabel,BodyDef/BodyDef.xml,def,left kidney,左肾
VGE_BipedalOther.corePart.parts.7.customLabel,right kidney,customLabel,BodyDef/BodyDef.xml,def,right kidney,右肾
VGE_BipedalOther.corePart.parts.9.parts.0.parts.1.customLabel,left eye,customLabel,BodyDef/BodyDef.xml,def,left eye,左眼
VGE_BipedalOther.corePart.parts.9.parts.0.parts.2.customLabel,right eye,customLabel,BodyDef/BodyDef.xml,def,right eye,右眼
VGE_BipedalOther.corePart.parts.10.customLabel,left leg,customLabel,BodyDef/BodyDef.xml,def,left leg,左腿
VGE_BipedalOther.corePart.parts.10.parts.0.customLabel,left foot,customLabel,BodyDef/BodyDef.xml,def,left foot,左脚
