key,text,tag,file,type,protected_text
GR_MantisBird.label,mantis bird,label,BodyDef/BodyDef.xml,def,mantis bird
GR_MantisBird.corePart.parts.0.customLabel,left elytra,customLabel,BodyDef/BodyDef.xml,def,left elytra
GR_MantisBird.corePart.parts.1.customLabel,right elytra,customLabel,BodyDef/BodyDef.xml,def,right elytra
GR_MantisBird.corePart.parts.4.parts.0.parts.1.customLabel,left eye,customLabel,BodyDef/BodyDef.xml,def,left eye
GR_MantisBird.corePart.parts.4.parts.0.parts.2.customLabel,right eye,customLabel,BodyDef/BodyDef.xml,def,right eye
GR_MantisBird.corePart.parts.4.parts.0.parts.3.customLabel,left antenna,customLabel,BodyDef/BodyDef.xml,def,left antenna
GR_MantisBird.corePart.parts.4.parts.0.parts.4.customLabel,right antenna,customLabel,BodyDef/BodyDef.xml,def,right antenna
GR_MantisBird.corePart.parts.5.customLabel,front left mantis leg,customLabel,BodyDef/BodyDef.xml,def,front left mantis leg
GR_MantisBird.corePart.parts.6.customLabel,front right mantis leg,customLabel,BodyDef/BodyDef.xml,def,front right mantis leg
GR_MantisBird.corePart.parts.7.customLabel,left leg,customLabel,BodyDef/BodyDef.xml,def,left leg
GR_MantisBird.corePart.parts.7.parts.0.customLabel,left claw,customLabel,BodyDef/BodyDef.xml,def,left claw
GR_MantisBird.corePart.parts.8.customLabel,right leg,customLabel,BodyDef/BodyDef.xml,def,right leg
GR_MantisBird.corePart.parts.8.parts.0.customLabel,right claw,customLabel,BodyDef/BodyDef.xml,def,right claw
GR_QuadrupedAnimalWithPawsAndHorn.label,quadruped animal,label,BodyDef/BodyDef.xml,def,quadruped animal
GR_QuadrupedAnimalWithPawsAndHorn.corePart.parts.3.customLabel,left lung,customLabel,BodyDef/BodyDef.xml,def,left lung
GR_QuadrupedAnimalWithPawsAndHorn.corePart.parts.4.customLabel,right lung,customLabel,BodyDef/BodyDef.xml,def,right lung
GR_QuadrupedAnimalWithPawsAndHorn.corePart.parts.5.customLabel,left kidney,customLabel,BodyDef/BodyDef.xml,def,left kidney
GR_QuadrupedAnimalWithPawsAndHorn.corePart.parts.6.customLabel,right kidney,customLabel,BodyDef/BodyDef.xml,def,right kidney
GR_QuadrupedAnimalWithPawsAndHorn.corePart.parts.8.parts.0.parts.1.customLabel,left eye,customLabel,BodyDef/BodyDef.xml,def,left eye
GR_QuadrupedAnimalWithPawsAndHorn.corePart.parts.8.parts.0.parts.2.customLabel,right eye,customLabel,BodyDef/BodyDef.xml,def,right eye
GR_QuadrupedAnimalWithPawsAndHorn.corePart.parts.8.parts.0.parts.3.customLabel,left ear,customLabel,BodyDef/BodyDef.xml,def,left ear
GR_QuadrupedAnimalWithPawsAndHorn.corePart.parts.8.parts.0.parts.4.customLabel,right ear,customLabel,BodyDef/BodyDef.xml,def,right ear
GR_QuadrupedAnimalWithPawsAndHorn.corePart.parts.9.customLabel,front left leg,customLabel,BodyDef/BodyDef.xml,def,front left leg
GR_QuadrupedAnimalWithPawsAndHorn.corePart.parts.9.parts.0.customLabel,front left paw,customLabel,BodyDef/BodyDef.xml,def,front left paw
GR_QuadrupedAnimalWithPawsAndHorn.corePart.parts.10.customLabel,front right leg,customLabel,BodyDef/BodyDef.xml,def,front right leg
GR_QuadrupedAnimalWithPawsAndHorn.corePart.parts.10.parts.0.customLabel,front right paw,customLabel,BodyDef/BodyDef.xml,def,front right paw
GR_QuadrupedAnimalWithPawsAndHorn.corePart.parts.11.customLabel,rear left leg,customLabel,BodyDef/BodyDef.xml,def,rear left leg
GR_QuadrupedAnimalWithPawsAndHorn.corePart.parts.11.parts.0.customLabel,rear left paw,customLabel,BodyDef/BodyDef.xml,def,rear left paw
GR_QuadrupedAnimalWithPawsAndHorn.corePart.parts.12.customLabel,rear right leg,customLabel,BodyDef/BodyDef.xml,def,rear right leg
GR_QuadrupedAnimalWithPawsAndHorn.corePart.parts.12.parts.0.customLabel,rear right paw,customLabel,BodyDef/BodyDef.xml,def,rear right paw
GR_QuadrupedAnimalWithPawsAndTusks.label,quadruped animal,label,BodyDef/BodyDef.xml,def,quadruped animal
GR_QuadrupedAnimalWithPawsAndTusks.corePart.parts.4.customLabel,left lung,customLabel,BodyDef/BodyDef.xml,def,left lung
GR_QuadrupedAnimalWithPawsAndTusks.corePart.parts.5.customLabel,right lung,customLabel,BodyDef/BodyDef.xml,def,right lung
GR_QuadrupedAnimalWithPawsAndTusks.corePart.parts.6.customLabel,left kidney,customLabel,BodyDef/BodyDef.xml,def,left kidney
GR_QuadrupedAnimalWithPawsAndTusks.corePart.parts.7.customLabel,right kidney,customLabel,BodyDef/BodyDef.xml,def,right kidney
GR_QuadrupedAnimalWithPawsAndTusks.corePart.parts.9.parts.0.parts.1.customLabel,left eye,customLabel,BodyDef/BodyDef.xml,def,left eye
GR_QuadrupedAnimalWithPawsAndTusks.corePart.parts.9.parts.0.parts.2.customLabel,right eye,customLabel,BodyDef/BodyDef.xml,def,right eye
GR_QuadrupedAnimalWithPawsAndTusks.corePart.parts.9.parts.0.parts.3.customLabel,left ear,customLabel,BodyDef/BodyDef.xml,def,left ear
GR_QuadrupedAnimalWithPawsAndTusks.corePart.parts.9.parts.0.parts.4.customLabel,right ear,customLabel,BodyDef/BodyDef.xml,def,right ear
GR_QuadrupedAnimalWithPawsAndTusks.corePart.parts.9.parts.0.parts.6.parts.0.customLabel,left tusk,customLabel,BodyDef/BodyDef.xml,def,left tusk
GR_QuadrupedAnimalWithPawsAndTusks.corePart.parts.9.parts.0.parts.6.parts.1.customLabel,right tusk,customLabel,BodyDef/BodyDef.xml,def,right tusk
GR_QuadrupedAnimalWithPawsAndTusks.corePart.parts.10.customLabel,front left leg,customLabel,BodyDef/BodyDef.xml,def,front left leg
GR_QuadrupedAnimalWithPawsAndTusks.corePart.parts.10.parts.0.customLabel,front left paw,customLabel,BodyDef/BodyDef.xml,def,front left paw
GR_QuadrupedAnimalWithPawsAndTusks.corePart.parts.11.customLabel,front right leg,customLabel,BodyDef/BodyDef.xml,def,front right leg
GR_QuadrupedAnimalWithPawsAndTusks.corePart.parts.11.parts.0.customLabel,front right paw,customLabel,BodyDef/BodyDef.xml,def,front right paw
GR_QuadrupedAnimalWithPawsAndTusks.corePart.parts.12.customLabel,rear left leg,customLabel,BodyDef/BodyDef.xml,def,rear left leg
GR_QuadrupedAnimalWithPawsAndTusks.corePart.parts.12.parts.0.customLabel,rear left paw,customLabel,BodyDef/BodyDef.xml,def,rear left paw
GR_QuadrupedAnimalWithPawsAndTusks.corePart.parts.13.customLabel,rear right leg,customLabel,BodyDef/BodyDef.xml,def,rear right leg
GR_QuadrupedAnimalWithPawsAndTusks.corePart.parts.13.parts.0.customLabel,rear right paw,customLabel,BodyDef/BodyDef.xml,def,rear right paw
GR_CraftMegafaunaGenomeExcavator.label,Craft Megafauna Genome excavator,label,RecipeDef/RecipeDef.xml,def,Craft Megafauna Genome excavator
GR_CraftMegafaunaGenomeExcavator.description,Craft a genome excavator to extract genomes from tamed or dead animals. This excavator can extract Megafauna genomes.,description,RecipeDef/RecipeDef.xml,def,Craft a genome excavator to extract genomes from tamed or dead animals. This excavator can extract Megafauna genomes.
GR_MegafaunaGenomeExcavator.label,megafauna genome excavator,label,ThingDef/ThingDef.xml,def,megafauna genome excavator
GR_MegafaunaGenomeExcavator.description,"A simplified genome extraction device designed to be usable by even the most simple-minded goon, as such it resembles a caulking gun that works in reverse. The best genetic material can be found in the brain and the automated, single-use design instantly compresses this material into a usable genome.\n\nThe desired subject needs to be docile and trusting of the user who intends on scooping out their brain in a process that is not-quite instantaneous. It is recommended to anesthetize the creature as any sudden movement on their part will interrupt the whole process. Alternatively, it will also work on a dead body...\n\n<color=#E5E54C>Gameplay effect:</color> This excavator can be used to acquire the following genomes:",description,ThingDef/ThingDef.xml,def,"A simplified genome extraction device designed to be usable by even the most simple-minded goon, as such it resembles a caulking gun that works in reverse. The best genetic material can be found in the brain and the automated, single-use design instantly compresses this material into a usable genome.(PH_6)(PH_5)The desired subject needs to be docile and trusting of the user who intends on scooping out their brain in a process that is not-quite instantaneous. It is recommended to anesthetize the creature as any sudden movement on their part will interrupt the whole process. Alternatively, it will also work on a dead body...(PH_4)(PH_3)(PH_2)Gameplay effect:(PH_1) This excavator can be used to acquire the following genomes:"
GR_MegafaunaGenomeExcavator.comps.0.useLabel,Use genome excavator,useLabel,ThingDef/ThingDef.xml,def,Use genome excavator
