key,text,tag,file,type,protected_text,translated
GR_MantisBird.label,mantis bird,label,BodyDef/BodyDef.xml,def,mantis bird,螳螂鸟
GR_MantisBird.corePart.parts.0.customLabel,left elytra,customLabel,BodyDef/BodyDef.xml,def,left elytra,左鞘翅
GR_MantisBird.corePart.parts.1.customLabel,right elytra,customLabel,BodyDef/BodyDef.xml,def,right elytra,右鞘翅
GR_MantisBird.corePart.parts.4.parts.0.parts.1.customLabel,left eye,customLabel,BodyDef/BodyDef.xml,def,left eye,左眼
GR_MantisBird.corePart.parts.4.parts.0.parts.2.customLabel,right eye,customLabel,BodyDef/BodyDef.xml,def,right eye,右眼
GR_MantisBird.corePart.parts.4.parts.0.parts.3.customLabel,left antenna,customLabel,BodyDef/BodyDef.xml,def,left antenna,左天线
GR_MantisBird.corePart.parts.4.parts.0.parts.4.customLabel,right antenna,customLabel,BodyDef/BodyDef.xml,def,right antenna,右天线
GR_MantisBird.corePart.parts.5.customLabel,front left mantis leg,customLabel,BodyDef/BodyDef.xml,def,front left mantis leg,螳螂左前腿
GR_MantisBird.corePart.parts.6.customLabel,front right mantis leg,customLabel,BodyDef/BodyDef.xml,def,front right mantis leg,右前螳螂腿
GR_MantisBird.corePart.parts.7.customLabel,left leg,customLabel,BodyDef/BodyDef.xml,def,left leg,左腿
GR_MantisBird.corePart.parts.7.parts.0.customLabel,left claw,customLabel,BodyDef/BodyDef.xml,def,left claw,左爪
GR_MantisBird.corePart.parts.8.customLabel,right leg,customLabel,BodyDef/BodyDef.xml,def,right leg,右腿
GR_MantisBird.corePart.parts.8.parts.0.customLabel,right claw,customLabel,BodyDef/BodyDef.xml,def,right claw,右爪
GR_QuadrupedAnimalWithPawsAndHorn.label,quadruped animal,label,BodyDef/BodyDef.xml,def,quadruped animal,四足动物
GR_QuadrupedAnimalWithPawsAndHorn.corePart.parts.3.customLabel,left lung,customLabel,BodyDef/BodyDef.xml,def,left lung,左肺
GR_QuadrupedAnimalWithPawsAndHorn.corePart.parts.4.customLabel,right lung,customLabel,BodyDef/BodyDef.xml,def,right lung,右肺
GR_QuadrupedAnimalWithPawsAndHorn.corePart.parts.5.customLabel,left kidney,customLabel,BodyDef/BodyDef.xml,def,left kidney,左肾
