key,text,tag,file,type
VME_WorkCommand.label,work command,label,AbilityDef/AbilityDef.xml,def
VME_WorkCommand.description,"Instruct everyone around to work harder and be more diligent, boosting global work speed and the cost of depleting recreation. The effect remains attached to the caster for 24 hours.",description,AbilityDef/AbilityDef.xml,def
VME_WorkCommand.label,work command,label,HediffDef/HediffDef.xml,def
VME_WorkCommand.description,"Instruct everyone around to work harder and be more diligent, boosting global work speed and the cost of depleting recreation. The effect remains attached to the caster for 24 hours.",description,HediffDef/HediffDef.xml,def
VME_WorkCommandBuff.label,work command,label,HediffDef/HediffDef.xml,def
VME_WorkCommandBuff.description,This person's work speed is boosted thanks to being near someone who is using the work command ability.,description,HediffDef/HediffDef.xml,def
VME_PsychicFocus.label,psychic focus,label,MemeDef/MemeDef.xml,def
VME_PsychicFocus.description,Mastering the power of the mind is essential to securing one’s place in the universe.,description,MemeDef/MemeDef.xml,def
VME_PsychicFocus.generalRules.rulesStrings.0,memeAdjective->mental,li,MemeDef/MemeDef.xml,def
VME_PsychicFocus.generalRules.rulesStrings.1,memeAdjective->psychic,li,MemeDef/MemeDef.xml,def
VME_PsychicFocus.generalRules.rulesStrings.2,memeAdjective->metaphysical,li,MemeDef/MemeDef.xml,def
VME_PsychicFocus.generalRules.rulesStrings.3,memeHyphenPrefix->mind,li,MemeDef/MemeDef.xml,def
VME_PsychicFocus.generalRules.rulesStrings.4,memeConcept->psychic power,li,MemeDef/MemeDef.xml,def
VME_PsychicFocus.generalRules.rulesStrings.5,memeLeaderNoun->mentalist,li,MemeDef/MemeDef.xml,def
VME_PsychicFocus.generalRules.rulesStrings.6,memeLeaderNoun->augur,li,MemeDef/MemeDef.xml,def
VME_PsychicFocus.generalRules.rulesStrings.7,memeLeaderNoun->seer,li,MemeDef/MemeDef.xml,def
VME_PsychicFocus.generalRules.rulesStrings.8,memeMoralist->prophet,li,MemeDef/MemeDef.xml,def
VME_PsychicFocus.generalRules.rulesStrings.9,memeMoralist->clairvoyant,li,MemeDef/MemeDef.xml,def
VME_PsychicFocus.descriptionMaker.rules.rulesStrings.0,creation(tag=meme_PsychicFocus)        ->[deity0_name] gifted humanity with psychic powers so we can follow [deity0_possessive] will.,li,MemeDef/MemeDef.xml,def
VME_PsychicFocus.descriptionMaker.rules.rulesStrings.1,"episode(uses=1,tag=meme_PsychicFocus)  ->[deity0_name] said to all the [memberNamePlural], ""Your mind is your greatest boon. Learn to use it, and no enemies will stand against you.""",li,MemeDef/MemeDef.xml,def
VME_PsychicFocus.descriptionMaker.rules.rulesStrings.2,"intro(tag=meme_PsychicFocus)           ->[memberNamePlural] built a great [altarName] on the [place_summary] [place_name], a place of learning and a school to hone one's psychic powers to exalt [deity0_name]'s will.",li,MemeDef/MemeDef.xml,def
VME_PsychicFocus.descriptionMaker.rules.rulesStrings.3,"conflict(tag=meme_PsychicFocus)        ->A coward [foeLeader], seeking to deny the will of [deity0_name], told [foeLeader_possessive] [foeSoldiers] to attack [deity0_name]'s followers with insane psychic powers.",li,MemeDef/MemeDef.xml,def
VME_PsychicFocus.descriptionMaker.rules.rulesStrings.4,"founderJoin(tag=meme_PsychicFocus)     ->[deity0_name] blessed a [place_job] named [founderName] with [deity0_possessive] uncanny mental prowess, and none could turn away when [founder_pronoun] spoke, entranced by the wise words.",li,MemeDef/MemeDef.xml,def
VME_PsychicFocus.descriptionMaker.rules.rulesStrings.5,victory(tag=meme_PsychicFocus)         ->[founderName] mind-bent many of the [foeSoldiers] and coaxed them to pray to [deity0_name]. The [foeLeader] was shamed and never heard of again.,li,MemeDef/MemeDef.xml,def
VME_PsychicFocus.descriptionMaker.rules.rulesStrings.6,"setup(tag=meme_PsychicFocus)           ->Our founder [founderName] was a psychic warrior in a forgotten, shattered star empire. [founder_pronoun] had an incredible mental discipline, that manifested in wondrous psychic powers.",li,MemeDef/MemeDef.xml,def
VME_PsychicFocus.descriptionMaker.rules.rulesStrings.7,"story(uses=1,tag=meme_PsychicFocus)    ->[founder_pronoun] founded a prestigious martial academy where all [foeLeader_possessive] followers could learn how to hone their minds and use them as a weapon.",li,MemeDef/MemeDef.xml,def
VME_PsychicFocus.descriptionMaker.rules.rulesStrings.8,"lessonIntro(tag=meme_PsychicFocus)         ->In all my years teaching the disciplines of the mind, I learned one lesson that is more important than anything else:",li,MemeDef/MemeDef.xml,def
VME_PsychicFocus.descriptionMaker.rules.rulesStrings.9,"lesson(tag=meme_PsychicFocus)              ->you don't use your mind as a weapon, your mind IS the weapon. You don't just use it for offensive purposes, or it is wasted",li,MemeDef/MemeDef.xml,def
VME_PsychicFocus.descriptionMaker.rules.rulesStrings.10,"lessonReinforcement(tag=meme_PsychicFocus) ->The greatest psychic warrior ever will not be one that knows how to use these powers, but one who knows how to think before using them.",li,MemeDef/MemeDef.xml,def
VME_PsychicFocus.descriptionMaker.rules.rulesStrings.11,"archistBasis(tag=meme_PsychicFocus)    ->The archotechs are pure minds, pristine intellects that are so far beyond anything else as to be like gods.",li,MemeDef/MemeDef.xml,def
VME_PsychicFocus.descriptionMaker.rules.rulesStrings.12,"archistFact(tag=meme_PsychicFocus)     ->Psychic powers are a gift from the archotechs. By awakening them in our minds we participate, albeit faintly, in the glory that is an archotech intellect.",li,MemeDef/MemeDef.xml,def
VME_PsychicFocus.descriptionMaker.rules.rulesStrings.13,"archistProphecy(tag=meme_PsychicFocus) ->[inTheEnd], the archotechs will choose those with the greatest command over their minds, and only them will be allowed to transcend.",li,MemeDef/MemeDef.xml,def
VME_PsychicFocus.descriptionMaker.rules.rulesStrings.14,"animistFact(tag=meme_PsychicFocus)     ->The spirits are the ultimate minds, and by awakening and channeling our hidden psychic potential we can commune with them.",li,MemeDef/MemeDef.xml,def
VME_PsychicFocus.descriptionMaker.rules.rulesStrings.15,"serketistProphecy(tag=meme_PsychicFocus)->[itIsSaid] we will unlock the hidden psychic potential of our minds, and use those newfound powers to venerate our beloved insects.",li,MemeDef/MemeDef.xml,def
VME_PsychicFocus.descriptionMaker.rules.rulesStrings.16,"chthonianProphecy(tag=meme_PsychicFocus)->These eldritch entities are the ultimate intellects, as vast and deep as entire nebulae, their madness engulfing a thousand stars. Only by awakening and channeling our hidden psychic potential can we hope to stand against them.",li,MemeDef/MemeDef.xml,def
VME_PsychicFocus.descriptionMaker.rules.rulesStrings.17,"esotericismProphecy(tag=meme_PsychicFocus)->We will awaken and channel our hidden psychic potential to unlock all these secrets, baring them for all to see.",li,MemeDef/MemeDef.xml,def
