key,text,tag,file,type
VME_MakeADessert.label,make a dessert,label,AbilityDef/AbilityDef.xml,def
VME_MakeADessert.description,Targets a meal to turn it into a dessert.,description,AbilityDef/AbilityDef.xml,def
VME_SweetTeeth.label,sweet teeth,label,MemeDef/MemeDef.xml,def
VME_SweetTeeth.description,"Every meal should include a dessert, it's important to indulge.\n\n<color=#E5E54C>Gameplay effect:</color>\n - Unlocks a ""Desserts Need"" that will make colonists happier if they consume desserts and chocolate regularly (needs expectation to be moderate or higher)\n - Unlocks sowing the cocoa bush, a cocoa producing plant that is more efficient than the tree and can be grown indoors and on hydroponics\n - Colony receives 15 Chocolate to start",description,MemeDef/MemeDef.xml,def
VME_SweetTeeth.generalRules.rulesStrings.0,memeAdjective->sweet,li,MemeDef/MemeDef.xml,def
VME_SweetTeeth.generalRules.rulesStrings.1,memeAdjective->sugary,li,MemeDef/MemeDef.xml,def
VME_SweetTeeth.generalRules.rulesStrings.2,memeAdjective->saccharine,li,MemeDef/MemeDef.xml,def
VME_SweetTeeth.generalRules.rulesStrings.3,memeAdjective->candied,li,MemeDef/MemeDef.xml,def
VME_SweetTeeth.generalRules.rulesStrings.4,memeAdjective->sweet-toothed,li,MemeDef/MemeDef.xml,def
VME_SweetTeeth.generalRules.rulesStrings.5,memeHyphenPrefix->sweet,li,MemeDef/MemeDef.xml,def
VME_SweetTeeth.generalRules.rulesStrings.6,memeConcept->desserts,li,MemeDef/MemeDef.xml,def
VME_SweetTeeth.generalRules.rulesStrings.7,memeLeaderNoun->pastry chef,li,MemeDef/MemeDef.xml,def
VME_SweetTeeth.descriptionMaker.rules.rulesStrings.0,"creation(tag=meme_SweetTeeth)        ->[deity0_name] spoke to all [deity0_possessive] followers and said: ""Whoever eats this cake that is my flesh remains in me, and I in them.""",li,MemeDef/MemeDef.xml,def
