key,text,tag,file,type
Outposts.Settings.ResearchRate,Research Rate,Outposts.Settings.ResearchRate,Outposts.xml,keyed
Outposts.Settings.WorkToDrill,Time To Drill (Needs to happen before production starts),Outposts.Settings.WorkToDrill,Outposts.xml,keyed
Outposts.Settings.Cooldown,Cooldown,Outposts.Settings.Cooldown,Outposts.xml,keyed
Outposts.Settings.Shooting,Shooting Importance,Outposts.Settings.Shooting,Outposts.xml,keyed
Outposts.Settings.Animals,Animals Importance,Outposts.Settings.Animals,Outposts.xml,keyed
Outposts.Settings.NeedPods,Need Transport Pods Tech to Deploy Reinforcements?,Outposts.Settings.NeedPods,Outposts.xml,keyed
Outposts.Settings.Leather,Leather Multiplier,Outposts.Settings.Leather,Outposts.xml,keyed
Outposts.Settings.Meat,Meat Multiplier,Outposts.Settings.Meat,Outposts.xml,keyed
Outposts.Settings.DoIntercept,Intercept Incoming Raids?,Outposts.Settings.DoIntercept,Outposts.xml,keyed
Outposts.Settings.InterceptDifficultyMultiplier,Intercept Difficulty Multiplier,Outposts.Settings.InterceptDifficultyMultiplier,Outposts.xml,keyed
Outposts.Settings.InterceptDifficultyMultiplierTooltip,This is in on top of your global difficulty modifier and intercept is already harder then regular defense raids. Adjust upwards at your own risk,Outposts.Settings.InterceptDifficultyMultiplierTooltip,Outposts.xml,keyed
Outposts.Settings.Chance,Recruit chance Multiplier,Outposts.Settings.Chance,Outposts.xml,keyed
Outposts.Settings.NeedFuel,Drop Pods Require Fuel,Outposts.Settings.NeedFuel,Outposts.xml,keyed
Outposts.Settings.NeedFuelAmount,Amount of Fuel,Outposts.Settings.NeedFuelAmount,Outposts.xml,keyed
Outposts.Commands.Fire.Label,Artillery Strike,Outposts.Commands.Fire.Label,Outposts.xml,keyed
Outposts.Commands.Fire.Desc,Begin targeting for an artillery strike,Outposts.Commands.Fire.Desc,Outposts.xml,keyed
Outposts.Commands.Disabled.Cooldown,Still on cooldown,Outposts.Commands.Disabled.Cooldown,Outposts.xml,keyed
Outposts.Cooldown,On cooldown: {0} left,Outposts.Cooldown,Outposts.xml,keyed
Outposts.Letters.Intercept.Label,Raid Intercepted,Outposts.Letters.Intercept.Label,Outposts.xml,keyed
