key,text,tag,file,type
VCE_Make_Kibble_Moss.label,make kibble from moss,label,RecipeDef/RecipeDef.xml,def
VCE_Make_Kibble_Moss.description,Make animal kibble by combining raw meat and moss. This recipe is slightly more efficient than using hay.,description,RecipeDef/RecipeDef.xml,def
VCE_Make_Kibble_Moss.jobString,Making kibble from moss.,jobString,RecipeDef/RecipeDef.xml,def
VCE_RawMoss.label,cave moss,label,ThingDef/ThingDef.xml,def
VCE_RawMoss.description,"A nutrient-rich moss that can be used to feed cave animals, but not humans.",description,ThingDef/ThingDef.xml,def
VCE_Moss.label,cave moss,label,ThingDef/ThingDef.xml,def
VCE_Moss.description,"A nutrient-rich moss that can be used to feed cave animals, but not humans. It can grow on fungal gravel, but only in darkness - exposing it to any kind of light, including darklights, will kill it.",description,ThingDef/ThingDef.xml,def
VCE_Tinctshroom.label,tinctshroom,label,ThingDef/ThingDef.xml,def
VCE_Tinctshroom.description,"A genetically-engineered mushroom which secretes a self-altering dye. This dye can be coaxed into different colors and used to dye apparel. It can grow on fungal gravel, but only in darkness - exposing it to any kind of light, including darklights, will kill it.",description,ThingDef/ThingDef.xml,def
VCE_Healshroom.label,healshroom,label,ThingDef/ThingDef.xml,def
VCE_Healshroom.description,"A slow-growing mushroom which yields herbal medicine when harvested. Sowing and harvesting healshroom are both very labor-intensive tasks because of its fragility. It can grow on fungal gravel, but only in darkness - exposing it to any kind of light, including darklights, will kill it.",description,ThingDef/ThingDef.xml,def
