key,text,tag,file,type
VPEP.TargetCannotBeSameFactionAsCaster,Target cannot be colonist.,VPEP.TargetCannotBeSameFactionAsCaster,Keys.xml,keyed
VPEP.TargetMustBeSameFactionAsCaster,Target must be prisoner or colonist.,VPEP.TargetMustBeSameFactionAsCaster,Keys.xml,keyed
VPEP.TargetMustBePrisonerOrSlave,Target must be prisoner or slave.,VPEP.TargetMustBePrisonerOrSlave,Keys.xml,keyed
VPEP.DegradePsycast,It was caused by the Degrade psycast.,VPEP.DegradePsycast,Keys.xml,keyed
VPEP.TargetMustHaveBrainLeech,Target must have brain leech from the caster.,VPEP.TargetMustHaveBrainLeech,Keys.xml,keyed
VPEP.TargetIsPuppetAlready,Target is a puppet already.,VPEP.TargetIsPuppetAlready,Keys.xml,keyed
VPEP.CannotHaveMorePuppets,Cannot have more puppets due to the puppet limit.,VPEP.CannotHaveMorePuppets,Keys.xml,keyed
VPEP.Puppets,Puppets,VPEP.Puppets,Keys.xml,keyed
VPEP.PuppetsGizmoTip,"A puppeteer can only sustain a puppet if there is enough psychic capacity to do so. Gain more psychic capacity to sustain more puppets by casting mind split, however bear in mind it will send the puppeteer and all their puppets into a {0} coma.\n\nPsychic capacity: {1}",VPEP.PuppetsGizmoTip,Keys.xml,keyed
VPEP.PuppetsUsage,Current puppets:,VPEP.PuppetsUsage,Keys.xml,keyed
VPEP.TargetMustBePuppetOfCaster,Target must be a puppet of the caster.,VPEP.TargetMustBePuppetOfCaster,Keys.xml,keyed
VPEP.NoPuppets,No puppets.,VPEP.NoPuppets,Keys.xml,keyed
VPEP.MindJumpTitle,Mind jump,VPEP.MindJumpTitle,Keys.xml,keyed
VPEP.MindJumpText,"{Puppeteer_nameDef} has died. Before {Puppeteer_pronoun} died, {Puppeteer_pronoun} used the mind jump ability on {NewPuppeteer_nameDef}. Now {NewPuppeteer_nameDef} is a new puppeteer.",VPEP.MindJumpText,Keys.xml,keyed
VPE.MustTargetBattery,Must target a battery or fiendly mechanoid,VPE.MustTargetBattery,Misc.xml,keyed
VPE.StopHurricane,Stop Hurricane,VPE.StopHurricane,Misc.xml,keyed
VPE.NoChunks,No nearby chunks,VPE.NoChunks,Misc.xml,keyed
VPE.MustHaveLivingFamilyMembers,{PAWN_nameDef} must have living family members.,VPE.MustHaveLivingFamilyMembers,Misc.xml,keyed
VPE.ThingsOfLevel,{0} things at level {1},VPE.ThingsOfLevel,Misc.xml,keyed
VPE.TooCheap,"Not enough value, must be worth at least $1 per item.",VPE.TooCheap,Misc.xml,keyed
VPE_BreakLink,Break Link,VPE_BreakLink,Misc.xml,keyed
VPE_BreakLinkDesc,Break the link and immediately kill this construct,VPE_BreakLinkDesc,Misc.xml,keyed
VPE.PsySetNext,Next PsySet,VPE.PsySetNext,Misc.xml,keyed
VPE.PsySetPrev,Previous PsySet,VPE.PsySetPrev,Misc.xml,keyed
VPE.Nearby,Nearby,VPE.Nearby,Misc.xml,keyed
VPE.WealthNearby,{0} wealth nearby out of {1} total wealth,VPE.WealthNearby,Misc.xml,keyed
VPE.GroupFocus,{0} other pawns nearby,VPE.GroupFocus,Misc.xml,keyed
VPE.All,All,VPE.All,Misc.xml,keyed
VPE.PsySetDesc,"Move to the next PsySet. Right click to choose a specific one.\nCurrent: {0}, Next: {1}",VPE.PsySetDesc,Misc.xml,keyed
VPE.MustHaveQuality,Target must have quality,VPE.MustHaveQuality,Misc.xml,keyed
VPE.QualityTooHigh,"Target quality too high, must be lower than {0}.",VPE.QualityTooHigh,Misc.xml,keyed
VPE.MaxQuality,Maximum quality: {0},VPE.MaxQuality,Misc.xml,keyed
VPE.NotEnoughHeat,Not enough neural heat available.,VPE.NotEnoughHeat,Misc.xml,keyed
VPE.MustConsumePower,Must consume power.,VPE.MustConsumePower,Misc.xml,keyed
VPE.MustBeStoneChunk,Target a stone chunk,VPE.MustBeStoneChunk,Misc.xml,keyed
VPE.MustBeSteelSlag,Target steel slag,VPE.MustBeSteelSlag,Misc.xml,keyed
VPE.PsylinkGained,Psylink level gained: {0},VPE.PsylinkGained,Misc.xml,keyed
VPE.PsylinkGained.Desc,"{0} has gained a new level of psylink. Upon reaching that level, {1} raised psycasting-related stats slightly. {1} can now also allocate a point to either learn a new psycast, improve psycasting stats further or unlock a new meditation focus.\n\nPsycasting experience needed for next level is: {2}.",VPE.PsylinkGained.Desc,Misc.xml,keyed
VPE.UnlockedByPoints,Unlocked via Psycaster points,VPE.UnlockedByPoints,Misc.xml,keyed
VPE.MustEltex,Must target eltex,VPE.MustEltex,Misc.xml,keyed
VPE.NotPsycaster,Not a psycaster,VPE.NotPsycaster,Misc.xml,keyed
VPE.AlreadyPsyring,Already wearing a psyring,VPE.AlreadyPsyring,Misc.xml,keyed
VPE.Research,Must be researchable,VPE.Research,Misc.xml,keyed
VPE.AlreadyResearch,Already researched,VPE.AlreadyResearch,Misc.xml,keyed
VPE.MustBeAllyOrNeutral,Target must be ally or neutral.,VPE.MustBeAllyOrNeutral,Misc.xml,keyed
VPE.MustBeDowned,Target must be downed.,VPE.MustBeDowned,Misc.xml,keyed
VPE.MustHavePsychicLevel,Target must have at least one psycaster level.,VPE.MustHavePsychicLevel,Misc.xml,keyed
VPE.MustHaveHeatAmount,Must have at least {0} neural heat.,VPE.MustHaveHeatAmount,Misc.xml,keyed
VPE.MustBeCorpse,Target must be corpse.,VPE.MustBeCorpse,Misc.xml,keyed
VPE.MustBeCorpseHumanlike,Corpse must be humanlike.,VPE.MustBeCorpseHumanlike,Misc.xml,keyed
VPE.PackSummon,Pack Summoned!,VPE.PackSummon,Misc.xml,keyed
VPE.PackSummon.Desc,A pack of wild animals have been summoned by {0} to defend the colony.,VPE.PackSummon.Desc,Misc.xml,keyed
VPE.NoAvailableFingers,No available fingers.,VPE.NoAvailableFingers,Misc.xml,keyed
VPE.CurrentChanneling,Currently channeling {0},VPE.CurrentChanneling,Misc.xml,keyed
VPE.MustBeInDark,Target must in the dark,VPE.MustBeInDark,Misc.xml,keyed
VPE.MustBePsycaster,Must be a psycaster,VPE.MustBePsycaster,Misc.xml,keyed
VPE.AlreadyHasPsycast,Already knows {0},VPE.AlreadyHasPsycast,Misc.xml,keyed
VPE.MustBeAlly,Target must be in the same faction.,VPE.MustBeAlly,Misc.xml,keyed
VPE.MustHaveDamagedEquipment,Target's equipment must be damaged.,VPE.MustHaveDamagedEquipment,Misc.xml,keyed
VPE.NoAnimals,Cannot target animals,VPE.NoAnimals,Misc.xml,keyed
VPE.MustBeDamaged,Target must be damaged,VPE.MustBeDamaged,Misc.xml,keyed
VanillaPsycastsExpanded,Vanilla Psycasts Expanded,VanillaPsycastsExpanded,Settings.xml,keyed
VPE.XPPerPercent,Psycaster XP per Psyfocus % gained,VPE.XPPerPercent,Settings.xml,keyed
VPE.PsycasterSpawnBaseChance,Basilicus Bestower Psycaster spawn chance,VPE.PsycasterSpawnBaseChance,Settings.xml,keyed
VPE.PsycasterSpawnAdditional,Basilicus Bestower Psycaster strength factor,VPE.PsycasterSpawnAdditional,Settings.xml,keyed
VPE.AllowShrink,Allow shrinking?,VPE.AllowShrink,Settings.xml,keyed
VPE.AllowShrink.Desc,Allow psycast gizmos to be shrunken to half size when there are a lot of them.,VPE.AllowShrink.Desc,Settings.xml,keyed
VPE.SmallMode,UI small mode,VPE.SmallMode,Settings.xml,keyed
VPE.SmallMode.Desc,"In small mode, the stats are moved to a tooltip and the psysets are moved to a separate dialog. If checked, this will force small mode. If X'ed, this will ban small mode. If partial (yellow line), this will allow default behavior (small mode will be active if your vertical resolution is less than 1080).",VPE.SmallMode.Desc,Settings.xml,keyed
VPE.MuteSkipdoor,Mute Skipdoor Sound,VPE.MuteSkipdoor,Settings.xml,keyed
VPE.MaxLevel,Maximum psycaster level,VPE.MaxLevel,Settings.xml,keyed
VPE.ChangeFocusGain,Scale base psyfocus gain with stat points?,VPE.ChangeFocusGain,Settings.xml,keyed
VPE.ChangeFocusGain.Desc,"If enabled, then the base psyfocus gain before any foci can be increased by spending stat points.",VPE.ChangeFocusGain.Desc,Settings.xml,keyed
VPE.Psycasts,Psycasts,VPE.Psycasts,UI.xml,keyed
VPE.PsyLevel,Psycaster Level: {0},VPE.PsyLevel,UI.xml,keyed
VPE.EarnXP,Earn psycaster experience by meditating.,VPE.EarnXP,UI.xml,keyed
VPE.Points,Available points to spend: {0},VPE.Points,UI.xml,keyed
VPE.SpendPoints,"Spend points on unlocking new paths, unlocking psycasts, unlocking meditation foci, improving stats, etc.",VPE.SpendPoints,UI.xml,keyed
VPE.PsycasterStats,Psycaster stats,VPE.PsycasterStats,UI.xml,keyed
VPE.Upgrade,Upgrade,VPE.Upgrade,UI.xml,keyed
