key,text,tag,file,type
VQED_KickstartedSuccess,{0} has successfully kickstarted the generator,VQED_KickstartedSuccess,Keys.xml,keyed
VQED_KickStartTimer,Will stop working in {0},VQED_KickStartTimer,Keys.xml,keyed
VQED_DebugNextSpawn,DEBUG: Spawning shamblers in {0},VQED_DebugNextSpawn,Keys.xml,keyed
VQED_StudyAncientPlansLabel,Study ancient plans,VQED_StudyAncientPlansLabel,Keys.xml,keyed
VQED_StudyAncientPlansDesc,Study the ancient plans to discover the location of another ancient silo.,VQED_StudyAncientPlansDesc,Keys.xml,keyed
VQED_MissingKinoProjector,Missing: ancient kino projector,VQED_MissingKinoProjector,Keys.xml,keyed
VQED_KinoProjectorUnpowered,Not working: ancient kino projector is unpowered,VQED_KinoProjectorUnpowered,Keys.xml,keyed
VQED_KinoScreenWrongRotation,Not working: ancient kino projector doesn't face the kino screen,VQED_KinoScreenWrongRotation,Keys.xml,keyed
VQED_KinoScreenRequiresProjector,Ancient kino screen requires an ancient kino projector placed in front of it to work.,VQED_KinoScreenRequiresProjector,Keys.xml,keyed
VQED_WeaponDeterioratedMessage,"{0}, equipped by {1}, has fully deteriorated.",VQED_WeaponDeterioratedMessage,Keys.xml,keyed
VQED_WeaponDeteriorationInfo,This weapon will deteriorate after a certain number of shots.,VQED_WeaponDeteriorationInfo,Keys.xml,keyed
VQED_ShotRemaining,Shots remaining: {0},VQED_ShotRemaining,Keys.xml,keyed
VQE_EnterSilo,Enter silo,VQE_EnterSilo,Keys.xml,keyed
VQE_ExitSilo,Exit silo,VQE_ExitSilo,Keys.xml,keyed
VQE_ViewSilo,View silo,VQE_ViewSilo,Keys.xml,keyed
VQE_ViewSiloDesc,View the ancient silo below.,VQE_ViewSiloDesc,Keys.xml,keyed
VQED_FillPit,Fill in the death pit,VQED_FillPit,Keys.xml,keyed
VQED_FillPitDesc,Cover the death pit with twisted metal slags to prevent anything from crawling out.,VQED_FillPitDesc,Keys.xml,keyed
VQED_GeneralAwakensLabel,{PAWN_nameFull} awakens,VQED_GeneralAwakensLabel,Keys.xml,keyed
VQED_GeneralAwakensText,"The sealed sarcophagus hisses open, releasing a cloud of deadlife dust, and from within rises {PAWN_title} {PAWN_nameFull}.

Once the commander of Operation: Deadlife, {PAWN_nameFull} is now a shambler-bound remnant of a forgotten war. As {PAWN_pronoun} awakens, {PAWN_pronoun} begin reactivating the base’s long-dormant defense systems: rotstink vents, turret grids, shambler kennels, and containment pits filled with the dead.

{PAWN_possessive} ultimate goal is clear: to initiate the launch sequence for the Deadlife ICBMs: orbital warheads designed to blanket the planet in death. If launched, shambler hordes will rise across the world, destroying settlements and ambushing caravans.

You must reach the command center and destroy the ICBM Launch Terminal before {PAWN_nameFull} completes {PAWN_possessive} grim task.",VQED_GeneralAwakensText,Keys.xml,keyed
VQED_GeneralUnsealedDeathPit,"To protect the launch site, General {0} unsealed one of the death pits.",VQED_GeneralUnsealedDeathPit,Keys.xml,keyed
VQED_GeneralOpenedChutes,"To protect the launch site, General {0} opened up the chutes throughout the complex.",VQED_GeneralOpenedChutes,Keys.xml,keyed
VQED_GeneralAwakenedOfficers,"To protect the launch site, General {0} has awakened a number of high ranking officers from their slumber.",VQED_GeneralAwakenedOfficers,Keys.xml,keyed
VQED_GeneralActivatedTurrets,"To protect the launch site, General {0} has reactivated the military turrets throughout the complex.",VQED_GeneralActivatedTurrets,Keys.xml,keyed
VQED_GeneralOpenedRotstinkVents,"To protect the launch site, General {0} has opened the biomass vents that will flush the complex with rotstink.",VQED_GeneralOpenedRotstinkVents,Keys.xml,keyed
VQED_GeneralReleasedAnimals,"To protect the launch site, General {0} has let the animals out of the kennels.",VQED_GeneralReleasedAnimals,Keys.xml,keyed
VQED_FactionBaseOverrun,{0} has been overrun by a horde of shamblers.,VQED_FactionBaseOverrun,Keys.xml,keyed
VQED_ShamblersDefeated,The shambler horde has been defeated.,VQED_ShamblersDefeated,Keys.xml,keyed
VQED_GeneralReactivatedDeadlifeVents,"To protect the launch site, General {0} reactivated the deadlife vents in an attempt to respawn any defeated shamblers.",VQED_GeneralReactivatedDeadlifeVents,Keys.xml,keyed
VQED_ShamblerApocalypse.label,shambler apocalypse,label,GameConditionDef/GameConditionDef.xml,def
VQED_ShamblerApocalypse.description,Detonation of Deadlife dust warheads in the upper atmosphere has permanently altered planetary conditions. A dense death pall now blankets the world. This pall reanimates all unburied corpses exposed to the open air.,description,GameConditionDef/GameConditionDef.xml,def
VQED_ShamblerApocalypse.letterText,"Detonation of Deadlife dust warheads in the upper atmosphere has permanently altered planetary conditions. A dense death pall now blankets the world.\n\nThis pall reanimates all unburied corpses exposed to the open air. Any non-mechanoid corpse not under a roof will rise again as a shambler. Burned or fully destroyed corpses are unaffected.\n\nWhile the death pall is active, no normal weather transitions can occur. Rain will not fall, and fires may spread unchecked.\n\nOn a global scale, the death pall will linger for anywhere from three seasons to several years. In its wake, roaming Shambler hordes will now traverse the world, overrunning settlements and hunting down caravans.",letterText,GameConditionDef/GameConditionDef.xml,def
VQED_ShamblerApocalypse.endMessage,Most of the deadlife dust has fallen. The death pall is ending.,endMessage,GameConditionDef/GameConditionDef.xml,def
VQED_ShamblerHorde.label,shambler horde,label,VFECore.MovingBaseDef/VFECore.MovingBaseDef.xml,def
VQED_ShamblerHorde.description,A roaming horde of shamblers traversing the world map.,description,VFECore.MovingBaseDef/VFECore.MovingBaseDef.xml,def
VQED_General.label,general,label,HediffDef/HediffDef.xml,def
VQE_WorkOnTerminal.reportString,working on terminal.,reportString,JobDef/JobDef.xml,def
VQE_GeneralMale.rulePack.rulesStrings.0,r_name->[FirstNameMaleList] [LastNameList],li,RulePackDef/RulePackDef.xml,def
VQE_GeneralFemale.rulePack.rulesStrings.0,r_name->[FirstNameFemaleList] [LastNameList],li,RulePackDef/RulePackDef.xml,def
VQE_General.label,general,label,CreepJoinerFormKindDef/CreepJoinerFormKindDef.xml,def
VQE_MilitaryShambler.label,shambler soldier,label,PawnKindDef/PawnKindDef.xml,def
VQE_Deadlife_AncientICBMLaunchSite.questNameRules.rulesStrings.0,questName->ancient ICBM launch site,li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientICBMLaunchSite.questDescriptionRules.rulesStrings.0,"questDescription->We have intercepted a broadcast at a recently raided underground silo: Operation: Deadlife is now underway. Enough resource silos have been breached, and the plan has been set in motion. The broadcast confirms that [General_nameFull] has initiated final preparations at an ancient ICBM launch site.\n\nRefueling of the devastating missiles is in progress. These warheads are armed with deadlife dust payloads and if launched, they will detonate high in orbit, spreading a near-permanent death pall across the planet. It is likely that endless hordes of shamblers will then scour the world, consuming or destroying all remaining civilization.\n\nWe have traced the origin of the signal to the ICBM launch facility. We must travel there and stop [General_nameFull] before the launch sequence can be completed. The site is expected to be heavily defended, not only swarming with shamblers, but also protected by restored automated defenses.\n\n[General_nameFull] will activate numerous defensive systems from the facility’s control room: opening sealed death pits, releasing shambler animals from containment kennels, flooding the complex with rotstink gas, and awakening elite deadlife officers from cryogenic caskets.\n\nOnly by reaching and destroying the launch terminal can we prevent the missiles from firing. Failure to stop the launch in time, or ignoring this threat entirely, will doom the planet to a global shambler apocalypse.\n\nThis is our only chance to end Operation: Deadlife once and for all.",li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.0,questName->[ancient] [silo] [letter][digit][digit],li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.1,questName->[ancient] Designation: [siloPrefix]-[letter][digit],li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.2,ancient->Ancient,li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.3,ancient->Forgotten,li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.4,ancient->Old World,li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.5,ancient->Precursor,li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.6,ancient->Legacy,li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.7,ancient->Obsolete,li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.8,ancient->Redacted,li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.9,ancient->Decommissioned,li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.10,silo->Silo,li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.11,silo->Vault,li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.12,silo->Depot,li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.13,silo->Bunker,li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.14,silo->Complex,li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.15,silo->Installation,li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.16,silo->Sector,li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.17,silo->Storage Unit,li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.18,letter->Alpha,li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.19,letter->Echo,li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.20,letter->Sigma,li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.21,letter->Kilo,li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.22,letter->Delta,li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.23,letter->Theta,li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.24,letter->Gamma,li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.25,letter->Zeta,li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.26,digit->1,li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.27,digit->2,li,QuestScriptDef/QuestScriptDef.xml,def
VQE_Deadlife_AncientSilo.questNameRules.rulesStrings.28,digit->3,li,QuestScriptDef/QuestScriptDef.xml,def
