key,text,tag,file,type
VRE_InfectionLabel,"Gene infection ({0}), {1}",VRE_InfectionLabel,Misc_Gameplay.xml,keyed
VRE_InfectionDescription,"Infection caused by the contact with a {0}. Upon reaching 100%, colonist will turn into a {0}",VRE_InfectionDescription,Misc_Gameplay.xml,keyed
VRE_InfectedLabel,Gene infected ({0} days),VRE_InfectedLabel,Misc_Gameplay.xml,keyed
VRE_InfectionChance,Gene infection chance,VRE_InfectionChance,Misc_Gameplay.xml,keyed
VRE_InfectionChanceDesc,"Chance of the gene infection to infect the target. By default it is 20%. Bear in mind this only applies to claw and teeth attacks, if the person with a gene infector gene carries melee weapons this will reduce infection chances.",VRE_InfectionChanceDesc,Misc_Gameplay.xml,keyed
VRE_Reset,Reset,VRE_Reset,Misc_Gameplay.xml,keyed
VRE_FungoidApocalypse,Fungoid apocalypse,VRE_FungoidApocalypse,Misc_Gameplay.xml,keyed
VRE_FungoidApocalypseDesc,"With this mod option enabled, ALL incoming humanoid raids will be fungoids!",VRE_FungoidApocalypseDesc,Misc_Gameplay.xml,keyed
VRE_TextMote_RepulsiveColonist,Repulsive colonist!,VRE_TextMote_RepulsiveColonist,Misc_Gameplay.xml,keyed
VRE_Infection.label,gene infection,label,DamageDef/DamageDef.xml,def
VRE_Infection_Bite.label,gene infection,label,DamageDef/DamageDef.xml,def
VRE_SkillLoss.label,skills,label,GeneCategoryDef/GeneCategoryDef.xml,def
VRE_MindCoalescence.label,mind coalescence,label,GeneDef/GeneDef.xml,def
VRE_MindCoalescence.description,"Carriers of this gene have a psychic connection to other carriers, allowing them to share some of the emotions with them. A portion of average happiness gets shared with mind coalescent individuals. Due to that, they also all share mental states and suffer them at the same time.",description,GeneDef/GeneDef.xml,def
VRE_GeneInfector.label,gene infector,label,GeneDef/GeneDef.xml,def
VRE_GeneInfector.description,"Carriers of this gene implant a copy of their xenogerm into another person through attacks with their claws or teeth. This in turn triggers a progressing infection in the victim, which if left untreated will apply the carrier’s xenogerm to them.",description,GeneDef/GeneDef.xml,def
VRE_Repulsive.label,repulsive,label,GeneDef/GeneDef.xml,def
VRE_Repulsive.description,"Carriers of this gene have twisted, unnatural, terrifying looks. They barely resemble humans. Any social interactions with them make people sick.",description,GeneDef/GeneDef.xml,def
VRE_RotBlood.label,rotblood,label,GeneDef/GeneDef.xml,def
VRE_RotBlood.description,Carriers of this gene bleed stinking rot blood.,description,GeneDef/GeneDef.xml,def
VRE_FungalCrest.label,fungal crest,label,GeneDef/GeneDef.xml,def
VRE_FungalCrest.description,"Carriers of this gene grow a large, colorful fungal crest protruding from the top of their head.",description,GeneDef/GeneDef.xml,def
VRE_HairMushroom.label,fungal hair,label,GeneDef/GeneDef.xml,def
VRE_Fungoid_Hair_DarkTan.label,dark tan hair,label,GeneDef/GeneDef.xml,def
VRE_Fungoid_Hair_SwampGreen.label,swamp green hair,label,GeneDef/GeneDef.xml,def
VRE_Fungoid_Hair_Salmon.label,salmon hair,label,GeneDef/GeneDef.xml,def
VRE_Fungoid_Hair_Wenge.label,wenge hair,label,GeneDef/GeneDef.xml,def
VRE_Fungoid_Hair_Tumbleweed.label,tumbleweed hair,label,GeneDef/GeneDef.xml,def
VRE_Fungoid_Hair_RoseTaupe.label,rose taupe hair,label,GeneDef/GeneDef.xml,def
VRE_Fungoid_Hair_MistyMoss.label,misty moss hair,label,GeneDef/GeneDef.xml,def
VRE_FungalArmor.label,fungal armor,label,GeneDef/GeneDef.xml,def
VRE_FungalArmor.description,"Carriers of this gene have fungal weave in their skin, greatly decreasing incoming damage. The effects increase in severity with time.",description,GeneDef/GeneDef.xml,def
VRE_FungalRegeneration.label,fungal regeneration,label,GeneDef/GeneDef.xml,def
VRE_FungalRegeneration.description,Carriers of this gene are capable of fungal regeneration. The effects increase in severity with time.,description,GeneDef/GeneDef.xml,def
VRE_TotalAntirotLungs.label,total antirot lungs,label,GeneDef/GeneDef.xml,def
VRE_TotalAntirotLungs.description,Carriers of this gene are immune to rot stink exposure.,description,GeneDef/GeneDef.xml,def
VRE_PartialAntirotLungs.label,partial antirot lungs,label,GeneDef/GeneDef.xml,def
VRE_PartialAntirotLungs.description,Carriers of this gene build up rot stink exposure slower.,description,GeneDef/GeneDef.xml,def
VRE_FungalFlesh.label,fungal flesh,label,GeneDef/GeneDef.xml,def
VRE_FungalFlesh.description,Carriers of this gene have fungal matter in their flesh. Consuming any fungus by them is classed as cannibalism.,description,GeneDef/GeneDef.xml,def
VRE_Telepathy.label,telepathy,label,GeneDef/GeneDef.xml,def
VRE_Telepathy.description,Carriers of this gene can communicate with other carriers of this gene via psychic telepathy. Proximity is not required for social interactions.,description,GeneDef/GeneDef.xml,def
VRE_ExtremeSkillLoss.label,extreme skill loss,label,GeneDef/GeneDef.xml,def
VRE_ExtremeSkillLoss.description,Carriers of this gene forget skills twice as fast.,description,GeneDef/GeneDef.xml,def
VRE_SevereSkillLoss.label,severe skill loss,label,GeneDef/GeneDef.xml,def
