key,text,tag,file,type
VRE_ManageGenelines,Manage genelines,VRE_ManageGenelines,Keys.xml,keyed
VRE_ManageGenelinesDesc,Change the currently selected geneline or create new genelines.,VRE_ManageGenelinesDesc,Keys.xml,keyed
VRE_EditGeneline,Edit geneline,VRE_EditGeneline,Keys.xml,keyed
VRE_GenelineName,Geneline {0},VRE_GenelineName,Keys.xml,keyed
VRE_DeleteThisGeneline,Delete this geneline. Removing it will result in all insectors with this geneline immediately entering the metapod stage and turning into baseline insectors.,VRE_DeleteThisGeneline,Keys.xml,keyed
VRE_CreateGeneline,Create a new geneline,VRE_CreateGeneline,Keys.xml,keyed
VRE_CreateGenelineExplanation,You can edit existing genelines or create a brand new geneline. Remember that changing a geneline will require your insectors to enter a metapod stage which will last 24 hours.,VRE_CreateGenelineExplanation,Keys.xml,keyed
VRE_GenelineNameCannotBeEmpty,Geneline name cannot be empty.,VRE_GenelineNameCannotBeEmpty,Keys.xml,keyed
VRE_MessageConflictingGenesPresent,Cannot save geneline with multiple conflicting genes.,VRE_MessageConflictingGenesPresent,Keys.xml,keyed
VRE_Evolutions,Evolutions,VRE_Evolutions,Keys.xml,keyed
VRE_EvolutionsDesc,Evolutions,VRE_EvolutionsDesc,Keys.xml,keyed
VRE_Degrades,Degrades,VRE_Degrades,Keys.xml,keyed
VRE_DegradesDesc,text.todo,VRE_DegradesDesc,Keys.xml,keyed
VRE_SaveGeneline,Save geneline,VRE_SaveGeneline,Keys.xml,keyed
VRE_NeedEqualAmount,Needs equal amount of evolutions and degrades.,VRE_NeedEqualAmount,Keys.xml,keyed
VRE_ChangingGenelineExplanation,"Changing the genes of a geneline will cause all insectors that are a part of that geneline to enter the metapod stage. The metapod stage will last 24 hours, during which the insectors will be unavailable.",VRE_ChangingGenelineExplanation,Keys.xml,keyed
VRE_CannotSave,Cannot save: {0},VRE_CannotSave,Keys.xml,keyed
VRE_ChangeTo,Change to: {0},VRE_ChangeTo,Keys.xml,keyed
VRE_DeleteGenelineConfirmation,"You are about to remove a geneline that’s used by some of your colonists. Removing it will result in these insectors immediately entering the metapod stage and turning into baseline insectors.
Insector colonists that will be affected:

{0}",VRE_DeleteGenelineConfirmation,Keys.xml,keyed
VRE_Genelines,Genelines,VRE_Genelines,Keys.xml,keyed
VRE_GenelinesDesc,text.todo,VRE_GenelinesDesc,Keys.xml,keyed
VRE_MetapodTimer,Time until {PAWN_nameDef} emerges: {1}\nInsert insect jelly into the metapod to speed up the process significantly.,VRE_MetapodTimer,Keys.xml,keyed
VRE_MetapodSicknessCannotChangeGeneline,Cannot change genelines due to metapod sickness.,VRE_MetapodSicknessCannotChangeGeneline,Keys.xml,keyed
VRE_ChestburstPregnancyReady,Chestburst pregnancy,VRE_ChestburstPregnancyReady,Keys.xml,keyed
VRE_ChestburstPregnancyReadyDesc,"When a colonist with chestburst pregnancy gene becomes pregnant, they need to designate another willing or unwilling individual to implant the fetus. Once the fetus matures, it will burst out of the ribcage of the victim, killing the host. If they don’t do it before the second trimester begins (6 days), the pregnancy will be terminated.",VRE_ChestburstPregnancyReadyDesc,Keys.xml,keyed
