key,text,tag,file,type
VRE_ProgressiveAttunementOffset,Progressive attunement gene,VRE_ProgressiveAttunementOffset,Misc_Gameplay.xml,keyed
VRE_SaplingBirthReady,Sapling child,VRE_SaplingBirthReady,Misc_Gameplay.xml,keyed
VRE_SaplingBirthReadyDesc,"When a colonist with saplingbirth gene becomes pregnant, they need to designate a place to plant their offspring. If they don’t do it before the second trimester begins (6 days), the pregnancy will be terminated.",VRE_SaplingBirthReadyDesc,Misc_Gameplay.xml,keyed
VRE_PlantSaplingchild,Plant saplingchild,VRE_PlantSaplingchild,Misc_Gameplay.xml,keyed
VRE_PlantSaplingchildDesc,Plant a saplingchild. If this isn't done before the second semester begins (6 days since pregnancy) it will count as a miscarriage. The saplingchild will need to be protected.,VRE_PlantSaplingchildDesc,Misc_Gameplay.xml,keyed
VRE_SaplingNeedsSoil,Saplingchild needs to be planted on soil,VRE_SaplingNeedsSoil,Misc_Gameplay.xml,keyed
VRE_SaplingchildNeedsToBePlanted,Saplingchild needs to be planted,VRE_SaplingchildNeedsToBePlanted,Misc_Gameplay.xml,keyed
VRE_SaplingchildNeedsToBePlantedDesc,"When a colonist with saplingbirth gene becomes pregnant, they need to designate a place to plant their offspring. If they don’t do it before the second trimester begins (6 days), the pregnancy will be terminated. These colonists need to plant their saplingchild:\n\n{0}",VRE_SaplingchildNeedsToBePlantedDesc,Misc_Gameplay.xml,keyed
VRE_MotherXenotype,Mother xenotype: {0},VRE_MotherXenotype,Misc_Gameplay.xml,keyed
VRE_DestroyedByTemp,has been destroyed by temperature,VRE_DestroyedByTemp,Misc_Gameplay.xml,keyed
VRE_SaplingHatched,{0} has hatched from a sapling!,VRE_SaplingHatched,Misc_Gameplay.xml,keyed
VRE_SaplingHatchedLabel,{0} hatched!,VRE_SaplingHatchedLabel,Misc_Gameplay.xml,keyed
VRE_TimeToHatch,Time until birth: {0},VRE_TimeToHatch,Misc_Gameplay.xml,keyed
VRE_UnlockedByGeneAnima,Unlocked via Anima Affinity gene,VRE_UnlockedByGeneAnima,Misc_Gameplay.xml,keyed
VRE_UnlockedByGeneGau,Unlocked via Gauranlen Affinity gene,VRE_UnlockedByGeneGau,Misc_Gameplay.xml,keyed
VRE_CanOnlyBeUsedOnAnimaTree,This ability needs to be used on an anima tree,VRE_CanOnlyBeUsedOnAnimaTree,Misc_Gameplay.xml,keyed
VRE_CanOnlyBePlantedOnFertile,This ability needs to be used on terrain with fertility of at least 0.05,VRE_CanOnlyBePlantedOnFertile,Misc_Gameplay.xml,keyed
VRE_TwoPreviousDryadsMustBeDead,A maximum of two dryads per colonist with Gauranlen affinity can be alive at the same time,VRE_TwoPreviousDryadsMustBeDead,Misc_Gameplay.xml,keyed
VRE_RitualPredictedOutcomeDescAffinityGeneCount,Anima Affinity gene,VRE_RitualPredictedOutcomeDescAffinityGeneCount,Misc_Gameplay.xml,keyed
VRE_RitualPredictedOutcomeDescAffinityGeneCountGau,Gauranlen Affinity gene,VRE_RitualPredictedOutcomeDescAffinityGeneCountGau,Misc_Gameplay.xml,keyed
