key,text,tag,file,type
VRE_Animal,Animal,VRE_Animal,Misc_Gameplay.xml,keyed
VRE_Corpse,Corpse,VRE_Corpse,Misc_Gameplay.xml,keyed
VRE_Sanguophage,Sanguophage,VRE_Sanguophage,Misc_Gameplay.xml,keyed
VRE_ExtractHemogenAnimal,Extract hemogen (animal) from {0},VRE_ExtractHemogenAnimal,Misc_Gameplay.xml,keyed
VRE_ExtractHemogenCorpse,Extract hemogen (corpse) from {0},VRE_ExtractHemogenCorpse,Misc_Gameplay.xml,keyed
VRE_ExtractHemogenSanguophage,Extract hemogen (sanguophage) from {0},VRE_ExtractHemogenSanguophage,Misc_Gameplay.xml,keyed
VRE_MessageCantUseOnNonSanguophage,The sanguofeed ability can only be used on hemogenic people,VRE_MessageCantUseOnNonSanguophage,Misc_Gameplay.xml,keyed
VRE_MessageCantUseOnDrainedSanguophage,The sanguofeed ability can't be used on Sanguophages completely drained of hemogen,VRE_MessageCantUseOnDrainedSanguophage,Misc_Gameplay.xml,keyed
VRE_NoHeart,Can only be used on targets with a heart,VRE_NoHeart,Misc_Gameplay.xml,keyed
VRE_HemogenValve,Switches hemogen flow on/off.,VRE_HemogenValve,Misc_Gameplay.xml,keyed
VRE_HemogenValveDesc,Switches hemogen flow on/off. A pawn will come open/close the valve.,VRE_HemogenValveDesc,Misc_Gameplay.xml,keyed
VRE_Ability,Ability: {0},VRE_Ability,Misc_Gameplay.xml,keyed
VRE_DefaultAbility,Choose ability,VRE_DefaultAbility,Misc_Gameplay.xml,keyed
VRE_CarryToDraincasket,Carry {0} to draincasket,VRE_CarryToDraincasket,Misc_Gameplay.xml,keyed
VRE_EnterDraincasket,Enter draincasket,VRE_EnterDraincasket,Misc_Gameplay.xml,keyed
VRE_CommandDraincasketEject,Eject occupant,VRE_CommandDraincasketEject,Misc_Gameplay.xml,keyed
VRE_CommandDraincasketEjectDesc,Eject occupant from this draincasket. This will interrupt the hemogen extraction and leave the occupant dizzy due to the bloodloss.,VRE_CommandDraincasketEjectDesc,Misc_Gameplay.xml,keyed
VRE_CommandDraincasketEjectFailEmpty,"Can't eject occupant, since draincasket is empty",VRE_CommandDraincasketEjectFailEmpty,Misc_Gameplay.xml,keyed
VRE_DraincasketAmount,Draincasket hemogen production (per day),VRE_DraincasketAmount,Misc_Gameplay.xml,keyed
VRE_DraincasketAmountTooltip,"Sets the amount of hemogen packs the draincaskets will produce per day. By default, it is 2 hemogen packs per day.",VRE_DraincasketAmountTooltip,Misc_Gameplay.xml,keyed
VRE_Reset,Reset,VRE_Reset,Misc_Gameplay.xml,keyed
VRE_NoAnomalies,Cannot be used on Revenant or Nociospheres,VRE_NoAnomalies,Misc_Gameplay.xml,keyed
VRE_DraincasketAmountFromMetabolism,Daily hemogen production: {0} packs,VRE_DraincasketAmountFromMetabolism,Misc_Gameplay.xml,keyed
VRE_DraincasketOccupantDying,Occupant dying from starvation in {0},VRE_DraincasketOccupantDying,Misc_Gameplay.xml,keyed
VRE_DraincasketInVacuum_OccupantDying,Occupant dying from vacuum exposure,VRE_DraincasketInVacuum_OccupantDying,Misc_Gameplay.xml,keyed
