key,text,tag,file,type
VESWW.RandomRewardOf,Random reward of the {0} category,VESWW.RandomRewardOf,Misc.xml,keyed
VESWW.RandomApparel,{0} random apparel(s) of {1} quality with the {3} tag,VESWW.RandomApparel,Misc.xml,keyed
VESWW.RandomWeapons,{0} random weapon(s) of {1} quality with the {3} tag,VESWW.RandomWeapons,Misc.xml,keyed
VESWW.RandomThing,{0} random thing(s) of {1} quality within the {3} category,VESWW.RandomThing,Misc.xml,keyed
VESWW.RandomThingMC,{0} random thing(s) of {1} quality within the {3} categories,VESWW.RandomThingMC,Misc.xml,keyed
VESWW.RandomBlocks,{0} random stone blocks,VESWW.RandomBlocks,Misc.xml,keyed
VESWW.RandomPawns,{0} random pawn(s) of {1} intelligence,VESWW.RandomPawns,Misc.xml,keyed
VESWW.FiringEvent,The {0} event,VESWW.FiringEvent,Misc.xml,keyed
VESWW.Item,{0} {1},VESWW.Item,Misc.xml,keyed
VESWW.ItemWQuality,{0} {1} of {2} quality,VESWW.ItemWQuality,Misc.xml,keyed
VESWW.Pawn,{0} {1},VESWW.Pawn,Misc.xml,keyed
VESWW.Research,Unlock {0} researches,VESWW.Research,Misc.xml,keyed
VESWW.SkillBoost,"Add {0} points to every colonists, slaves and prisonners",VESWW.SkillBoost,Misc.xml,keyed
VESWW.Delay,Next wave is delayed by {0} days,VESWW.Delay,Misc.xml,keyed
VESWW.Weaken,Next wave is wekeaned by {0},VESWW.Weaken,Misc.xml,keyed
VESWW.Allies,Next wave will also spawn friendlies to help you out,VESWW.Allies,Misc.xml,keyed
VESWW.MassHeal,"Instantly heal all damages on all colonists, slaves and prisonners",VESWW.MassHeal,Misc.xml,keyed
VESWW.ResearchUnlocked,{0} has been researched,VESWW.ResearchUnlocked,Misc.xml,keyed
VESWW.Reward,{0} reward,VESWW.Reward,Misc.xml,keyed
VESWW.SelectReward,Select reward,VESWW.SelectReward,Misc.xml,keyed
VESWW.WaveNum,Wave {0},VESWW.WaveNum,Misc.xml,keyed
VESWW.EnemiesC,Enemies coming ({0}):,VESWW.EnemiesC,Misc.xml,keyed
VESWW.EnemiesR,Defeat remaining enemies:,VESWW.EnemiesR,Misc.xml,keyed
VESWW.RandRewardOutcome,You are getting: {0},VESWW.RandRewardOutcome,Misc.xml,keyed
VESWW.RemoveOldDropSpot,Removing other reward drop spot,VESWW.RemoveOldDropSpot,Misc.xml,keyed
VESWW.SkipWave,Summon early,VESWW.SkipWave,Misc.xml,keyed
VESWW.BossWave,Boss wave,VESWW.BossWave,Misc.xml,keyed
VESWW.NormalWave,Normal wave,VESWW.NormalWave,Misc.xml,keyed
VESWW.PointUsed,{0} points used,VESWW.PointUsed,Misc.xml,keyed
VESWW.RewardChance,Reward commonality at this wave:,VESWW.RewardChance,Misc.xml,keyed
VESWW.MoreRewardChance,{0} chance of getting a fourth reward choice if summoning the wave now,VESWW.MoreRewardChance,Misc.xml,keyed
VESWW.GameOver,Game Over!,VESWW.GameOver,Misc.xml,keyed
VESWW.SurvivedX,Waves survived: {0},VESWW.SurvivedX,Misc.xml,keyed
VESWW.SurvivedDaysX,Days survived: {0},VESWW.SurvivedDaysX,Misc.xml,keyed
VESWW.TotalKill,Total kills: {0},VESWW.TotalKill,Misc.xml,keyed
VESWW.MaxPopEver,Greatest population: {0},VESWW.MaxPopEver,Misc.xml,keyed
VESWW.Reinforcement,Reinforcement!,VESWW.Reinforcement,Misc.xml,keyed
VESWW.Score,Final score: {0},VESWW.Score,Misc.xml,keyed
VESWW.Locked,Draggable:,VESWW.Locked,Misc.xml,keyed
VESWW.Poor,Poor,VESWW.Poor,Misc.xml,keyed
VESWW.Normal,Normal,VESWW.Normal,Misc.xml,keyed
VESWW.Good,Good,VESWW.Good,Misc.xml,keyed
VESWW.Excellent,Excellent,VESWW.Excellent,Misc.xml,keyed
VESWW.Legendary,Legendary,VESWW.Legendary,Misc.xml,keyed
VESWW.PawnsArriving,Raid pawns arriving...,VESWW.PawnsArriving,Misc.xml,keyed
VESWW.ModName,Winston Wave,VESWW.ModName,Misc.xml,keyed
VESWW.TimeBeforeFirstWave,Time before first wave:,VESWW.TimeBeforeFirstWave,Misc.xml,keyed
VESWW.TimeBetweenWaves,Time between waves:,VESWW.TimeBetweenWaves,Misc.xml,keyed
VESWW.TimeToDefeatWave,Maximum days to deafeat a wave:,VESWW.TimeToDefeatWave,Misc.xml,keyed
VESWW.MaxPoints,Max threat points used:,VESWW.MaxPoints,Misc.xml,keyed
VESWW.EnableMaxPoints,Enable raid point cap:,VESWW.EnableMaxPoints,Misc.xml,keyed
VESWW.DrawBackground,Draw wave counter background:,VESWW.DrawBackground,Misc.xml,keyed
VESWW.PointMultiplierBefore20,Wave points multiplier before wave 20:,VESWW.PointMultiplierBefore20,Misc.xml,keyed
VESWW.PointMultiplierAfter20,Wave points multiplier after wave 20:,VESWW.PointMultiplierAfter20,Misc.xml,keyed
VESWW.EnableStats,Enable stats increase:,VESWW.EnableStats,Misc.xml,keyed
VESWW.DrawBack,Draw wave counter background:,VESWW.DrawBack,Misc.xml,keyed
VESWW.MysteryMod,Enable mystery mode:,VESWW.MysteryMod,Misc.xml,keyed
VESWW.RandomRewardMod,Send random reward:,VESWW.RandomRewardMod,Misc.xml,keyed
VESWW.Modifiers,Exclude modifier(s) from waves:,VESWW.Modifiers,Misc.xml,keyed
VESWW.RModifiers,Remove modifier(s) from excluded,VESWW.RModifiers,Misc.xml,keyed
VESWW.AModifiers,Exclude modifier(s),VESWW.AModifiers,Misc.xml,keyed
VESWW.ExcludedFaction,Exclude certain faction(s) from waves:,VESWW.ExcludedFaction,Misc.xml,keyed
VESWW.AddExcludedFaction,Exclude faction,VESWW.AddExcludedFaction,Misc.xml,keyed
VESWW.RemoveExcludedFaction,Remove faction from excluded,VESWW.RemoveExcludedFaction,Misc.xml,keyed
VESWW.ExcludedStrategy,Exclude certain strategies from boss waves:,VESWW.ExcludedStrategy,Misc.xml,keyed
VESWW.AddExcludedStrategy,Exclude raid strategy,VESWW.AddExcludedStrategy,Misc.xml,keyed
VESWW.RemoveExcludedStrategy,Remove raid strategy from excluded,VESWW.RemoveExcludedStrategy,Misc.xml,keyed
VESWW.ShowDraggable,"Hide the wave counter ""draggable"" checkbox:",VESWW.ShowDraggable,Misc.xml,keyed
VESWW.UseRimworldTime,Timer use rimworld time:,VESWW.UseRimworldTime,Misc.xml,keyed
VESWW.DontShowPawnList,Show raiders pawns list and faction:,VESWW.DontShowPawnList,Misc.xml,keyed
VESWW.ResetCounterPos,Reset wave counter position,VESWW.ResetCounterPos,Misc.xml,keyed
VESWW.LoadToReset,Load a save using Winston first!,VESWW.LoadToReset,Misc.xml,keyed
VESWW.DisableSteelSlagChunk,Reward drop pods also drop steel slag chunk(s),VESWW.DisableSteelSlagChunk,Misc.xml,keyed
VESWW.GS,General,VESWW.GS,Misc.xml,keyed
VESWW.VS,Waves,VESWW.VS,Misc.xml,keyed
VESWW.MS,Modifiers,VESWW.MS,Misc.xml,keyed
VESWW.WCS,Wave counter,VESWW.WCS,Misc.xml,keyed
VESWW.TimeBeforeFirstWaveTip,Number of days before the first wave arrive.,VESWW.TimeBeforeFirstWaveTip,Misc.xml,keyed
VESWW.TimeBetweenWavesTip,Number of days in between each wave.,VESWW.TimeBetweenWavesTip,Misc.xml,keyed
VESWW.TimeToDefeatWaveTip,"Maximum number of days the player have to defeat a wave. If the wave isn't defeated in this time, the next wave is prepared and no rewards are given.",VESWW.TimeToDefeatWaveTip,Misc.xml,keyed
VESWW.MaxPointsTip,Maximum amount of points used in the raid generation.,VESWW.MaxPointsTip,Misc.xml,keyed
VESWW.PointMultiplierBefore20Tip,Raid point multiplier used before the wave 20.,VESWW.PointMultiplierBefore20Tip,Misc.xml,keyed
VESWW.PointMultiplierAfter20Tip,Raid point multiplier used after the wave 20.,VESWW.PointMultiplierAfter20Tip,Misc.xml,keyed
VESWW.EnableStatsTip,"Stats increased are: natural healing factor, global work speed, research speed and plant growth speed.",VESWW.EnableStatsTip,Misc.xml,keyed
VESWW.RandomRewardModTip,"With this enabled, the reward window will never be showed. You will always get a random reward.",VESWW.RandomRewardModTip,Misc.xml,keyed
VESWW.MysteryModTip,"With this enabled, the modifier will always be hidden. You will know a modifier has been applied, but not which one.",VESWW.MysteryModTip,Misc.xml,keyed
VESWW.ShowDraggableTip,"If disabled, you won't be able to change the counter draggabality until you reactivate this.",VESWW.ShowDraggableTip,Misc.xml,keyed
VESWW.UseRimworldTimeTip,If this is enabled the timer use rimworld time instead of real life time.,VESWW.UseRimworldTimeTip,Misc.xml,keyed
VESWW_DeathSuperAcidifier.label,death super acidifier,label,HediffDef/HediffDef.xml,def
VESWW_DeathSuperAcidifier.labelNoun,a death super acidifier,labelNoun,HediffDef/HediffDef.xml,def
VESWW_DeathSuperAcidifier.description,An installed death super acidifier.,description,HediffDef/HediffDef.xml,def
VESWW_InstallDeathSuperAcidifier.label,install death super acidifier,label,RecipeDef/RecipeDef.xml,def
VESWW_InstallDeathSuperAcidifier.description,Install a death super acidifier.,description,RecipeDef/RecipeDef.xml,def
VESWW_InstallDeathSuperAcidifier.jobString,Installing death super acidifier.,jobString,RecipeDef/RecipeDef.xml,def
VESWW_IncreasedStats.label,increased stats,label,HediffDef/HediffDef.xml,def
VESWW_IncreasedStats.description,Increased stats as a counterpart of Winston,description,HediffDef/HediffDef.xml,def
VESWW_NoPain.label,no pain,label,HediffDef/HediffDef.xml,def
VESWW_NoPain.description,No pain.,description,HediffDef/HediffDef.xml,def
VSEWW_Sprinter.label,sprinter,label,HediffDef/HediffDef.xml,def
VSEWW_Sprinter.description,Sprint fast.,description,HediffDef/HediffDef.xml,def
VSEWW_Boom.label,boom,label,HediffDef/HediffDef.xml,def
VSEWW_Boom.description,Boom!,description,HediffDef/HediffDef.xml,def
VESWW_Veterans.label,veteran,label,HediffDef/HediffDef.xml,def
VESWW_Veterans.description,Veteran,description,HediffDef/HediffDef.xml,def
VESWW_Ninja.label,ninja,label,HediffDef/HediffDef.xml,def
VESWW_Ninja.description,ninja,description,HediffDef/HediffDef.xml,def
VSEWW_BulletSponge.label,bullet sponge,label,HediffDef/HediffDef.xml,def
VSEWW_BulletSponge.description,bullet sponge,description,HediffDef/HediffDef.xml,def
VESWW_BulletProof.label,bullet proof,label,HediffDef/HediffDef.xml,def
VESWW_BulletProof.description,bullet proof,description,HediffDef/HediffDef.xml,def
VSEWW_DoubleTrouble.label,Double trouble,label,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_DoubleTrouble.description,Raid size in points is doubled,description,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_BulletSponges.label,Bullet sponges,label,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_BulletSponges.description,Health of the enemies is doubled,description,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_Sprinters.label,Sprinters,label,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_Sprinters.description,Movement speed of all the enemies is doubled,description,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_Veterans.label,Veterans,label,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_Veterans.description,"All stats of the enemies (Manipulation, sight etc) is multiplied by x1.5",description,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_Reinforcements.label,Reinforcements,label,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_Reinforcements.description,"Enemies receive reinforcements from the same faction, worth 50% of the initial wave size, after about 20% of the raid size is defeated",description,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_OrbitalBombardment.label,Orbital bombardment,label,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_OrbitalBombardment.description,"During the wave, orbital bombardment falls on the entire map",description,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_Flashstorm.label,Flashstorm,label,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_Flashstorm.description,"During the wave, flashstorm is present on the map and rain won’t trigger to extinguish the flames",description,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_Ninjas.label,Ninjas,label,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_Ninjas.description,All enemies are invisible for the first 30 seconds,description,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_Bulletproof.label,Bulletproof,label,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_Bulletproof.description,All enemies have their natural armor increased by 50%,description,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_NoPainNoGain.label,No Pain No Gain,label,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_NoPainNoGain.description,All enemies don’t feel pain,description,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_NoRetreat.label,No retreat!,label,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_NoRetreat.description,Enemies will not retreat,description,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_AcidifiersForEveryone.label,Acidifiers for everyone!,label,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_AcidifiersForEveryone.description,All enemies have death acidifiers,description,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_BodyModder.label,Body modders,label,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_BodyModder.description,All enemies use bionics part. Lower raid size in points.,description,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_SniperForEveryone.label,Snipers for everyone!,label,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_SniperForEveryone.description,All enemies get a sniper.,description,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_OnlyMelee.label,Melee only!,label,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_OnlyMelee.description,All pawns get a melee weapon and a shield belt.,description,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_ChargeForEveryone.label,Charge weapons for everyone!,label,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_ChargeForEveryone.description,All enemies have a charge weapon.,description,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
VSEWW_StrategicApproach.label,Strategic approach,label,VSEWW.ModifierDef/VSEWW.ModifierDef.xml,def
