key,text,tag,file,type
VTE.SortBy,Sort by,VTE.SortBy,Keyed.xml,keyed
VTE.Search,Search,VTE.Search,Keyed.xml,keyed
VTE.Name,Name,VTE.Name,Keyed.xml,keyed
VTE.Item,Item,VTE.Item,Keyed.xml,keyed
VTE.MarketValue,Market Value,VTE.MarketValue,Keyed.xml,keyed
VTE.CurrentValue,Current Value,VTE.CurrentValue,Keyed.xml,keyed
VTE.Change,Change,VTE.Change,Keyed.xml,keyed
VTE.RecentChange,Recent Change,VTE.RecentChange,Keyed.xml,keyed
VTE.ViewMarketPrices,View prices,VTE.ViewMarketPrices,Keyed.xml,keyed
VTE.ViewNews,View news,VTE.ViewNews,Keyed.xml,keyed
VTE.Contact,Contact {0},VTE.Contact,Keyed.xml,keyed
VTE.EmpireBankName,Imperial Bank,VTE.EmpireBankName,Keyed.xml,keyed
VTE.BaseBankName,Bank of {FACTION_name},VTE.BaseBankName,Keyed.xml,keyed
VTE.OutlanderCivilBankName,Bank of {FACTION_name},VTE.OutlanderCivilBankName,Keyed.xml,keyed
VTE.LocalFunds,Local funds: {0},VTE.LocalFunds,Keyed.xml,keyed
VTE.BankBalance,Bank balance: {0},VTE.BankBalance,Keyed.xml,keyed
VTE.BankFees,Bank fees: {0}%,VTE.BankFees,Keyed.xml,keyed
VTE.BankFeesBasedOn,Based on {0} goodwill with {FACTION_name},VTE.BankFeesBasedOn,Keyed.xml,keyed
VTE.DepositOrWithdraw,Deposit or Withdraw,VTE.DepositOrWithdraw,Keyed.xml,keyed
VTE.DepositOrWithdrawDesc,Positive numbers deposit. Negative numbers withdraw.,VTE.DepositOrWithdrawDesc,Keyed.xml,keyed
VTE.AreYouSureYouWantToDeposit,Are you sure that you want to deposit {0} silver?,VTE.AreYouSureYouWantToDeposit,Keyed.xml,keyed
VTE.AreYouSureYouWantToWithdraw,Are you sure that you want to withdraw {0} silver?,VTE.AreYouSureYouWantToWithdraw,Keyed.xml,keyed
VTE.Breakdown,Breakdown,VTE.Breakdown,Keyed.xml,keyed
VTE.BreakdownBankDesc,Performing transactions will incur a charge based on current Bank fee,VTE.BreakdownBankDesc,Keyed.xml,keyed
VTE.BreakdownStockMarketDesc,Buying shares of Trading ships can be risky. Follow the news closely to know how the company you're invested in is doing.,VTE.BreakdownStockMarketDesc,Keyed.xml,keyed
VTE.AmountToDepositWithdraw,Amount to deposit / withdraw,VTE.AmountToDepositWithdraw,Keyed.xml,keyed
VTE.AmountToDeposit,Amount to deposit,VTE.AmountToDeposit,Keyed.xml,keyed
VTE.AmountToWithdraw,Amount to withdraw,VTE.AmountToWithdraw,Keyed.xml,keyed
VTE.FeesToPay,Fees to pay,VTE.FeesToPay,Keyed.xml,keyed
VTE.Total,Total,VTE.Total,Keyed.xml,keyed
VTE.Loans,Loans,VTE.Loans,Keyed.xml,keyed
VTE.QuickCashLoan,Quick Cash loan,VTE.QuickCashLoan,Keyed.xml,keyed
VTE.ShortTermLoan,Short Term loan,VTE.ShortTermLoan,Keyed.xml,keyed
VTE.LongTermLoan,Long Term loan,VTE.LongTermLoan,Keyed.xml,keyed
VTE.MortgageLoan,Mortgage loan,VTE.MortgageLoan,Keyed.xml,keyed
VTE.LoanOptionsUnlockText,Unlocks after putting your money on the deposit,VTE.LoanOptionsUnlockText,Keyed.xml,keyed
