key,text,tag,file,type
VVE_BangBus_UpgradeTree.nodes.0.label,Off-road tires,label,Vehicles.UpgradeTreeDef/Vehicles.UpgradeTreeDef.xml,def
VVE_BangBus_UpgradeTree.nodes.0.description,Replace the tires with deep treaded tires that provide more traction and will allow the vehicle to move significantly faster offroad.,description,Vehicles.UpgradeTreeDef/Vehicles.UpgradeTreeDef.xml,def
VVE_BangBus_UpgradeTree.nodes.1.label,Expanded cargo space,label,Vehicles.UpgradeTreeDef/Vehicles.UpgradeTreeDef.xml,def
VVE_BangBus_UpgradeTree.nodes.1.description,Increase the amount of cargo that can be hauled by this vehicle.,description,Vehicles.UpgradeTreeDef/Vehicles.UpgradeTreeDef.xml,def
VVE_BangBus_UpgradeTree.nodes.2.label,Reinforced armor,label,Vehicles.UpgradeTreeDef/Vehicles.UpgradeTreeDef.xml,def
VVE_BangBus_UpgradeTree.nodes.2.description,"Weld a layer of reinforced steel plating to the vehicle, increasing its armor value at the cost of increasing vehicle mass and lowering acceleration.",description,Vehicles.UpgradeTreeDef/Vehicles.UpgradeTreeDef.xml,def
VVE_BangBus_UpgradeTree.nodes.3.label,Improved exhaust,label,Vehicles.UpgradeTreeDef/Vehicles.UpgradeTreeDef.xml,def
VVE_BangBus_UpgradeTree.nodes.3.description,"Change the exhaust system of the vehicle into a more efficient one, decreasing the visibility of the vehicle and improving fuel efficiency.",description,Vehicles.UpgradeTreeDef/Vehicles.UpgradeTreeDef.xml,def
VVE_BangBus_UpgradeTree.nodes.4.label,Extended engine,label,Vehicles.UpgradeTreeDef/Vehicles.UpgradeTreeDef.xml,def
VVE_BangBus_UpgradeTree.nodes.4.description,Improve the engine to significantly improve acceleration rate of the vehicle.,description,Vehicles.UpgradeTreeDef/Vehicles.UpgradeTreeDef.xml,def
VVE_BangBus_UpgradeTree.nodes.5.label,Cargo capacity,label,Vehicles.UpgradeTreeDef/Vehicles.UpgradeTreeDef.xml,def
VVE_BangBus_UpgradeTree.nodes.5.description,Improve the cargo capacity of the vehicle slightly.,description,Vehicles.UpgradeTreeDef/Vehicles.UpgradeTreeDef.xml,def
VVE_BangBus_UpgradeTree.nodes.6.label,Armor,label,Vehicles.UpgradeTreeDef/Vehicles.UpgradeTreeDef.xml,def
VVE_BangBus_UpgradeTree.nodes.6.description,Reinforce the armor of the vehicle slightly.,description,Vehicles.UpgradeTreeDef/Vehicles.UpgradeTreeDef.xml,def
VVE_BangBus_UpgradeTree.nodes.7.label,Speed,label,Vehicles.UpgradeTreeDef/Vehicles.UpgradeTreeDef.xml,def
VVE_BangBus_UpgradeTree.nodes.7.description,"Improve the engine of the vehicle, allowing it to reach higher maximum speed.",description,Vehicles.UpgradeTreeDef/Vehicles.UpgradeTreeDef.xml,def
VVE_BangBus_UpgradeTree.nodes.8.label,Acceleration,label,Vehicles.UpgradeTreeDef/Vehicles.UpgradeTreeDef.xml,def
VVE_BangBus_UpgradeTree.nodes.8.description,Improve shifting capabilities of transmission to increase acceleration speed of the vehicle slightly.,description,Vehicles.UpgradeTreeDef/Vehicles.UpgradeTreeDef.xml,def
VVE_BangBus_UpgradeTree.nodes.9.label,Fuel consumption,label,Vehicles.UpgradeTreeDef/Vehicles.UpgradeTreeDef.xml,def
VVE_BangBus_UpgradeTree.nodes.9.description,"Improve the exhaust system of the vehicle, improving fuel efficiency slightly.",description,Vehicles.UpgradeTreeDef/Vehicles.UpgradeTreeDef.xml,def
VVE_BangBus_UpgradeTree.nodes.10.label,Fuel capacity,label,Vehicles.UpgradeTreeDef/Vehicles.UpgradeTreeDef.xml,def
VVE_BangBus_UpgradeTree.nodes.10.description,Increase the size of the chemtank slightly.,description,Vehicles.UpgradeTreeDef/Vehicles.UpgradeTreeDef.xml,def
