key,text,tag,file,type
VVE_Skyseekers.label,skyseekers,label,MemeDef/MemeDef.xml,def
VVE_Skyseekers.description,"Elevation, both physical and spiritual, is achieved by soaring through the skies.",description,MemeDef/MemeDef.xml,def
VVE_Skyseekers.generalRules.rulesStrings.0,memeAdjective->flying,li,MemeDef/MemeDef.xml,def
VVE_Skyseekers.generalRules.rulesStrings.1,memeAdjective->soaring,li,MemeDef/MemeDef.xml,def
VVE_Skyseekers.generalRules.rulesStrings.2,memeAdjective->free,li,MemeDef/MemeDef.xml,def
VVE_Skyseekers.generalRules.rulesStrings.3,memeLeaderNoun->aviator,li,MemeDef/MemeDef.xml,def
VVE_Skyseekers.generalRules.rulesStrings.4,memeMoralist->skyseer,li,MemeDef/MemeDef.xml,def
VVE_Skyseekers.generalRules.rulesStrings.5,memeConcept->flying,li,MemeDef/MemeDef.xml,def
VVE_Skyseekers.descriptionMaker.rules.rulesStrings.0,creation(tag=meme_Skyseekers)        ->[deity0_name] made all of [deity0_possessive] followers look to the endless skies.,li,MemeDef/MemeDef.xml,def
VVE_Skyseekers.descriptionMaker.rules.rulesStrings.1,"episode(uses=1,tag=meme_Skyseekers)  ->Speaking to the believers, [deity0_name] said: ""Only by conquering the skies will you reach true enlightening"".",li,MemeDef/MemeDef.xml,def
VVE_Skyseekers.descriptionMaker.rules.rulesStrings.2,"intro(tag=meme_Skyseekers)           ->[place_summary] [place_name] was always fraught with conflict. The [memberNamePlural] were besieged constantly by their foes, and this deeply saddened [deity0_name].",li,MemeDef/MemeDef.xml,def
VVE_Skyseekers.descriptionMaker.rules.rulesStrings.3,"conflict(tag=meme_Skyseekers)        ->[deity0_name] witnessed the contant assaults of a terrible [foeLeader], a war leader, and [deity0_pronoun] decided to give winged vessels to [deity0_possessive] followers, so that they could soar the skies above their enemies.",li,MemeDef/MemeDef.xml,def
VVE_Skyseekers.descriptionMaker.rules.rulesStrings.4,"founderJoin(tag=meme_Skyseekers)     ->[founderName], the greatest among our aviators, was warned of the [foeLeader]'s plan by [deity0_name], and when [foeLeader_pronoun] assaulted them a huge squadron of fighters was ready and waiting for [foeLeader_objective].",li,MemeDef/MemeDef.xml,def
VVE_Skyseekers.descriptionMaker.rules.rulesStrings.5,"victory(tag=meme_Skyseekers)         ->The [foeLeader] was swiftly bombarded from the sky, all in [deity0_name]'s name.",li,MemeDef/MemeDef.xml,def
VVE_Skyseekers.descriptionMaker.rules.rulesStrings.6,"setup(tag=meme_Skyseekers)           ->[founderName] was a pilot, the best of [founder_possessive] class. [founder_pronoun] spent decades of [founder_possessive] life flying all kinds of aircraft, both civilian and military.",li,MemeDef/MemeDef.xml,def
VVE_Skyseekers.descriptionMaker.rules.rulesStrings.7,"story(uses=1,tag=meme_Skyseekers)    ->[founderName] understood better than anyone else that true freedom lies in soaring the endless skies, far above any problems.",li,MemeDef/MemeDef.xml,def
VVE_Skyseekers.descriptionMaker.rules.rulesStrings.8,lessonIntro(tag=meme_Skyseekers)         ->The ancient aviators of Earth were absolutely right. They taught us that,li,MemeDef/MemeDef.xml,def
VVE_Skyseekers.descriptionMaker.rules.rulesStrings.9,lesson(tag=meme_Skyseekers)              ->the only true freedom lies in soaring the endless skies,li,MemeDef/MemeDef.xml,def
