key,text,tag,file,type
VVE_AccelerationSundayDriver,Acceleration: sunday driver precept,VVE_AccelerationSundayDriver,Misc_Gameplay.xml,keyed
VVE_AccelerationHigh,Acceleration: high precept,VVE_AccelerationHigh,Misc_Gameplay.xml,keyed
VVE_MaxSpeed_Increased,Max speed: increased precept,VVE_MaxSpeed_Increased,Misc_Gameplay.xml,keyed
VVE_HandbrakeDealsDamage,Handbrake deals damage,VVE_HandbrakeDealsDamage,Misc_Gameplay.xml,keyed
VVE_StatsReport_AccelerationRate,"Acceleration rate: {0}
Current speed: {1} c/s",VVE_StatsReport_AccelerationRate,Misc_Gameplay.xml,keyed
VVE_HandbrakeWarning,{VEHICLE_nameDef} will not have enough room to decelerate and will need to use the handbrake. This will cause damage to the tires.,VVE_HandbrakeWarning,Misc_Gameplay.xml,keyed
VVE_Open,Open,VVE_Open,Misc_Gameplay.xml,keyed
VVE_Close,Close,VVE_Close,Misc_Gameplay.xml,keyed
VVE_OpenDescription,Designate the garage door to be opened.,VVE_OpenDescription,Misc_Gameplay.xml,keyed
VVE_CloseDescription,Designate the garage door to be closed.,VVE_CloseDescription,Misc_Gameplay.xml,keyed
VVE_OpenDescription_AutoDoor,Open the auto garage door.,VVE_OpenDescription_AutoDoor,Misc_Gameplay.xml,keyed
VVE_CloseDescription_AutoDoor,Close the auto garage door.,VVE_CloseDescription_AutoDoor,Misc_Gameplay.xml,keyed
VVE_VehicleObstructingClosingGarage,Vehicle is blocking garage.,VVE_VehicleObstructingClosingGarage,Misc_Gameplay.xml,keyed
VVE_VehicleTier,Tier,VVE_VehicleTier,Misc_Gameplay.xml,keyed
VVE_Tier0,Tier 0,VVE_Tier0,Misc_Gameplay.xml,keyed
VVE_Tier1,Tier 1,VVE_Tier1,Misc_Gameplay.xml,keyed
VVE_Tier2,Tier 2,VVE_Tier2,Misc_Gameplay.xml,keyed
VVE_Tier3,Tier 3,VVE_Tier3,Misc_Gameplay.xml,keyed
VVE_Tier4,Tier 3,VVE_Tier4,Misc_Gameplay.xml,keyed
VVE_Tier0Desc,"Tier 0 vehicles are the most basic and easiest to access. They don't require resources to be constructed, or research project to be researched, or neither.",VVE_Tier0Desc,Misc_Gameplay.xml,keyed
VVE_Tier1Desc,"Tier 1 vehicles require a basic research project and a low resource cost in order to be constructed. They are inefficient, not ideal, have a lot of drawbacks, but they are cheap and available early in the game.",VVE_Tier1Desc,Misc_Gameplay.xml,keyed
VVE_Tier2Desc,Tier 2 vehicles are locked behind more specialised research projects and require resources that are only available later in the game. Tier 2 is considered to be the 'baseline' of all vehicles.,VVE_Tier2Desc,Misc_Gameplay.xml,keyed
VVE_Tier3Desc,"Tier 3 vehicles are only obtainable if a specific condition is met - for example, they are first found in their wrecked form and restored. They require late game resources and generally serve a very specific purpose.",VVE_Tier3Desc,Misc_Gameplay.xml,keyed
VVE_Tier4Desc,"Tier 4 vehicles are not able to be constructed by the player, but they can still be found, purchased or otherwise spawned. They generally represent technology beyond of what's achievable in the Rimworld setting.",VVE_Tier4Desc,Misc_Gameplay.xml,keyed
VVE_RestoreWreck,Restore wreck,VVE_RestoreWreck,Misc_Gameplay.xml,keyed
VVE_RestoreWreckDesc,"Deliver necessary vehicle components to restore this wreck completely, turning it into a working vehicle.",VVE_RestoreWreckDesc,Misc_Gameplay.xml,keyed
VVE_WreckNotRestored,{0} not yet found and restored,VVE_WreckNotRestored,Misc_Gameplay.xml,keyed
VVE_CannotBeResearched,{0} cannot be researched until you find and restore a wreck of that vehicle.,VVE_CannotBeResearched,Misc_Gameplay.xml,keyed
VVE_Reload,Reload {0} with {AMMO_label},VVE_Reload,Misc_Gameplay.xml,keyed
VVE_CannotReloadNotEnoughAmmo,Can't reload {0} with {1} (not enough {1}),VVE_CannotReloadNotEnoughAmmo,Misc_Gameplay.xml,keyed
VVE_CannotReloadFullAmmo,Can't reload {0} with {1} (full ammo),VVE_CannotReloadFullAmmo,Misc_Gameplay.xml,keyed
VVE_OpenGarage.reportString,opening garage.,reportString,JobDef/JobDef.xml,def
VVE_CloseGarage.reportString,closing garage.,reportString,JobDef/JobDef.xml,def
VVE_RestoreWreck.reportString,restoring TargetA.,reportString,JobDef/JobDef.xml,def
VVE_Streaky.label,Streaky,label,Vehicles.PatternDef/Vehicles.PatternDef.xml,def
VVE_8bit.label,8 Bit,label,Vehicles.PatternDef/Vehicles.PatternDef.xml,def
VVE_Blocky.label,Blocky,label,Vehicles.PatternDef/Vehicles.PatternDef.xml,def
VVE_CallOfDuty.label,CallOfDuty,label,Vehicles.PatternDef/Vehicles.PatternDef.xml,def
VVE_Dots.label,Dots,label,Vehicles.PatternDef/Vehicles.PatternDef.xml,def
VVE_GeometricGrunge.label,Geometric Grunge,label,Vehicles.PatternDef/Vehicles.PatternDef.xml,def
VVE_Gloss.label,Gloss,label,Vehicles.PatternDef/Vehicles.PatternDef.xml,def
VVE_Grunge.label,Grunge,label,Vehicles.PatternDef/Vehicles.PatternDef.xml,def
VVE_Marble.label,Marble,label,Vehicles.PatternDef/Vehicles.PatternDef.xml,def
VVE_Painted.label,Painted,label,Vehicles.PatternDef/Vehicles.PatternDef.xml,def
VVE_Processor.label,Processor,label,Vehicles.PatternDef/Vehicles.PatternDef.xml,def
VVE_Reactive.label,Reactive,label,Vehicles.PatternDef/Vehicles.PatternDef.xml,def
VVE_Rocky.label,Rocky,label,Vehicles.PatternDef/Vehicles.PatternDef.xml,def
VVE_Savannah.label,Savannah,label,Vehicles.PatternDef/Vehicles.PatternDef.xml,def
VVE_Shine.label,Shine,label,Vehicles.PatternDef/Vehicles.PatternDef.xml,def
VVE_Smudges.label,Smudges,label,Vehicles.PatternDef/Vehicles.PatternDef.xml,def
VVE_Splatter.label,Splatter,label,Vehicles.PatternDef/Vehicles.PatternDef.xml,def
VVE_Stamped.label,Stamped,label,Vehicles.PatternDef/Vehicles.PatternDef.xml,def
VVE_Vinyl.label,Vinyl,label,Vehicles.PatternDef/Vehicles.PatternDef.xml,def
VVE_Wildcat.label,Wildcat,label,Vehicles.PatternDef/Vehicles.PatternDef.xml,def
VVE_BasicVehicles.label,basic vehicles,label,ResearchProjectDef/ResearchProjectDef.xml,def
VVE_BasicVehicles.description,"Learn to construct basic, inefficient vehicles, from prowler buggy to roadkill single-person tanks.",description,ResearchProjectDef/ResearchProjectDef.xml,def
VVE_BasicVehicles.generalRules.rulesStrings.0,subject->first vehicles,li,ResearchProjectDef/ResearchProjectDef.xml,def
VVE_BasicVehicles.generalRules.rulesStrings.1,subject_story->started making simple vehicles like buggies and single-person tanks,li,ResearchProjectDef/ResearchProjectDef.xml,def
VVE_BasicVehicles.generalRules.rulesStrings.2,subject_story->changed how far we could go and what we could carry,li,ResearchProjectDef/ResearchProjectDef.xml,def
VVE_BasicVehicles.generalRules.rulesStrings.3,subject_story->made travel faster than ever before,li,ResearchProjectDef/ResearchProjectDef.xml,def
VVE_BasicVehicles.generalRules.rulesStrings.4,subject_gerund->inventing new ways to move,li,ResearchProjectDef/ResearchProjectDef.xml,def
VVE_ComplexVehicles.label,complex vehicles,label,ResearchProjectDef/ResearchProjectDef.xml,def
VVE_ComplexVehicles.description,"Learn to construct complex vehicles, such as wagons, roadrunners and snatchers, using the components you can easily fabricate.",description,ResearchProjectDef/ResearchProjectDef.xml,def
VVE_ComplexVehicles.generalRules.rulesStrings.0,subject->better vehicles,li,ResearchProjectDef/ResearchProjectDef.xml,def
VVE_ComplexVehicles.generalRules.rulesStrings.1,subject_story->built more complex vehicles like wagons and fast cars,li,ResearchProjectDef/ResearchProjectDef.xml,def
VVE_ComplexVehicles.generalRules.rulesStrings.2,subject_story->made it easier to move things and people over long distances,li,ResearchProjectDef/ResearchProjectDef.xml,def
VVE_ComplexVehicles.generalRules.rulesStrings.3,subject_story->vehicles became more useful and versatile,li,ResearchProjectDef/ResearchProjectDef.xml,def
VVE_ComplexVehicles.generalRules.rulesStrings.4,subject_gerund->improving our rides,li,ResearchProjectDef/ResearchProjectDef.xml,def
VVE_AerialVehicles.label,aerial vehicles,label,ResearchProjectDef/ResearchProjectDef.xml,def
VVE_AerialVehicles.description,"Learn to construct vehicles capable of travelling above the ground, such as a mosquito helicopter and a smuggler cargo airplane.",description,ResearchProjectDef/ResearchProjectDef.xml,def
VVE_AerialVehicles.generalRules.rulesStrings.0,subject->flying machines,li,ResearchProjectDef/ResearchProjectDef.xml,def
VVE_AerialVehicles.generalRules.rulesStrings.1,subject_story->created helicopters and cargo planes to fly over obstacles,li,ResearchProjectDef/ResearchProjectDef.xml,def
VVE_AerialVehicles.generalRules.rulesStrings.2,subject_story->opened up new ways to explore and trade,li,ResearchProjectDef/ResearchProjectDef.xml,def
VVE_AerialVehicles.generalRules.rulesStrings.3,"subject_story->made air travel possible, changing how we see the world",li,ResearchProjectDef/ResearchProjectDef.xml,def
VVE_AerialVehicles.generalRules.rulesStrings.4,subject_gerund->taking to the skies,li,ResearchProjectDef/ResearchProjectDef.xml,def
VVE_CombatVehicles.label,combat vehicles,label,ResearchProjectDef/ResearchProjectDef.xml,def
VVE_CombatVehicles.description,"Learn to construct complex combat vehicles, such as bulldog battle tanks, tango armored personnel carriers and warbird combat airplanes.",description,ResearchProjectDef/ResearchProjectDef.xml,def
VVE_CombatVehicles.generalRules.rulesStrings.0,subject->war vehicles,li,ResearchProjectDef/ResearchProjectDef.xml,def
VVE_CombatVehicles.generalRules.rulesStrings.1,subject_story->made powerful combat vehicles like tanks and armored planes,li,ResearchProjectDef/ResearchProjectDef.xml,def
VVE_CombatVehicles.generalRules.rulesStrings.2,subject_story->vehicles could now fight and defend in wars,li,ResearchProjectDef/ResearchProjectDef.xml,def
VVE_CombatVehicles.generalRules.rulesStrings.3,subject_story->changed how battles are fought with these new machines,li,ResearchProjectDef/ResearchProjectDef.xml,def
VVE_CombatVehicles.generalRules.rulesStrings.4,subject_gerund->building for battle,li,ResearchProjectDef/ResearchProjectDef.xml,def
Vehicles.label,Vehicles,label,ResearchTabDef/ResearchTabDef.xml,def
AccelerationRate.label,Acceleration rate,label,Vehicles.VehicleStatDef/Vehicles.VehicleStatDef.xml,def
AccelerationRate.description,"The rate at which the car accelerate, in cells per second. Higher rate means the vehicle will accelerate to its maximum speed faster. This also affects deceleration rate, which is double the acceleration rate.",description,Vehicles.VehicleStatDef/Vehicles.VehicleStatDef.xml,def
VVE_GarageCabinet.label,garage cabinet,label,ThingDef/ThingDef.xml,def
VVE_GarageCabinet.description,A handy cabinet that contains a whole bunch of extra tools of various sizes and functions. Increases work speed when placed near a garage bench. One bench can use up to two garage cabinets.,description,ThingDef/ThingDef.xml,def
VVE_RefuelingPump.label,refueling pump,label,ThingDef/ThingDef.xml,def
VVE_RefuelingPump.description,A refueling pump that will automatically refuel chemfuel-powered vehicles standing on the interaction spot. Needs to be filled with chemfuel.,description,ThingDef/ThingDef.xml,def
VVE_GarageBench.label,garage bench,label,ThingDef/ThingDef.xml,def
VVE_GarageBench.description,"A specialised work station for assembling vehicle parts. For those that are desperate, rusted cars and engine blocks can be salvaged for any remaining working parts.",description,ThingDef/ThingDef.xml,def
VVE_TankTrap.label,tank trap,label,ThingDef/ThingDef.xml,def
VVE_TankTrap.description,"A defensive fortification for stopping vehicles. Provides small amount of cover and can be walked through on foot, but is not traversable by vehicles.",description,ThingDef/ThingDef.xml,def
VVE_GarageDoor.label,garage door (1x4),label,ThingDef/ThingDef.xml,def
VVE_GarageDoor.description,"Divides rooms. Manual operation allows people to open it, letting vehicles through.",description,ThingDef/ThingDef.xml,def
VVE_GarageDoorLarge.label,garage door (1x5),label,ThingDef/ThingDef.xml,def
VVE_GarageAutoDoor.label,auto garage door (1x4),label,ThingDef/ThingDef.xml,def
VVE_GarageAutoDoor.description,"Divides rooms. Electric-powered operation allows the door to open without manual interaction, letting vehicles through.",description,ThingDef/ThingDef.xml,def
VVE_GarageAutoDoorLarge.label,auto garage door (1x5),label,ThingDef/ThingDef.xml,def
VVE_CarParts.label,car parts,label,ThingCategoryDef/ThingCategoryDef.xml,def
VVE_EngineBlock.label,engine block,label,ThingDef/ThingDef.xml,def
VVE_EngineBlock.description,"Literally the part that gets a vehicle moving in the first place, no vehicle can be assembled without one. Exceedingly large or heavy vehicles could require more than one.",description,ThingDef/ThingDef.xml,def
VVE_CarAlternator.label,car alternator,label,ThingDef/ThingDef.xml,def
VVE_CarAlternator.description,The alternator is an extremely vital engine part for any vehicle that has electrical systems. Some very basic systems can get away and some more complex vehicles can require more than one.,description,ThingDef/ThingDef.xml,def
VVE_CarExhaust.label,car exhaust,label,ThingDef/ThingDef.xml,def
VVE_CarExhaust.description,"A series of pipes, catalysts and fittings that transfer the exhaust from the car engine away from the driver’s cabin. Engines that will be put under a lot of strain require more exhausts.",description,ThingDef/ThingDef.xml,def
