key,text,tag,file,type
VWEFT_Gun_GaussRevolver.label,gauss revolver,label,ThingDef/ThingDef.xml,def
VWEFT_Gun_GaussRevolver.description,"A spacer-tech revolver for that frontier feel with high-tech power. A coil-array accelerates single shots capable of popping the heads of multiple ne'er do wells in a neat line.\n\nJust like its conventional counterpart, this gun supposedly is capable of incredibly lucky shots.",description,ThingDef/ThingDef.xml,def
VWEFT_Gun_GaussRevolver.tools.0.label,grip,label,ThingDef/ThingDef.xml,def
VWEFT_Gun_GaussRevolver.tools.1.label,barrel,label,ThingDef/ThingDef.xml,def
VWEFT_Bullet_GaussRevolver.label,gauss revolver sabot,label,VEF.Weapons.ExpandableProjectileDef/VEF.Weapons.ExpandableProjectileDef.xml,def
VWEFT_Gun_GaussRepeater.label,gauss repeater,label,ThingDef/ThingDef.xml,def
VWEFT_Gun_GaussRepeater.description,"A spacer-tech gauss rifle themed as a steamworld-inspired repeater. A set of coils accelerate terromagnetic sabots capable of penetrating multiple layers of flesh and armor.\n\nJust like its conventional counterpart, this gun supposedly is capable of incredibly lucky shots.",description,ThingDef/ThingDef.xml,def
VWEFT_Gun_GaussRepeater.tools.0.label,stock,label,ThingDef/ThingDef.xml,def
VWEFT_Gun_GaussRepeater.tools.1.label,barrel,label,ThingDef/ThingDef.xml,def
VWEFT_Bullet_GaussRepeater.label,gauss repeater sabot,label,VEF.Weapons.ExpandableProjectileDef/VEF.Weapons.ExpandableProjectileDef.xml,def
