key,text,tag,file,type
VWE_MakeshiftWeapons.label,makeshift weapons,label,ResearchProjectDef/ResearchProjectDef.xml,def
VWE_MakeshiftWeapons.description,"Assemble very crude makeshift weapons, prone to jamming and very unreliable.",description,ResearchProjectDef/ResearchProjectDef.xml,def
VanillaExpanded.label,Vanilla Expanded,label,ResearchTabDef/ResearchTabDef.xml,def
VWE_Gun_MakeshiftPistol.label,makeshift pistol,label,ThingDef/ThingDef.xml,def
VWE_Gun_MakeshiftPistol.description,"An improvised, rough, ancient-design pattern blowback-operated self-loading pistol. It lacks stopping power and range and is prone to jamming.",description,ThingDef/ThingDef.xml,def
VWE_Gun_MakeshiftPistol.tools.0.label,grip,label,ThingDef/ThingDef.xml,def
VWE_Gun_MakeshiftPistol.tools.1.label,barrel,label,ThingDef/ThingDef.xml,def
VWE_Bullet_MakeshiftPistol.label,makeshift pistol bullet,label,ThingDef/ThingDef.xml,def
VWE_Gun_MakeshiftSMG.label,makeshift SMG,label,ThingDef/ThingDef.xml,def
VWE_Gun_MakeshiftSMG.description,"A small, home-made micro-submachine gun. It's short range and very prone to jamming due to the rough design and faulty elements. Its rate of fire tends to make up for its weakness.",description,ThingDef/ThingDef.xml,def
VWE_Gun_MakeshiftSMG.tools.0.label,grip,label,ThingDef/ThingDef.xml,def
VWE_Gun_MakeshiftSMG.tools.1.label,barrel,label,ThingDef/ThingDef.xml,def
VWE_Bullet_MakeshiftSMG.label,makeshift SMG bullet,label,ThingDef/ThingDef.xml,def
VWE_Gun_MakeshiftRifle.label,makeshift rifle,label,ThingDef/ThingDef.xml,def
VWE_Gun_MakeshiftRifle.description,"A general-purpose gas-operated improvised assault rifle, utilising various salvaged components mounted on a militia rifle receiver. It has good range, decent power, and good accuracy, but is prone to jamming.",description,ThingDef/ThingDef.xml,def
VWE_Gun_MakeshiftRifle.tools.0.label,stock,label,ThingDef/ThingDef.xml,def
VWE_Gun_MakeshiftRifle.tools.1.label,barrel,label,ThingDef/ThingDef.xml,def
VWE_Bullet_MakeshiftRifle.label,makeshift rifle bullet,label,ThingDef/ThingDef.xml,def
VWE_Gun_MakeshiftShotgun.label,makeshift shotgun,label,ThingDef/ThingDef.xml,def
VWE_Gun_MakeshiftShotgun.description,"An improvised design powerful shotgun that emits a large barrage of pellets. Deadly, but short range. Due to numerous faults in design, the amount of pellets fired varies shot by shot.",description,ThingDef/ThingDef.xml,def
VWE_Gun_MakeshiftShotgun.tools.0.label,stock,label,ThingDef/ThingDef.xml,def
VWE_Gun_MakeshiftShotgun.tools.1.label,barrel,label,ThingDef/ThingDef.xml,def
VWE_Bullet_MakeshiftShotgun.label,makeshift shotgun pellet,label,ThingDef/ThingDef.xml,def
VWE_Gun_MakeshiftLMG.label,makeshift LMG,label,ThingDef/ThingDef.xml,def
VWE_Gun_MakeshiftLMG.description,"An improvised, gas-operated light machine gun. Unwieldy and inaccurate, it is also very prone to jamming. Its long bursts of fire are effective against groups of enemies, but their shot counts are completely random.",description,ThingDef/ThingDef.xml,def
VWE_Gun_MakeshiftLMG.tools.0.label,stock,label,ThingDef/ThingDef.xml,def
VWE_Gun_MakeshiftLMG.tools.1.label,barrel,label,ThingDef/ThingDef.xml,def
VWE_Bullet_MakeshiftLMG.label,makeshift LMG bullet,label,ThingDef/ThingDef.xml,def
