key,text,tag,file,type
VWE_MeleeWeapon_HeavyClub.label,heavy club,label,ThingDef/ThingDef.xml,def
VWE_MeleeWeapon_HeavyClub.description,"A large, two handed, shaped stick for bashing enemies. Extreme weight at the end of this tool allows user to crush flesh and bones alike, leaving enemies maimed, paralysed and often dead.",description,ThingDef/ThingDef.xml,def
VWE_MeleeWeapon_HeavyClub.tools.0.label,handle,label,ThingDef/ThingDef.xml,def
VWE_MeleeWeapon_HeavyClub.tools.1.label,head,label,ThingDef/ThingDef.xml,def
VWE_MeleeWeapon_LightClub.label,light club,label,ThingDef/ThingDef.xml,def
VWE_MeleeWeapon_LightClub.description,"A small, one handed club. Whilst it's fast to swing, it is not going to cause tremendous damage due to its low weight and short length.",description,ThingDef/ThingDef.xml,def
VWE_MeleeWeapon_LightClub.tools.0.label,handle,label,ThingDef/ThingDef.xml,def
VWE_MeleeWeapon_LightClub.tools.1.label,head,label,ThingDef/ThingDef.xml,def
VWE_MeleeWeapon_TribalAxe.label,tribal axe,label,ThingDef/ThingDef.xml,def
VWE_MeleeWeapon_TribalAxe.description,"A sharp piece of rock mounted on a sturdy piece of wood. Often used as a tool, it has been recorded that tribal axes also served as a great weapon due to their small size and ability to inflict deep wounds.",description,ThingDef/ThingDef.xml,def
VWE_MeleeWeapon_TribalAxe.tools.0.label,handle,label,ThingDef/ThingDef.xml,def
VWE_MeleeWeapon_TribalAxe.tools.1.label,edge,label,ThingDef/ThingDef.xml,def
VWE_MeleeWeapon_Shiv.label,shiv,label,ThingDef/ThingDef.xml,def
VWE_MeleeWeapon_Shiv.description,One of mankind's oldest manufactured objects. A shiv is a short but sharp piece of rock or metal with a small handle.,description,ThingDef/ThingDef.xml,def
VWE_MeleeWeapon_Shiv.tools.0.label,blade,label,ThingDef/ThingDef.xml,def
VWE_MeleeWeapon_Shiv.tools.1.label,point,label,ThingDef/ThingDef.xml,def
VWE_Sling.label,sling,label,ThingDef/ThingDef.xml,def
VWE_Sling.description,A small pouch in the middle of two lengths of cord. Used to slingshot sharp rocks over medium distance.,description,ThingDef/ThingDef.xml,def
VWE_Sling.tools.0.label,sling,label,ThingDef/ThingDef.xml,def
VWE_SlingRock.label,sling rock,label,ThingDef/ThingDef.xml,def
VWE_Throwing_Shards.label,throwing shards,label,ThingDef/ThingDef.xml,def
VWE_Throwing_Shards.description,A set of crude rock or metal shards that can be thrown a short distance.,description,ThingDef/ThingDef.xml,def
VWE_Throwing_Shards.tools.0.label,handle,label,ThingDef/ThingDef.xml,def
VWE_Throwing_Shards.tools.1.label,edge,label,ThingDef/ThingDef.xml,def
VWE_Throwing_Shards.tools.2.label,point,label,ThingDef/ThingDef.xml,def
VWE_FlyingShard.label,shard,label,ThingDef/ThingDef.xml,def
VWE_Weapon_FireBomb.label,fire bombs,label,ThingDef/ThingDef.xml,def
VWE_Weapon_FireBomb.description,"A small clay pot with various flammable substances inside - be it chemfuel, cloth, gunpowder or animal fats.",description,ThingDef/ThingDef.xml,def
VWE_Weapon_FireBomb.verbs.0.label,throw firebomb,label,ThingDef/ThingDef.xml,def
VWE_Proj_FireBomb.label,fire bomb,label,ThingDef/ThingDef.xml,def
