key,text,tag,file,type
napoleonBonaparty.label,Entrenched,label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
napoleonBonaparty.description,Craft 10 trench guns,description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
poshRockLobber.label,Posh Rock Lobber,label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
poshRockLobber.description,Craft marble throwing rocks,description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
burnThemAll.label,Burn Them All!,label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
burnThemAll.description,Craft a flamethrower,description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
gunsGallore.label,Guns Gallore,label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
gunsGallore.description,Research Heavy Weapons,description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
superCharged.label,Supercharged!,label,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
superCharged.description,Craft a legendary heavy charge blaster,description,AchievementsExpanded.AchievementDef/AchievementsExpanded.AchievementDef.xml,def
VanillaExpanded_Weapons.label,Vanilla Weapons Expanded,label,AchievementsExpanded.AchievementTabDef/AchievementsExpanded.AchievementTabDef.xml,def
EnemyRaidRewardVE_WE.label,Summon A Raid,label,AchievementsExpanded.Reward_EnemyRaid/AchievementsExpanded.Reward_EnemyRaid.xml,def
TradeCaravanRewardVE_WE.label,Summon a Trade Caravan,label,AchievementsExpanded.Reward_MapIncident/AchievementsExpanded.Reward_MapIncident.xml,def
RandomEventRewardVE_WE.label,Random Event,label,AchievementsExpanded.Reward_RandomEvent/AchievementsExpanded.Reward_RandomEvent.xml,def
CargoPodsRewardVE_WE.label,Spawn Cargo Pods,label,AchievementsExpanded.Reward_MapIncident/AchievementsExpanded.Reward_MapIncident.xml,def
RandomRewardQuestItemVE_WE.label,Random Quest Item,label,AchievementsExpanded.Reward_RandomQuestItem/AchievementsExpanded.Reward_RandomQuestItem.xml,def
ManInBlackRewardVE_WE.label,Man in Black Joins,label,AchievementsExpanded.Reward_MapIncident/AchievementsExpanded.Reward_MapIncident.xml,def
