key,text,tag,file,type
VAE_GetAGhoul.label,Don't Let it Get Hungry,label,AchievementsExpanded.AchievementDef/Anomaly.xml,def
VAE_GetAGhoul.description,Get a ghoul,description,AchievementsExpanded.AchievementDef/Anomaly.xml,def
VAE_ContainARevenant.label,Invisible Coward,label,AchievementsExpanded.AchievementDef/Anomaly.xml,def
VAE_ContainARevenant.description,Contain a Revenant,description,AchievementsExpanded.AchievementDef/Anomaly.xml,def
VAE_Nananana.label,Na-na-na-na,label,AchievementsExpanded.AchievementDef/Anomaly.xml,def
VAE_Nananana.description,Contain a Nociosphere,description,AchievementsExpanded.AchievementDef/Anomaly.xml,def
VAE_PrinceOfAllCosmos.label,Prince of all Cosmos,label,AchievementsExpanded.AchievementDef/Anomaly.xml,def
VAE_PrinceOfAllCosmos.description,Activate Nociosphere,description,AchievementsExpanded.AchievementDef/Anomaly.xml,def
VAE_ItsDangerouslyDangerous.label,It’s Dangerously Dangerous,label,AchievementsExpanded.AchievementDef/Anomaly.xml,def
VAE_ItsDangerouslyDangerous.description,Activate Five Nociospheres,description,AchievementsExpanded.AchievementDef/Anomaly.xml,def
VAE_PurePerfection.label,Pure Perfection,label,AchievementsExpanded.AchievementDef/Anomaly.xml,def
VAE_PurePerfection.description,Contain a Golden Cube. Love the Cube,description,AchievementsExpanded.AchievementDef/Anomaly.xml,def
VAE_PlatonicSolid.label,Platonic Solid,label,AchievementsExpanded.AchievementDef/Anomaly.xml,def
VAE_PlatonicSolid.description,Contain a Golden Cube. Love the Cube,description,AchievementsExpanded.AchievementDef/Anomaly.xml,def
VAE_TheNightParty.label,The Night Party,label,AchievementsExpanded.AchievementDef/Anomaly.xml,def
VAE_TheNightParty.description,Contain 2 Noctols and 2 Sightstealers,description,AchievementsExpanded.AchievementDef/Anomaly.xml,def
VAE_EmbraceTheVoid.label,Embrace the Void,label,AchievementsExpanded.AchievementDef/Anomaly.xml,def
VAE_EmbraceTheVoid.description,Have a colonist embrace the void,description,AchievementsExpanded.AchievementDef/Anomaly.xml,def
VAE_BlindedByTheLight.label,Blinded by the light,label,AchievementsExpanded.AchievementDef/Anomaly.xml,def
VAE_BlindedByTheLight.description,Stun an enemy with a flare,description,AchievementsExpanded.AchievementDef/Anomaly.xml,def
VAE_SecureContainProtect.label,"Secure, Contain, Protect",label,AchievementsExpanded.AchievementDef/Anomaly.xml,def
VAE_SecureContainProtect.description,Have a total of 30 contained entities,description,AchievementsExpanded.AchievementDef/Anomaly.xml,def
VAE_OriginalityIsDead.label,Originality is Dead,label,AchievementsExpanded.AchievementDef/Anomaly.xml,def
VAE_OriginalityIsDead.description,Have at least 10 people being duplicates,description,AchievementsExpanded.AchievementDef/Anomaly.xml,def
VAE_Witcher.label,Witcher,label,AchievementsExpanded.AchievementDef/Anomaly.xml,def
VAE_Witcher.description,Kill a Revenant with a Longsword,description,AchievementsExpanded.AchievementDef/Anomaly.xml,def
VAE_MeatForTheGrinder.label,Meat for the Grinder,label,AchievementsExpanded.AchievementDef/Anomaly.xml,def
VAE_MeatForTheGrinder.description,Use the psychic slaughter ability to turn a tribal into a pile of twisted meat,description,AchievementsExpanded.AchievementDef/Anomaly.xml,def
