key,text,tag,file,type
VAE_Multiculture.label,Multiculture,label,AchievementsExpanded.AchievementDef/Ideology.xml,def
VAE_Multiculture.description,Have pawns of at least 4 different Ideoligions as members of your colony,description,AchievementsExpanded.AchievementDef/Ideology.xml,def
VAE_SlaveOwner.label,Slave Owner,label,AchievementsExpanded.AchievementDef/Ideology.xml,def
VAE_SlaveOwner.description,Enslave a person,description,AchievementsExpanded.AchievementDef/Ideology.xml,def
VAE_SlaveDriver.label,Slave Driver,label,AchievementsExpanded.AchievementDef/Ideology.xml,def
VAE_SlaveDriver.description,Enslave seven people at the same time,description,AchievementsExpanded.AchievementDef/Ideology.xml,def
VAE_HappyTreeCritters.label,Happy Tree Critters,label,AchievementsExpanded.AchievementDef/Ideology.xml,def
VAE_HappyTreeCritters.description,Get 15 barkskin dryads,description,AchievementsExpanded.AchievementDef/Ideology.xml,def
VAE_ItBelongsInAMuseum.label,It Belongs in a Museum,label,AchievementsExpanded.AchievementDef/Ideology.xml,def
VAE_ItBelongsInAMuseum.description,Build three reliquaries,description,AchievementsExpanded.AchievementDef/Ideology.xml,def
VAE_Wololo.label,Wololo,label,AchievementsExpanded.AchievementDef/Ideology.xml,def
VAE_Wololo.description,Have a moralist use the Convert ability 10 times,description,AchievementsExpanded.AchievementDef/Ideology.xml,def
VAE_DLCTab.label,DLC,label,AchievementsExpanded.AchievementTabDef/AchievementTabDef_DLC.xml,def
