key,text,tag,file,type
VAE,Vanilla Achievements Expanded,VAE,TranslationKeys.xml,keyed
DebugWriter,Enable DebugWriter,DebugWriter,TranslationKeys.xml,keyed
DebugWriterConfirmation,Are you sure you want to enable the DebugWriter? This will significantly decrease performance in return for Achievement related data. This should only be enabled to track valuable information for debugging.,DebugWriterConfirmation,TranslationKeys.xml,keyed
GenerateLogInfo,Write to File,GenerateLogInfo,TranslationKeys.xml,keyed
GenerateLogInfoTooltip,Push achievement related logs to file. For debugging purposes only.,GenerateLogInfoTooltip,TranslationKeys.xml,keyed
SuccessfulWriteToFile,Successfully pushed achievement logs to AchievementLog.txt,SuccessfulWriteToFile,TranslationKeys.xml,keyed
SideBarInfo,Unlock achievements and earn Storyteller points which you can redeem for various events.,SideBarInfo,TranslationKeys.xml,keyed
VAE_SideBarInfoNoRedeem,Unlock achievements and earn Storyteller points to gauge your performance.,VAE_SideBarInfoNoRedeem,TranslationKeys.xml,keyed
StorytellerPoints,Storyteller Points,StorytellerPoints,TranslationKeys.xml,keyed
PointsRedeem,Redeem Points,PointsRedeem,TranslationKeys.xml,keyed
PointsAvailable,Available: {0},PointsAvailable,TranslationKeys.xml,keyed
PointsEarned,Total earnt: {0},PointsEarned,TranslationKeys.xml,keyed
UnlockedDevMode,Unlocked with DevMode,UnlockedDevMode,TranslationKeys.xml,keyed
AchievementLocked,Locked,AchievementLocked,TranslationKeys.xml,keyed
AchievementsUnlocked,Achievements Unlocked: {0},AchievementsUnlocked,TranslationKeys.xml,keyed
AchievementsTotalUnlocked,Total Achievements Unlocked: {0},AchievementsTotalUnlocked,TranslationKeys.xml,keyed
AchievementUnlocked,Achievement Unlocked!,AchievementUnlocked,TranslationKeys.xml,keyed
FailedRewardEvent,Failed to redeem reward {0},FailedRewardEvent,TranslationKeys.xml,keyed
FailedTargetFinder,Must have map loaded or IncidentTarget object selected on World Map,FailedTargetFinder,TranslationKeys.xml,keyed
NoValidMap,Must be purchased with PlayerHome map in view.,NoValidMap,TranslationKeys.xml,keyed
IncidentNotAvailable,Incident not available right now.,IncidentNotAvailable,TranslationKeys.xml,keyed
NotEnoughPoints,Not Enough Points,NotEnoughPoints,TranslationKeys.xml,keyed
RandomQuestRewardItemLetter,Quest Item,RandomQuestRewardItemLetter,TranslationKeys.xml,keyed
RandomQuestRewardItem,Random quest item dropped!,RandomQuestRewardItem,TranslationKeys.xml,keyed
VAE_UsePointsSystem,Use achievement points reward system,VAE_UsePointsSystem,TranslationKeys.xml,keyed
VAE_UsePointsSystemDesc,"By default, getting achievements rewards the player with points, which can be exchanged for trader caravans, events, raids, etc. Toggling this disables that system, with the points being there just as a tally count.",VAE_UsePointsSystemDesc,TranslationKeys.xml,keyed
VAE_CollateModTabs,Collate mod tabs,VAE_CollateModTabs,TranslationKeys.xml,keyed
VAE_CollateModTabsDesc,By checking this option all achievements from all mods will be joined into a single Mod tab. Use this if you have many achievement adding mods and your achievement window looks like a mess of infinite diminutive tabs,VAE_CollateModTabsDesc,TranslationKeys.xml,keyed
VAE_AchievementHidden,Hidden until monolith level {0},VAE_AchievementHidden,TranslationKeys.xml,keyed
VAE_VeryCapable.label,Very Capable,label,AchievementsExpanded.AchievementDef/Abilities.xml,def
VAE_VeryCapable.description,Get a total of 100 abilities across your colonists. Hard mode: without DLC or mods (can't be done),description,AchievementsExpanded.AchievementDef/Abilities.xml,def
comfierThanUsual.label,Comfier Than Usual,label,AchievementsExpanded.AchievementDef/Building.xml,def
comfierThanUsual.description,Construct a human leather armchair,description,AchievementsExpanded.AchievementDef/Building.xml,def
theArchitect.label,The Architect,label,AchievementsExpanded.AchievementDef/Building.xml,def
theArchitect.description,Build 1000 Walls,description,AchievementsExpanded.AchievementDef/Building.xml,def
buildingTheSkynet.label,Building the Skynet,label,AchievementsExpanded.AchievementDef/Building.xml,def
buildingTheSkynet.description,Construct 30 mini-turrets,description,AchievementsExpanded.AchievementDef/Building.xml,def
itAintRocketScience.label,It Ain't Rocket Science,label,AchievementsExpanded.AchievementDef/Building.xml,def
itAintRocketScience.description,Build a spaceship,description,AchievementsExpanded.AchievementDef/Building.xml,def
iWillSurvive.label,I Will Survive,label,AchievementsExpanded.AchievementDef/ColonistCount.xml,def
iWillSurvive.description,Have 7 colonists,description,AchievementsExpanded.AchievementDef/ColonistCount.xml,def
imStillStanding.label,I'm Still Standing,label,AchievementsExpanded.AchievementDef/ColonistCount.xml,def
imStillStanding.description,Have 12 colonists,description,AchievementsExpanded.AchievementDef/ColonistCount.xml,def
imASurvivor.label,I'm a Survivor,label,AchievementsExpanded.AchievementDef/ColonistCount.xml,def
imASurvivor.description,Have 18 colonists,description,AchievementsExpanded.AchievementDef/ColonistCount.xml,def
aintNoStoppingUsNow.label,Ain't no Stopping us Now,label,AchievementsExpanded.AchievementDef/ColonistCount.xml,def
aintNoStoppingUsNow.description,Have 33 colonists,description,AchievementsExpanded.AchievementDef/ColonistCount.xml,def
VAE_IceCold.label,Ice Cold,label,AchievementsExpanded.AchievementDef/Food.xml,def
VAE_IceCold.description,Have colonists consume 100 beers,description,AchievementsExpanded.AchievementDef/Food.xml,def
VAE_Munchies.label,The Munchies,label,AchievementsExpanded.AchievementDef/Food.xml,def
VAE_Munchies.description,Have your pawns eat 100 (non-veg or carnivore) lavish meals,description,AchievementsExpanded.AchievementDef/Food.xml,def
VAE_TastesLikePeanuts.label,Tastes Like Peanuts,label,AchievementsExpanded.AchievementDef/Food.xml,def
VAE_TastesLikePeanuts.description,Have your pawns eat 100 meals containing insect meat,description,AchievementsExpanded.AchievementDef/Food.xml,def
VAE_NoEnergyNoTown.label,No Energy no Town,label,AchievementsExpanded.AchievementDef/Food.xml,def
VAE_NoEnergyNoTown.description,Have pigs or wildboars feed on corpses 100 times,description,AchievementsExpanded.AchievementDef/Food.xml,def
VAE_TheOtherPig.label,The Other Pig,label,AchievementsExpanded.AchievementDef/Food.xml,def
VAE_TheOtherPig.description,Have colonists commit raw cannibalism 50 times,description,AchievementsExpanded.AchievementDef/Food.xml,def
VAE_CaptainPlanetWouldGetAStroke.label,Captain Planet Would Have a Stroke,label,AchievementsExpanded.AchievementDef/Food.xml,def
VAE_CaptainPlanetWouldGetAStroke.description,Have your pet thrumbos consume 50 trees,description,AchievementsExpanded.AchievementDef/Food.xml,def
T-800.label,T-800,label,AchievementsExpanded.AchievementDef/Hediffs.xml,def
T-800.description,"Have a single pawn with bionic legs, arms, spine, ears and eyes",description,AchievementsExpanded.AchievementDef/Hediffs.xml,def
imAPirate.label,I'm A Pirate!,label,AchievementsExpanded.AchievementDef/Hediffs.xml,def
imAPirate.description,Install a peg leg on a pawn,description,AchievementsExpanded.AchievementDef/Hediffs.xml,def
thatllShowHim.label,That'll Show Him,label,AchievementsExpanded.AchievementDef/Hediffs.xml,def
thatllShowHim.description,Starve a pawn to death,description,AchievementsExpanded.AchievementDef/Hediffs.xml,def
thisIsWhereTheFunBegins.label,This Is Where The Fun Begins,label,AchievementsExpanded.AchievementDef/Incidents.xml,def
thisIsWhereTheFunBegins.description,Get raided for the first time,description,AchievementsExpanded.AchievementDef/Incidents.xml,def
showMustGoOn.label,Show Must Go On,label,AchievementsExpanded.AchievementDef/Incidents.xml,def
showMustGoOn.description,Have a man in black join your colony,description,AchievementsExpanded.AchievementDef/Incidents.xml,def
brrr.label,Brrr,label,AchievementsExpanded.AchievementDef/Incidents.xml,def
brrr.description,Have a coldsnap happen in winter,description,AchievementsExpanded.AchievementDef/Incidents.xml,def
phew.label,Phew,label,AchievementsExpanded.AchievementDef/Incidents.xml,def
phew.description,Have a heatwave happen in summer,description,AchievementsExpanded.AchievementDef/Incidents.xml,def
outOfTheFryingPan.label,Out Of The Frying Pan,label,AchievementsExpanded.AchievementDef/Incidents.xml,def
outOfTheFryingPan.description,Have a colonist develop a bond with a pig,description,AchievementsExpanded.AchievementDef/Incidents.xml,def
intoTheFire.label,Into The Fire,label,AchievementsExpanded.AchievementDef/Incidents.xml,def
intoTheFire.description,Have a bonded pig die on fire,description,AchievementsExpanded.AchievementDef/Incidents.xml,def
blitzkrieg.label,Blitzkrieg,label,AchievementsExpanded.AchievementDef/Incidents.xml,def
blitzkrieg.description,Destroy 5 faction bases,description,AchievementsExpanded.AchievementDef/Incidents.xml,def
oneStepCloser.label,One Step Closer,label,AchievementsExpanded.AchievementDef/Items.xml,def
oneStepCloser.description,Obtain an AI Persona Core,description,AchievementsExpanded.AchievementDef/Items.xml,def
humanLeatherHat.label,Human Leather Cowboy Hat,label,AchievementsExpanded.AchievementDef/Items.xml,def
humanLeatherHat.description,Craft a human leather cowboy hat,description,AchievementsExpanded.AchievementDef/Items.xml,def
midas.label,Midas,label,AchievementsExpanded.AchievementDef/Items.xml,def
midas.description,Have 5000 gold,description,AchievementsExpanded.AchievementDef/Items.xml,def
fourtwentyblazeIt.label,4/20 Blaze It,label,AchievementsExpanded.AchievementDef/Items.xml,def
fourtwentyblazeIt.description,Obtain 420 smokeleaf,description,AchievementsExpanded.AchievementDef/Items.xml,def
silenceOfTheLambs.label,Silence of the Lambs,label,AchievementsExpanded.AchievementDef/Items.xml,def
silenceOfTheLambs.description,Obtain 100 human meat,description,AchievementsExpanded.AchievementDef/Items.xml,def
theStuffOfLegends.label,The Stuff Of Legends,label,AchievementsExpanded.AchievementDef/Items.xml,def
theStuffOfLegends.description,Craft any legendary item,description,AchievementsExpanded.AchievementDef/Items.xml,def
futureCaveman.label,Future Caveman,label,AchievementsExpanded.AchievementDef/Items.xml,def
futureCaveman.description,Make a plasteel club,description,AchievementsExpanded.AchievementDef/Items.xml,def
VAE_MidasTouch.label,Midas' Touch,label,AchievementsExpanded.AchievementDef/Items.xml,def
VAE_MidasTouch.description,Craft a gold item of excellent quality or higher,description,AchievementsExpanded.AchievementDef/Items.xml,def
firstBlood.label,First Blood,label,AchievementsExpanded.AchievementDef/Kills.xml,def
firstBlood.description,Kill another pawn,description,AchievementsExpanded.AchievementDef/Kills.xml,def
bloodlust.label,Bloodlust,label,AchievementsExpanded.AchievementDef/Kills.xml,def
bloodlust.description,Kill 100 humanlikes in total,description,AchievementsExpanded.AchievementDef/Kills.xml,def
bloodForTheBloodGod.label,Blood For The Blood God,label,AchievementsExpanded.AchievementDef/Kills.xml,def
bloodForTheBloodGod.description,Kill 1000 humanlikes in total,description,AchievementsExpanded.AchievementDef/Kills.xml,def
bigGameHunter.label,Big Game Hunter,label,AchievementsExpanded.AchievementDef/Kills.xml,def
bigGameHunter.description,Hunt and kill 20 Thrumbos,description,AchievementsExpanded.AchievementDef/Kills.xml,def
exterminator.label,Exterminator,label,AchievementsExpanded.AchievementDef/Kills.xml,def
exterminator.description,Kill 150 Insectoids,description,AchievementsExpanded.AchievementDef/Kills.xml,def
dragonSlayer.label,Dragon Slayer,label,AchievementsExpanded.AchievementDef/Kills.xml,def
dragonSlayer.description,Kill 50 Iguanas,description,AchievementsExpanded.AchievementDef/Kills.xml,def
australianRevenge.label,Australian Revenge,label,AchievementsExpanded.AchievementDef/Kills.xml,def
