key,text,tag,file,type
NocturnalAnimals.BodyClock,Body clock,NocturnalAnimals.BodyClock,Misc_Gameplay.xml,keyed
NocturnalAnimals.BodyClock_Description,"Determines when the animal sleeps and when it is awake.\n\nDiurnal animals sleep during the night and are awake during the day, while nocturnal animals sleep during the day and are awake during the night. Crepuscular animals are mainly active during dusk.",NocturnalAnimals.BodyClock_Description,Misc_Gameplay.xml,keyed
NocturnalAnimals.BodyClock_Diurnal,Diurnal,NocturnalAnimals.BodyClock_Diurnal,Misc_Gameplay.xml,keyed
NocturnalAnimals.BodyClock_Nocturnal,Nocturnal,NocturnalAnimals.BodyClock_Nocturnal,Misc_Gameplay.xml,keyed
NocturnalAnimals.BodyClock_Crepuscular,Crepuscular,NocturnalAnimals.BodyClock_Crepuscular,Misc_Gameplay.xml,keyed
VAEE.ReleaseIntoWild,Release to the wild,VAEE.ReleaseIntoWild,Misc_Gameplay.xml,keyed
VAEE.ReleaseIntoWildDesc,Release this animal to the wild and increase relations with tribal and outlander factions.,VAEE.ReleaseIntoWildDesc,Misc_Gameplay.xml,keyed
VAEE.ReleaseToRepopulate,Release to repopulate,VAEE.ReleaseToRepopulate,Misc_Gameplay.xml,keyed
VAEE.ReleaseToRepopulateDesc,Release this animal to the wild to repupulate and increase relations with tribal and outlander factions.,VAEE.ReleaseToRepopulateDesc,Misc_Gameplay.xml,keyed
VAEE.LetterLabelExtintAnimalsPasses,Endangered Animals.,VAEE.LetterLabelExtintAnimalsPasses,Misc_Gameplay.xml,keyed
VAEE.LetterExtintAnimalsPasses,"A pair of {0}, critically endangered, have wandered into the area.\n\nThey can easily fall prey to larger predators and poachers, but you can tame them and bring them to safety. \n\nReleasing endangered animals into the wild will boost relations with tribal and outlander factions.",VAEE.LetterExtintAnimalsPasses,Misc_Gameplay.xml,keyed
VAEE.LetterExtintAnimalsPassesRepopulate,"A pair of {0}, critically endangered, have wandered into the area.\n\nThey can easily fall prey to larger predators and poachers, but you can tame them and bring them to safety. \n\nReleasing endangered animals into the wild to repopulate the species will boost relations with tribal and outlander factions.",VAEE.LetterExtintAnimalsPassesRepopulate,Misc_Gameplay.xml,keyed
VAEE.ReleasingToTheWildMessage,Releasing an endangered animal into the wild improved relations with tribal and outlander factions by +2.,VAEE.ReleasingToTheWildMessage,Misc_Gameplay.xml,keyed
VAEE.ReleasingToTheWildMessageRepopulate,Releasing an endangered animal into the wild to repopulate the species improved relations with tribal and outlander factions by +2.,VAEE.ReleasingToTheWildMessageRepopulate,Misc_Gameplay.xml,keyed
VAEE.ReleasingToTheWildConfirmation,"Releasing to the wild\n\nReleasing an animal to the wild means you will never see it again, as the animal will walk off the map.",VAEE.ReleasingToTheWildConfirmation,Misc_Gameplay.xml,keyed
VAEE.ReleasingToTheWildConfirmationRepopulate,"Releasing to repopulate\n\nReleasing an animal to the wild to repopulate the species means you will never see it again, as the animal will walk off the map.",VAEE.ReleasingToTheWildConfirmationRepopulate,Misc_Gameplay.xml,keyed
VAEE.Cancel,Cancel,VAEE.Cancel,Misc_Gameplay.xml,keyed
VAEE.AddBanishGizmoToAllAnimals,Add release into wild button to all animals,VAEE.AddBanishGizmoToAllAnimals,Misc_Gameplay.xml,keyed
VAEE.AddBanishGizmoToAllAnimalsRepopulate,Add release to repopulate button to all animals,VAEE.AddBanishGizmoToAllAnimalsRepopulate,Misc_Gameplay.xml,keyed
AEXP_GreatApe_Bonobo.label,great ape,label,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.0.customLabel,left clavicle,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.1.customLabel,right clavicle,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.8.customLabel,left lung,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.9.customLabel,right lung,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.10.customLabel,left kidney,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.11.customLabel,right kidney,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.13.parts.0.parts.1.customLabel,left eye,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.13.parts.0.parts.2.customLabel,right eye,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.13.parts.0.parts.3.customLabel,left ear,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.13.parts.0.parts.4.customLabel,right ear,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.14.customLabel,left shoulder,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.14.parts.0.customLabel,left arm,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.14.parts.0.parts.0.customLabel,left humerus,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.14.parts.0.parts.1.customLabel,left radius,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.14.parts.0.parts.2.customLabel,left hand,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.14.parts.0.parts.2.parts.0.customLabel,left pinky,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.14.parts.0.parts.2.parts.1.customLabel,left ring finger,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.14.parts.0.parts.2.parts.2.customLabel,left middle finger,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.14.parts.0.parts.2.parts.3.customLabel,left index finger,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.14.parts.0.parts.2.parts.4.customLabel,left thumb,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.15.customLabel,right shoulder,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.15.parts.0.customLabel,right arm,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.15.parts.0.parts.0.customLabel,right humerus,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.15.parts.0.parts.1.customLabel,right radius,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.15.parts.0.parts.2.customLabel,right hand,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.15.parts.0.parts.2.parts.0.customLabel,right pinky,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.15.parts.0.parts.2.parts.1.customLabel,right ring finger,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.15.parts.0.parts.2.parts.2.customLabel,right middle finger,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.15.parts.0.parts.2.parts.3.customLabel,right index finger,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.15.parts.0.parts.2.parts.4.customLabel,right thumb,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.16.customLabel,left leg,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.16.parts.0.customLabel,left femur,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.16.parts.1.customLabel,left tibia,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.16.parts.2.customLabel,left foot,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.16.parts.2.parts.0.customLabel,left little toe,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.16.parts.2.parts.1.customLabel,left fourth toe,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.16.parts.2.parts.2.customLabel,left middle toe,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.16.parts.2.parts.3.customLabel,left second toe,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.16.parts.2.parts.4.customLabel,left big toe,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.17.customLabel,right leg,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.17.parts.0.customLabel,right femur,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.17.parts.1.customLabel,right tibia,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.17.parts.2.customLabel,right foot,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.17.parts.2.parts.0.customLabel,right little toe,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.17.parts.2.parts.1.customLabel,right fourth toe,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.17.parts.2.parts.2.customLabel,right middle toe,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.17.parts.2.parts.3.customLabel,right second toe,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_GreatApe_Bonobo.corePart.parts.17.parts.2.parts.4.customLabel,right big toe,customLabel,BodyDef/Primates_Bodies.xml,def
AEXP_ExtintAnimalsPasses.label,extint animals pass,label,IncidentDef/Incidents_Map_Misc.xml,def
AEXP_IngestAnts.reportString,devouring ants.,reportString,JobDef/Jobs_Animal.xml,def
AEXP_GotoTheWild.reportString,going to the wild.,reportString,JobDef/Jobs_Animal.xml,def
AEXP_EggMoaFertilized.label,moa egg (fert.),label,ThingDef/Items_Resource_AnimalProduct.xml,def
AEXP_EggMoaFertilized.description,"A fertilized moa egg. If all goes well, it should hatch into a baby moa. It can be eaten raw, but it's much better cooked.",description,ThingDef/Items_Resource_AnimalProduct.xml,def
AEXP_EggMoaUnfertilized.label,moa egg (unfert.),label,ThingDef/Items_Resource_AnimalProduct.xml,def
AEXP_EggMoaUnfertilized.description,"An unfertilized moa egg. It can be eaten raw, but it's much better cooked.",description,ThingDef/Items_Resource_AnimalProduct.xml,def
AEXP_EggRockhopperPenguinFertilized.label,rockhopper penguin egg (fert.),label,ThingDef/Items_Resource_AnimalProduct.xml,def
AEXP_EggRockhopperPenguinFertilized.description,"A fertilized rockhopper penguin egg. If all goes well, it should hatch into a baby rockhopper penguin. It can be eaten raw, but it's much better cooked.",description,ThingDef/Items_Resource_AnimalProduct.xml,def
AEXP_EggRockhopperPenguinUnfertilized.label,rockhopper penguin egg (unfert.),label,ThingDef/Items_Resource_AnimalProduct.xml,def
AEXP_EggRockhopperPenguinUnfertilized.description,"An unfertilized rockhopper penguin egg. It can be eaten raw, but it's much better cooked.",description,ThingDef/Items_Resource_AnimalProduct.xml,def
AEXP_RawFish.label,raw fish,label,ThingDef/Items_Resource_Misc.xml,def
AEXP_RawFish.description,Raw fish. A resourceful penguin has fished this.,description,ThingDef/Items_Resource_Misc.xml,def
AEXP_RawFish.tools.0.label,raw fish,label,ThingDef/Items_Resource_Misc.xml,def
AEXP_BlackFootedFerret.label,black-footed ferret,label,ThingDef/Races_Expanded_Endangered.xml,def
