key,text,tag,file,type
VAERoy_PrimaryRole,Primary Role,VAERoy_PrimaryRole,Misc_Gameplay.xml,keyed
VAERoy_SecondaryRole,Secondary Role,VAERoy_SecondaryRole,Misc_Gameplay.xml,keyed
VAERoy_Combat,Combat,VAERoy_Combat,Misc_Gameplay.xml,keyed
VAERoy_EggLayer,Egg Layer,VAERoy_EggLayer,Misc_Gameplay.xml,keyed
VAERoy_Utility,Utility,VAERoy_Utility,Misc_Gameplay.xml,keyed
VAERoy_UtilityMood,Utility - Mood,VAERoy_UtilityMood,Misc_Gameplay.xml,keyed
VAERoy_UtilitySocial,Utility - Social,VAERoy_UtilitySocial,Misc_Gameplay.xml,keyed
VAERoy_UtilityHeat,Utility - Heat Disipation,VAERoy_UtilityHeat,Misc_Gameplay.xml,keyed
VAERoy_UtilityPsychic,Utility - Psychic,VAERoy_UtilityPsychic,Misc_Gameplay.xml,keyed
VAERoy_UtilityCrowd,Utility - Crowd Control,VAERoy_UtilityCrowd,Misc_Gameplay.xml,keyed
VAERoy_UtilityFood,Utility - Food,VAERoy_UtilityFood,Misc_Gameplay.xml,keyed
VAERoy_UtilityBuilding,Utility - Building,VAERoy_UtilityBuilding,Misc_Gameplay.xml,keyed
VAERoy_CombatDescInc,"Combat animals are specialized in melee combat. These animals have high attack damage, good resistance, high health, or other abilities that allow them to survive in the front lines.\n\nThis animal gets greatly increased melee attacks as it ages.",VAERoy_CombatDescInc,Misc_Gameplay.xml,keyed
VAERoy_CombatDesc,"Combat animals are specialized in melee combat. These animals have high attack damage, good resistance, high health, or other abilities that allow them to survive in the front lines.",VAERoy_CombatDesc,Misc_Gameplay.xml,keyed
VAERoy_EggLayerDesc,This animal lays eggs,VAERoy_EggLayerDesc,Misc_Gameplay.xml,keyed
VAERoy_UtilityMoodDesc,"This animal is not suited for combat, being quite physically weak. It will however increase the mood of your colonists.",VAERoy_UtilityMoodDesc,Misc_Gameplay.xml,keyed
VAERoy_UtilityHeatDisipationDesc,"This animal is not suited for combat, being quite physically weak. It will however increase the neural heat disipation of a bonded colonist.",VAERoy_UtilityHeatDisipationDesc,Misc_Gameplay.xml,keyed
VAERoy_UtilitySocialDesc,"This animal is not suited for combat. It will instead engage your colonists in conversation, increasing their social recreation as well as giving them small amounts of experience in random skills.",VAERoy_UtilitySocialDesc,Misc_Gameplay.xml,keyed
VAERoy_UtilityPsychicDesc,"This animal is not suited for combat, being quite physically weak. It will however nuzzle your colonists periodically to increase their psychic sensitivity.",VAERoy_UtilityPsychicDesc,Misc_Gameplay.xml,keyed
VAERoy_UtilityCrowdDesc,"This animal is weak, but it has psychic abilities that can help with crowd control and survivavility.",VAERoy_UtilityCrowdDesc,Misc_Gameplay.xml,keyed
VAERoy_UtilityFoodDesc,This is a farm animal that produces specialized meat.,VAERoy_UtilityFoodDesc,Misc_Gameplay.xml,keyed
VAERoy_UtilityBuildingDesc,"This animal is not suited for combat, being quite physically weak. It will however build nests that act as a very beautiful animal sleeping spot.",VAERoy_UtilityBuildingDesc,Misc_Gameplay.xml,keyed
VAERoy_GreatApe.label,great ape,label,BodyDef/Primates_Bodies.xml,def
VAERoy_GreatApe.corePart.parts.0.customLabel,left clavicle,customLabel,BodyDef/Primates_Bodies.xml,def
VAERoy_GreatApe.corePart.parts.1.customLabel,right clavicle,customLabel,BodyDef/Primates_Bodies.xml,def
VAERoy_GreatApe.corePart.parts.8.customLabel,left lung,customLabel,BodyDef/Primates_Bodies.xml,def
VAERoy_GreatApe.corePart.parts.9.customLabel,right lung,customLabel,BodyDef/Primates_Bodies.xml,def
VAERoy_GreatApe.corePart.parts.10.customLabel,left kidney,customLabel,BodyDef/Primates_Bodies.xml,def
VAERoy_GreatApe.corePart.parts.11.customLabel,right kidney,customLabel,BodyDef/Primates_Bodies.xml,def
VAERoy_GreatApe.corePart.parts.13.parts.0.parts.1.customLabel,left eye,customLabel,BodyDef/Primates_Bodies.xml,def
VAERoy_GreatApe.corePart.parts.13.parts.0.parts.2.customLabel,right eye,customLabel,BodyDef/Primates_Bodies.xml,def
VAERoy_GreatApe.corePart.parts.13.parts.0.parts.3.customLabel,left ear,customLabel,BodyDef/Primates_Bodies.xml,def
VAERoy_GreatApe.corePart.parts.13.parts.0.parts.4.customLabel,right ear,customLabel,BodyDef/Primates_Bodies.xml,def
VAERoy_GreatApe.corePart.parts.14.customLabel,left shoulder,customLabel,BodyDef/Primates_Bodies.xml,def
VAERoy_GreatApe.corePart.parts.14.parts.0.customLabel,left arm,customLabel,BodyDef/Primates_Bodies.xml,def
VAERoy_GreatApe.corePart.parts.14.parts.0.parts.0.customLabel,left humerus,customLabel,BodyDef/Primates_Bodies.xml,def
VAERoy_GreatApe.corePart.parts.14.parts.0.parts.1.customLabel,left radius,customLabel,BodyDef/Primates_Bodies.xml,def
VAERoy_GreatApe.corePart.parts.14.parts.0.parts.2.customLabel,left hand,customLabel,BodyDef/Primates_Bodies.xml,def
VAERoy_GreatApe.corePart.parts.14.parts.0.parts.2.parts.0.customLabel,left pinky,customLabel,BodyDef/Primates_Bodies.xml,def
VAERoy_GreatApe.corePart.parts.14.parts.0.parts.2.parts.1.customLabel,left ring finger,customLabel,BodyDef/Primates_Bodies.xml,def
VAERoy_GreatApe.corePart.parts.14.parts.0.parts.2.parts.2.customLabel,left middle finger,customLabel,BodyDef/Primates_Bodies.xml,def
VAERoy_GreatApe.corePart.parts.14.parts.0.parts.2.parts.3.customLabel,left index finger,customLabel,BodyDef/Primates_Bodies.xml,def
VAERoy_GreatApe.corePart.parts.14.parts.0.parts.2.parts.4.customLabel,left thumb,customLabel,BodyDef/Primates_Bodies.xml,def
VAERoy_GreatApe.corePart.parts.15.customLabel,right shoulder,customLabel,BodyDef/Primates_Bodies.xml,def
VAERoy_GreatApe.corePart.parts.15.parts.0.customLabel,right arm,customLabel,BodyDef/Primates_Bodies.xml,def
VAERoy_GreatApe.corePart.parts.15.parts.0.parts.0.customLabel,right humerus,customLabel,BodyDef/Primates_Bodies.xml,def
VAERoy_GreatApe.corePart.parts.15.parts.0.parts.1.customLabel,right radius,customLabel,BodyDef/Primates_Bodies.xml,def
VAERoy_GreatApe.corePart.parts.15.parts.0.parts.2.customLabel,right hand,customLabel,BodyDef/Primates_Bodies.xml,def
