key,text,tag,file,type
Juggernaut.label,JUGGERNAUT!,label,AchievementsExpanded.AchievementDef/Achievements.xml,def
Juggernaut.description,Craft a masterwork stone war mask,description,AchievementsExpanded.AchievementDef/Achievements.xml,def
iDontSeeAnyone.label,I Don't See Anyone!,label,AchievementsExpanded.AchievementDef/Achievements.xml,def
iDontSeeAnyone.description,Craft a ghillie suit,description,AchievementsExpanded.AchievementDef/Achievements.xml,def
notGreatNotTerrible.label,"Not Great, not Terrible",label,AchievementsExpanded.AchievementDef/Achievements.xml,def
notGreatNotTerrible.description,Craft 6 HAZMAT suits,description,AchievementsExpanded.AchievementDef/Achievements.xml,def
leatherThatsKinky.label,Leather? That's Kinky,label,AchievementsExpanded.AchievementDef/Achievements.xml,def
leatherThatsKinky.description,Research leather tanning,description,AchievementsExpanded.AchievementDef/Achievements.xml,def
sierra117.label,Sierra 117,label,AchievementsExpanded.AchievementDef/Achievements.xml,def
sierra117.description,Craft a masterwork quality heavy marine armor,description,AchievementsExpanded.AchievementDef/Achievements.xml,def
VanillaExpanded_Armour.label,Vanilla Armours Expanded,label,AchievementsExpanded.AchievementTabDef/AchievementTabDef_Main.xml,def
EnemyRaidRewardVE.label,Summon A Raid,label,AchievementsExpanded.Reward_EnemyRaid/Rewards.xml,def
TradeCaravanRewardVE.label,Summon a Trade Caravan,label,AchievementsExpanded.Reward_MapIncident/Rewards.xml,def
RandomEventRewardVE.label,Random Event,label,AchievementsExpanded.Reward_RandomEvent/Rewards.xml,def
CargoPodsRewardVE.label,Spawn Cargo Pods,label,AchievementsExpanded.Reward_MapIncident/Rewards.xml,def
RandomRewardQuestItemVE.label,Random Quest Item,label,AchievementsExpanded.Reward_RandomQuestItem/Rewards.xml,def
ManInBlackRewardVE.label,Man in Black Joins,label,AchievementsExpanded.Reward_MapIncident/Rewards.xml,def
