key,text,tag,file,type
VAE_LeatherTanning.label,leather tanning,label,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_LeatherTanning.description,Learn the process of tanning to craft more thicker and durable armors.,description,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_LeatherTanning.generalRules.rulesStrings.0,subject->art of leathercraft,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_LeatherTanning.generalRules.rulesStrings.1,subject_story->rediscovered ancient tanning recipes for unmatched durability,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_LeatherTanning.generalRules.rulesStrings.2,subject_story->introduced waterproofing techniques that defy harsh weathers,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_LeatherTanning.generalRules.rulesStrings.3,subject_story->crafted armors that blend tradition with battlefield necessity,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_LeatherTanning.generalRules.rulesStrings.4,subject_gerund->mastering leather tanning,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_HazardProtection.label,hazard protection,label,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_HazardProtection.description,Develop suits resistant to high toxicity and radiation.,description,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_HazardProtection.generalRules.rulesStrings.0,subject->environmental safeguarding,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_HazardProtection.generalRules.rulesStrings.1,subject_story->engineered suits that turn toxic wastelands into walkable lands,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_HazardProtection.generalRules.rulesStrings.2,subject_story->developed radiation shields woven into the fabric of uniforms,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_HazardProtection.generalRules.rulesStrings.3,subject_story->created attire that allows safe research in deadly environments,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_HazardProtection.generalRules.rulesStrings.4,subject_gerund->enhancing hazard resistance,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_MlitaryCamouflage.label,military camouflage,label,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_MlitaryCamouflage.description,Craft special military apparel allowing users to resemble the background environment such as foliage.,description,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_MlitaryCamouflage.generalRules.rulesStrings.0,subject->stealth and mimicry,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_MlitaryCamouflage.generalRules.rulesStrings.1,"subject_story->designed gear that mimics the environment, making soldiers invisible",li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_MlitaryCamouflage.generalRules.rulesStrings.2,subject_story->studied animals' camouflage to apply their patterns to military apparel,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_MlitaryCamouflage.generalRules.rulesStrings.3,subject_story->outfitted scouts with wear that blends seamlessly into surroundings,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_MlitaryCamouflage.generalRules.rulesStrings.4,subject_gerund->camouflaging the forces,li,ResearchProjectDef/ResearchProjects_Various.xml,def
