key,text,tag,file,type
VAspirE_MeetAngelicPawn.label,meet an angelic being,label,VAspirE.AspirationDef/Aspirations_AlphaGenes.xml,def
VAspirE_MeetAngelicPawn.description,{0} wants to meet an angelic being that radiates a pristine beauty.,description,VAspirE.AspirationDef/Aspirations_AlphaGenes.xml,def
VAspirE_RaidABioLab.label,raid a bio-lab,label,VAspirE.AspirationDef/Aspirations_AlphaGenes.xml,def
VAspirE_RaidABioLab.description,{0} wants to raid a bio-lab.,description,VAspirE.AspirationDef/Aspirations_AlphaGenes.xml,def
VAspirE_UseXenotypeInjector.label,change xenotype,label,VAspirE.AspirationDef/Aspirations_AlphaGenes.xml,def
VAspirE_UseXenotypeInjector.description,{0} wants to change xenotype by using a xenotype injector.,description,VAspirE.AspirationDef/Aspirations_AlphaGenes.xml,def
VAspirE_ChainsawHands.label,get a melee gene,label,VAspirE.AspirationDef/Aspirations_AlphaGenes.xml,def
VAspirE_ChainsawHands.description,{0} wants to get a gene that improves innate hand melee attacks.,description,VAspirE.AspirationDef/Aspirations_AlphaGenes.xml,def
VAspirE_Winged.label,fly,label,VAspirE.AspirationDef/Aspirations_AlphaGenes.xml,def
VAspirE_Winged.description,{0} wants to get a gene that gives wings.,description,VAspirE.AspirationDef/Aspirations_AlphaGenes.xml,def
