key,text,tag,file,type
VBE_InsertSyrupDesc,Syrup to Insert,VBE_InsertSyrupDesc,Misc_Gameplay.xml,keyed
VBE_StartInsertion,Bring Syrup,VBE_StartInsertion,Misc_Gameplay.xml,keyed
VBE_StartInsertionDesc,Bring a syrup to the soda fountain to start processing,VBE_StartInsertionDesc,Misc_Gameplay.xml,keyed
VBE_CancelBringingSyrup,Cancel Bringing Syrup,VBE_CancelBringingSyrup,Misc_Gameplay.xml,keyed
VBE_CancelBringingSyrupDesc,Cancel bringing syrup to the soda fountain.,VBE_CancelBringingSyrupDesc,Misc_Gameplay.xml,keyed
VBE_SyrupFailurePower,The soda has spoiled due to a power failure in the soda fountain,VBE_SyrupFailurePower,Misc_Gameplay.xml,keyed
VCE_SodaFountainNotWorking,This soda fountain is not working at the moment,VCE_SodaFountainNotWorking,Misc_Gameplay.xml,keyed
VCE_SyrupFailurePowerWarning,The syrup mix is spoiling fast due to a lack of fuel in the soda fountain,VCE_SyrupFailurePowerWarning,Misc_Gameplay.xml,keyed
VBE_InsertAmbMustDesc,Must to Insert,VBE_InsertAmbMustDesc,Misc_Gameplay.xml,keyed
VBE_StartInsertionAmbMust,Bring Must,VBE_StartInsertionAmbMust,Misc_Gameplay.xml,keyed
VBE_StartInsertionAmbMustDesc,Bring ambrandy must to the ambrandy distillery to start fermentation,VBE_StartInsertionAmbMustDesc,Misc_Gameplay.xml,keyed
VBE_CancelBringingAmbMust,Cancel Bringing Must,VBE_CancelBringingAmbMust,Misc_Gameplay.xml,keyed
VBE_CancelBringingAmbMustDesc,Cancel bringing ambrandy must to the ambrandy distillery.,VBE_CancelBringingAmbMustDesc,Misc_Gameplay.xml,keyed
VBE_AmbrandyFailurePower,The ambrandy has spoiled due to a power failure in the ambrandy distillery,VBE_AmbrandyFailurePower,Misc_Gameplay.xml,keyed
VBE_RemoveAmbrandy,Remove Ambrandy ({0}),VBE_RemoveAmbrandy,Misc_Gameplay.xml,keyed
VBE_RemoveAmbrandyDesc,Remove ambrandy from the ambrandy distillery. The ambrandy will be acquired at the present quality level ({0}),VBE_RemoveAmbrandyDesc,Misc_Gameplay.xml,keyed
VCE_AmbrandyNotWorking,This ambrandy distillery is not working at the moment,VCE_AmbrandyNotWorking,Misc_Gameplay.xml,keyed
VBE_InsertMustOrWhiskeyDesc,Mash or Whiskey to Insert,VBE_InsertMustOrWhiskeyDesc,Misc_Gameplay.xml,keyed
VBE_StartInsertionMustOrWhiskey,Bring Mash or Whiskey,VBE_StartInsertionMustOrWhiskey,Misc_Gameplay.xml,keyed
VBE_StartInsertionMustOrWhiskeyDesc,Bring mash to the whiskey cask to start fermentation or whiskey to start double-aging process,VBE_StartInsertionMustOrWhiskeyDesc,Misc_Gameplay.xml,keyed
VBE_CancelBringingMustOrWhiskey,Cancel bringing mash or whiskey must to the whiskey cask.,VBE_CancelBringingMustOrWhiskey,Misc_Gameplay.xml,keyed
VCE_WhiskeyCaskNotWorking,This whiskey cask is not working at the moment,VCE_WhiskeyCaskNotWorking,Misc_Gameplay.xml,keyed
VBE_InsertTequilaMustDesc,Must to Insert,VBE_InsertTequilaMustDesc,Misc_Gameplay.xml,keyed
VBE_StartInsertionTequilaMust,Bring Must,VBE_StartInsertionTequilaMust,Misc_Gameplay.xml,keyed
VBE_StartInsertionTequilaMustDesc,Bring tequila must to the tequila barrel to start fermentation process,VBE_StartInsertionTequilaMustDesc,Misc_Gameplay.xml,keyed
VBE_CancelBringingTequilaMust,Cancel Bringing Must,VBE_CancelBringingTequilaMust,Misc_Gameplay.xml,keyed
VBE_CancelBringingTequilaMustDesc,Cancel bringing tequila must to the tequila barrel.,VBE_CancelBringingTequilaMustDesc,Misc_Gameplay.xml,keyed
VCE_TequilaBarrelNotWorking,This tequila barrel is not working at the moment,VCE_TequilaBarrelNotWorking,Misc_Gameplay.xml,keyed
VBE_InsertVodkaMustDesc,Mash to Insert,VBE_InsertVodkaMustDesc,Misc_Gameplay.xml,keyed
VBE_StartInsertionVodkaMust,Bring Mash,VBE_StartInsertionVodkaMust,Misc_Gameplay.xml,keyed
VBE_StartInsertionVodkaMustDesc,Bring vodka mash to the vodka drum to start fermentation process,VBE_StartInsertionVodkaMustDesc,Misc_Gameplay.xml,keyed
VBE_CancelBringingVodkaMust,Cancel Bringing Mash,VBE_CancelBringingVodkaMust,Misc_Gameplay.xml,keyed
VBE_CancelBringingVodkaMustDesc,Cancel bringing vodka mash to the vodka drum.,VBE_CancelBringingVodkaMustDesc,Misc_Gameplay.xml,keyed
VCE_VodkaDrumNotWorking,This vodka drum is not working at the moment,VCE_VodkaDrumNotWorking,Misc_Gameplay.xml,keyed
VBE_InsertGinMushDesc,Mush to Insert,VBE_InsertGinMushDesc,Misc_Gameplay.xml,keyed
VBE_StartInsertionGinMush,Bring Mush,VBE_StartInsertionGinMush,Misc_Gameplay.xml,keyed
VBE_StartInsertionGinMushDesc,Bring gin mush to the gin still to start fermentation process,VBE_StartInsertionGinMushDesc,Misc_Gameplay.xml,keyed
VBE_CancelBringingGinMush,Cancel Bringing Mush,VBE_CancelBringingGinMush,Misc_Gameplay.xml,keyed
VBE_CancelBringingGinMushDesc,Cancel bringing gin mush to the gin still.,VBE_CancelBringingGinMushDesc,Misc_Gameplay.xml,keyed
VCE_GinStillNotWorking,This gin still is not working at the moment,VCE_GinStillNotWorking,Misc_Gameplay.xml,keyed
VBE_MushRipening,Mush ripening,VBE_MushRipening,Misc_Gameplay.xml,keyed
VBE_MushCurrentlyFrozen,This mush is frozen and will not ripen into ambrandy must,VBE_MushCurrentlyFrozen,Misc_Gameplay.xml,keyed
VBE_MushCurrentlyRefrigerated,This mush is refrigerated and will not ripen into ambrandy must as fast as it could (ripens in {0}),VBE_MushCurrentlyRefrigerated,Misc_Gameplay.xml,keyed
VBE_MushDryingCorrectly,This mush is ripening into ambrandy must correctly (ripens in {0}),VBE_MushDryingCorrectly,Misc_Gameplay.xml,keyed
VBE_CiderMaturing,Cider maturing,VBE_CiderMaturing,Misc_Gameplay.xml,keyed
VBE_CiderCurrentlyFrozen,This unfermented cider is frozen and will not mature into cider,VBE_CiderCurrentlyFrozen,Misc_Gameplay.xml,keyed
VBE_CiderCurrentlyRefrigerated,This unfermented cider is refrigerated and will not mature into cider as fast as it could (matures in {0}),VBE_CiderCurrentlyRefrigerated,Misc_Gameplay.xml,keyed
VBE_CiderMaturingCorrectly,This unfermented cider is maturing into cider correctly (matures in {0}),VBE_CiderMaturingCorrectly,Misc_Gameplay.xml,keyed
