key,text,tag,file,type
VCE_AteHauteMeal,ate {0},VCE_AteHauteMeal,Misc_Gameplay.xml,keyed
VCE_AteHauteMealDesc,"A transcendent encounter with flavor. Every delicate note of the {0} unfolds like a masterpiece, elevating my senses to realms of pure culinary artistry.",VCE_AteHauteMealDesc,Misc_Gameplay.xml,keyed
VCE_ItemImproved_HauteSection,{0} has been improved to {1} quality level due to the electric haute section.,VCE_ItemImproved_HauteSection,Misc_Gameplay.xml,keyed
VCE_ManufacturedSlop,Manufactured slop,VCE_ManufacturedSlop,Misc_Gameplay.xml,keyed
VCE_ManufacturedSlopDesc,"This haute meal wasn't created by a true chef, and is thus not very good.",VCE_ManufacturedSlopDesc,Misc_Gameplay.xml,keyed
VCE_CookMealHaute.label,cook haute meal,label,RecipeDef/Recipes_Meals.xml,def
VCE_CookMealHaute.description,"Compose an opulent symphony of flavor and form, where the finest ingredients and
      masterful technique unite in a transcendent culinary masterpiece.",description,RecipeDef/Recipes_Meals.xml,def
VCE_CookMealHaute.jobString,Cooking haute meal.,jobString,RecipeDef/Recipes_Meals.xml,def
VCE_HauteCuisine.label,haute cuisine,label,ResearchProjectDef/Research.xml,def
VCE_HauteCuisine.description,"Haute cuisine is the pinnacle of culinary artistry, emphasizing meticulous preparation, refined techniques, and exquisite presentation. It transforms the finest ingredients into visually stunning and harmoniously balanced dishes, elevating dining to an experience of sophistication. This research also unlocks the haute section, a specialized workstation for crafting these masterful creations.",description,ResearchProjectDef/Research.xml,def
VCE_HauteCuisine.generalRules.rulesStrings.0,subject->culinary artistry,li,ResearchProjectDef/Research.xml,def
VCE_HauteCuisine.generalRules.rulesStrings.1,"subject_story->perfected the delicate balance of flavors, elevating cooking to an art form",li,ResearchProjectDef/Research.xml,def
VCE_HauteCuisine.generalRules.rulesStrings.2,"subject_story->trained under master chefs, mastering techniques passed down through generations",li,ResearchProjectDef/Research.xml,def
VCE_HauteCuisine.generalRules.rulesStrings.3,"subject_story->founded an elite dining establishment, attracting nobles and connoisseurs alike",li,ResearchProjectDef/Research.xml,def
VCE_HauteCuisine.generalRules.rulesStrings.4,subject_gerund->crafting exquisite haute dishes,li,ResearchProjectDef/Research.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.0,"r_art_name(p=4)->[protein] [preparation_protein_suffix], with [vegetable1] [preparation_suffix] and [vegetable2] [preparation_suffix]",li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.1,"r_art_name(p=2)->[protein] [preparation_protein_suffix], with [vegetable1] [preparation_suffix] and [vegetable2]",li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.2,"r_art_name(p=2)->[protein] [preparation_protein_suffix], with [vegetable1] and [vegetable2]",li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.3,r_art_name->[protein] [preparation_protein_suffix],li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.4,"r_art_name->[preparation_protein_prefix] [protein], with [vegetable1] [preparation_suffix] and [vegetable2] [preparation_suffix]",li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.5,"r_art_name->[protein] [preparation_protein_suffix], with [preparation_prefix] [vegetable1] and [vegetable2] [preparation_suffix]",li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.6,preparation_protein_suffix->ragout,li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.7,preparation_protein_suffix->steak,li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.8,preparation_protein_suffix->filet,li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.9,preparation_protein_suffix->carpaccio,li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.10,preparation_protein_suffix->tartare,li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.11,preparation_protein_suffix->confit,li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.12,preparation_protein_suffix->roast,li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.13,preparation_protein_suffix->cutlet,li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.14,preparation_protein_suffix->medallion,li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.15,preparation_protein_suffix->brisket,li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.16,preparation_protein_suffix->chop,li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.17,preparation_protein_suffix->kebab,li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.18,preparation_protein_suffix->terrine,li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.19,preparation_protein_suffix->broth,li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.20,preparation_protein_suffix->casserole,li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.21,preparation_protein_suffix->pâté,li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.22,preparation_protein_suffix->mignon,li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.23,preparation_protein_suffix->shank,li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.24,preparation_protein_suffix->ballotine,li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.25,preparation_protein_suffix->galantine,li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.26,preparation_protein_suffix->roulade,li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.27,preparation_protein_suffix->stroganoff,li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.28,preparation_protein_suffix->bourguignon,li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.29,preparation_protein_suffix->suprême,li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.30,preparation_protein_suffix->cassoulet,li,RulePackDef/RulePacks_Art_Descriptions.xml,def
VCE_MealNamerArt.rulePack.rulesStrings.31,preparation_protein_suffix->bisque,li,RulePackDef/RulePacks_Art_Descriptions.xml,def
